ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2014,2014-09-07,1,22.273,DEN,,IND,W 31-24,,0,0,,0,3,4,1.33,0
2,2014,2014-09-14,2,22.280,DEN,,KAN,W 24-17,,0,0,,0,0,0,,0
3,2014,2014-09-21,3,22.287,DEN,@,SEA,L 20-26,,0,0,,0,2,15,7.50,0
4,2014,2014-10-05,4,22.301,DEN,,ARI,W 41-20,,0,0,,0,6,38,6.33,0
5,2014,2014-10-12,5,22.308,DEN,@,NYJ,W 31-17,,0,0,,0,0,0,,0
6,2014,2014-10-19,6,22.315,DEN,,SFO,W 42-17,,1,7,7.00,0,3,22,7.33,0
7,2014,2014-10-23,7,22.319,DEN,,SDG,W 35-21,,0,0,,0,2,18,9.00,0
8,2014,2014-11-02,8,22.329,DEN,@,NWE,L 21-43,,0,0,,0,1,9,9.00,0
9,2014,2014-11-09,9,22.336,DEN,@,OAK,W 41-17,,0,0,,0,4,52,13.00,0
10,2014,2014-11-16,10,22.343,DEN,@,STL,L 7-22,,0,0,,0,1,0,0.00,0
11,2014,2014-11-23,11,22.350,DEN,,MIA,W 39-36,,0,0,,0,3,12,4.00,0
12,2014,2014-11-30,12,22.357,DEN,@,KAN,W 29-16,,0,0,,0,4,41,10.25,0
13,2016,2016-09-18,2,24.285,SDG,,JAX,W 38-14,,0,0,,0,0,0,,0
14,2016,2016-11-06,9,24.334,SDG,,TEN,W 43-35,,0,0,,0,2,3,1.50,0
15,2016,2016-11-13,10,24.341,SDG,,MIA,L 24-31,,1,21,21.00,0,3,45,15.00,0
16,2016,2016-11-27,11,24.355,SDG,@,HOU,W 21-13,,1,26,26.00,0,1,11,11.00,0
17,2016,2016-12-04,12,24.362,SDG,,TAM,L 21-28,,0,0,,0,1,12,12.00,0
18,2016,2016-12-11,13,25.003,SDG,@,CAR,L 16-28,,1,16,16.00,0,3,2,0.67,0
19,2016,2016-12-18,14,25.010,SDG,,OAK,L 16-19,,2,38,19.00,0,1,3,3.00,0
20,2016,2016-12-24,15,25.016,SDG,@,CLE,L 17-20,,0,0,,0,4,20,5.00,0
21,2016,2017-01-01,16,25.024,SDG,,KAN,L 27-37,*,4,87,21.75,0,0,0,,0
