ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-11-05,9,22.152,NWE,,NYJ,L 26-27,,0,0,,0,,,0,0,,0,1,13,13.00,0,0,0,,0,0,0
2,1989,1989-11-12,10,22.159,NWE,,NOR,L 24-28,,0,0,,0,,,0,0,,0,1,0,0.00,0,0,0,,0,0,0
3,1990,1990-12-02,12,23.179,NWE,,KAN,L 7-37,,2,52,26.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
4,1990,1990-12-09,13,23.186,NWE,@,PIT,L 3-24,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
5,1990,1990-12-15,14,23.192,NWE,,WAS,L 10-25,,0,0,,0,,,0,0,,0,1,20,20.00,0,0,0,,0,0,0
6,1990,1990-12-23,15,23.200,NWE,@,NYJ,L 7-42,,1,13,13.00,0,,,0,0,,0,2,42,21.00,0,0,0,,0,0,0
7,1990,1990-12-30,16,23.207,NWE,,NYG,L 10-13,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
8,1991,1991-09-01,1,24.087,NWE,@,IND,W 16-7,,1,9,9.00,0,,,0,0,,0,1,21,21.00,0,0,0,,0,0,0
9,1991,1991-09-08,2,24.094,NWE,,CLE,L 0-20,,0,0,,0,,,0,0,,0,0,0,,0,,,,,0,
10,1991,1991-09-15,3,24.101,NWE,@,PIT,L 6-20,,0,0,,0,,,0,0,,0,1,16,16.00,0,0,0,,0,0,0
11,1991,1991-09-22,4,24.108,NWE,,HOU,W 24-20,,1,16,16.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
12,1991,1991-09-29,5,24.115,NWE,@,PHO,L 10-24,,1,17,17.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
13,1991,1991-10-06,6,24.122,NWE,,MIA,L 10-20,,1,27,27.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
14,1991,1991-10-20,7,24.136,NWE,,MIN,W 26-23,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
