ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1990,1990-09-09,1,23.314,PHO,@,WAS,L 0-31,,0,0,,0,,,,
2,1990,1990-09-16,2,23.321,PHO,@,PHI,W 23-21,,0,0,,0,,,,
3,1990,1990-09-23,3,23.328,PHO,@,NOR,L 7-28,,0,0,,0,,,,
4,1990,1990-09-30,4,23.335,PHO,,WAS,L 10-38,,0,0,,0,,,,
5,1990,1990-10-14,5,23.349,PHO,,DAL,W 20-3,,0,0,,0,,,,
6,1990,1990-10-21,6,23.356,PHO,@,NYG,L 19-20,,1,6,6.00,0,,,0,0
7,1990,1990-10-28,7,23.363,PHO,,CHI,L 21-31,,0,0,,0,,,,
8,1990,1990-11-04,8,24.005,PHO,@,MIA,L 3-23,,0,0,,0,,,,
9,1990,1990-11-11,9,24.012,PHO,@,BUF,L 14-45,,1,4,4.00,0,,,0,0
10,1990,1990-11-18,10,24.019,PHO,,GNB,L 21-24,,0,0,,0,,,,
11,1990,1990-11-25,11,24.026,PHO,,NWE,W 34-14,,0,0,,0,,,,
12,1990,1990-12-02,12,24.033,PHO,,IND,W 20-17,,0,0,,0,,,,
13,1990,1990-12-09,13,24.040,PHO,@,ATL,W 24-13,,0,0,,0,,,,
14,1990,1990-12-16,14,24.047,PHO,@,DAL,L 10-41,,0,0,,0,,,,
15,1990,1990-12-23,15,24.054,PHO,,NYG,L 21-24,,0,0,,0,,,,
16,1990,1990-12-29,16,24.060,PHO,,PHI,L 21-23,,0,0,,0,,,,
17,1991,1991-09-01,1,24.306,PHO,@,RAM,W 24-14,,0,0,,0,,,,
18,1991,1991-09-08,2,24.313,PHO,@,PHI,W 26-10,,0,0,,0,,,,
19,1991,1991-09-15,3,24.320,PHO,@,WAS,L 0-34,,5,36,7.20,0,,,0,0
20,1991,1991-09-22,4,24.327,PHO,,DAL,L 9-17,,2,18,9.00,0,,,0,0
21,1991,1991-09-29,5,24.334,PHO,,NWE,W 24-10,,0,0,,0,,,,
22,1991,1991-10-06,6,24.341,PHO,@,NYG,L 9-20,,0,0,,0,,,,
