ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1977,1977-09-18,1,25.245,RAM,@,ATL,L 6-17,,0,0,,0,0,0,,0,0,,,10,356,35.60,0
2,1977,1977-09-25,2,25.252,RAM,,PHI,W 20-0,,0,0,,0,0,0,,0,0,,,6,231,38.50,0
3,1977,1977-10-02,3,25.259,RAM,,SFO,W 34-14,,0,0,,0,0,0,,0,0,,,6,225,37.50,0
4,1977,1977-10-10,4,25.267,RAM,@,CHI,L 23-24,,0,0,,0,0,0,,0,0,,,4,142,35.50,0
5,1977,1977-10-16,5,25.273,RAM,,NOR,W 14-7,,0,0,,0,0,0,,0,0,,,4,129,32.25,0
6,1977,1977-10-24,6,25.281,RAM,,MIN,W 35-3,,0,0,,0,0,0,,0,0,,,7,241,34.43,0
7,1977,1977-10-30,7,25.287,RAM,@,NOR,L 26-27,,0,0,,0,0,0,,0,0,,,3,125,41.67,0
8,1977,1977-11-06,8,25.294,RAM,,TAM,W 31-0,,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,6,212,35.33,0
9,1977,1977-11-13,9,25.301,RAM,@,GNB,W 24-6,,0,0,,0,0,0,,0,0,,,4,129,32.25,0
10,1977,1977-11-20,10,25.308,RAM,@,SFO,W 23-10,,0,0,,0,0,0,,0,0,,,4,117,29.25,0
11,1977,1977-11-27,11,25.315,RAM,@,CLE,W 9-0,,0,0,,0,0,0,,0,0,,,4,129,32.25,0
12,1977,1977-12-04,12,25.322,RAM,,OAK,W 20-14,,0,0,,0,0,0,,0,0,,,4,149,37.25,0
13,1977,1977-12-11,13,25.329,RAM,,ATL,W 23-7,,0,0,,0,0,0,,0,0,,,4,122,30.50,0
14,1977,1977-12-17,14,25.335,RAM,@,WAS,L 14-17,,0,0,,0,0,0,,0,0,,,7,261,37.29,0
15,1978,1978-09-03,1,26.230,RAM,@,PHI,W 16-14,,0,0,,0,0,0,,0,0,,,9,390,43.33,0
16,1978,1978-09-10,2,26.237,RAM,,ATL,W 10-0,,0,0,,0,0,0,,0,0,,,7,209,29.86,0
17,1978,1978-09-17,3,26.244,RAM,,DAL,W 27-14,,0,0,,0,0,0,,0,0,,,7,255,36.43,0
18,1978,1978-09-24,4,26.251,RAM,@,HOU,W 10-6,,0,0,,0,0,0,,0,0,,,3,142,47.33,0
19,1978,1978-10-01,5,26.258,RAM,@,NOR,W 26-20,,0,0,,0,0,0,,0,0,,,2,80,40.00,1
20,1978,1978-10-08,6,26.265,RAM,,SFO,W 27-10,,0,0,,0,0,0,,0,0,,,3,122,40.67,0
21,1978,1978-10-15,7,26.272,RAM,@,MIN,W 34-17,,0,0,,0,0,0,,0,0,,,4,131,32.75,0
22,1978,1978-10-22,8,26.279,RAM,,NOR,L 3-10,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,3,122,40.67,0
23,1978,1978-10-30,9,26.287,RAM,@,ATL,L 7-15,,0,0,,0,0,0,,0,0,,,4,156,39.00,1
24,1978,1978-11-05,10,26.293,RAM,,TAM,W 26-23,,0,0,,0,0,0,,0,0,,,8,333,41.63,0
25,1978,1978-11-12,11,26.300,RAM,,PIT,W 10-7,,0,0,,0,0,0,,0,0,,,7,189,27.00,0
26,1978,1978-11-19,12,26.307,RAM,@,SFO,W 31-28,,0,0,,0,0,0,,0,0,,,3,108,36.00,0
27,1978,1978-11-26,13,26.314,RAM,@,CLE,L 19-30,,0,0,,0,0,0,,0,0,,,3,114,38.00,0
28,1978,1978-12-03,14,26.321,RAM,@,NYG,W 20-17,,0,0,,0,0,0,,0,0,,,8,264,33.00,0
29,1978,1978-12-11,15,26.329,RAM,,CIN,L 19-20,,0,0,,0,0,0,,0,0,,,5,205,41.00,0
30,1978,1978-12-17,16,26.335,RAM,,GNB,W 31-14,,0,0,,0,0,0,,0,0,,,7,249,35.57,0
