ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2001,2001-09-30,3,23.279,IND,@,NWE,L 13-44,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0
2,2001,2001-10-14,4,23.293,IND,,OAK,L 18-23,,,,,,,0.0%,,,,,,,,,,,
3,2001,2001-10-21,5,23.300,IND,,NWE,L 17-38,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,1,2,2.00,0,0,0
4,2001,2001-10-25,6,23.304,IND,@,KAN,W 35-28,,0,0,0,,0,0.0%,,0,0,,0,2,-1,-0.50,0,0,0
5,2001,2001-11-18,9,23.328,IND,@,NOR,L 20-34,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0
6,2001,2001-11-25,10,23.335,IND,,SFO,L 21-40,,7,5,62,12.40,0,71.4%,8.86,0,0,,0,0,0,,0,0,0
7,2001,2001-12-10,12,23.350,IND,@,MIA,L 6-41,,0,,,,,0.0%,,,,,,,,,,,
8,2001,2001-12-16,13,23.356,IND,,ATL,W 41-27,,3,3,53,17.67,1,100.0%,17.67,0,0,,0,1,8,8.00,0,1,6
9,2001,2001-12-23,14,23.363,IND,,NYJ,L 28-29,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,1,25,25.00,0,0,0
10,2001,2001-12-30,15,24.005,IND,@,STL,L 17-42,,,,,,,0.0%,,,,,,,,,,,
11,2001,2002-01-06,16,24.012,IND,,DEN,W 29-10,,3,0,0,,0,0.0%,0.00,1,23,23.00,0,2,37,18.50,0,0,0
