ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1980,1980-09-07,1,22.235,SEA,,SDG,L 13-34,2,32,16.00,0,4,18,4.50,0,0,0
2,1980,1980-09-14,2,22.242,SEA,@,KAN,W 17-16,1,49,49.00,0,4,59,14.75,0,0,0
3,1980,1980-09-21,3,22.249,SEA,,NWE,L 31-37,1,21,21.00,0,2,0,0.00,0,0,0
4,1980,1980-09-28,4,22.256,SEA,@,WAS,W 14-0,0,0,,0,1,1,1.00,0,0,0
5,1980,1980-10-05,5,22.263,SEA,@,HOU,W 26-7,0,0,,0,4,53,13.25,0,0,0
6,1980,1980-10-12,6,22.270,SEA,,CLE,L 3-27,3,43,14.33,0,1,4,4.00,0,0,0
7,1980,1980-10-19,7,22.277,SEA,@,NYJ,W 27-17,1,29,29.00,0,1,3,3.00,0,0,0
8,1980,1980-10-26,8,22.284,SEA,@,OAK,L 14-33,2,87,43.50,0,2,1,0.50,0,0,0
9,1980,1980-11-02,9,22.291,SEA,,PHI,L 20-27,1,29,29.00,0,1,9,9.00,0,0,0
10,1980,1980-11-09,10,22.298,SEA,,KAN,L 30-31,1,17,17.00,0,3,23,7.67,0,0,0
11,1980,1980-11-17,11,22.306,SEA,,OAK,L 17-19,0,0,,0,4,32,8.00,0,0,0
12,1980,1980-11-23,12,22.312,SEA,@,DEN,L 20-36,3,68,22.67,0,4,88,22.00,1,1,6
13,1980,1980-11-27,13,22.316,SEA,@,DAL,L 7-51,5,93,18.60,0,2,5,2.50,0,0,0
14,1980,1980-12-07,14,22.326,SEA,,NYG,L 21-27,1,21,21.00,0,2,12,6.00,0,0,0
15,1980,1980-12-13,15,22.332,SEA,@,SDG,L 14-21,0,0,,0,2,18,9.00,0,0,0
16,1980,1980-12-21,16,22.340,SEA,,DEN,L 17-25,4,96,24.00,0,4,23,5.75,0,0,0
17,1981,1981-09-06,1,23.233,SEA,@,CIN,L 21-27,4,71,17.75,0,4,34,8.50,0,0,0
18,1981,1981-09-13,2,23.240,SEA,,DEN,W 13-10,0,0,,0,3,30,10.00,0,0,0
19,1981,1981-09-20,3,23.247,SEA,@,OAK,L 10-20,0,0,,0,2,24,12.00,0,0,0
20,1981,1981-09-27,4,23.254,SEA,,KAN,L 14-20,4,80,20.00,0,2,6,3.00,0,0,0
21,1981,1981-10-04,5,23.261,SEA,@,SDG,L 10-24,3,54,18.00,0,4,6,1.50,0,0,0
22,1981,1981-10-11,6,23.268,SEA,@,HOU,L 17-35,2,55,27.50,0,0,0,,0,0,0
23,1981,1981-10-18,7,23.275,SEA,,NYG,L 0-32,3,54,18.00,0,0,0,,0,0,0
24,1981,1981-10-25,8,23.282,SEA,@,NYJ,W 19-3,2,39,19.50,0,0,0,,0,0,0
25,1981,1981-11-01,9,23.289,SEA,@,GNB,L 24-34,1,4,4.00,0,0,0,,0,0,0
26,1981,1981-11-08,10,23.296,SEA,,PIT,W 24-21,1,21,21.00,0,0,0,,0,0,0
