ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1967,1967-10-22,7,22.258,DEN,,SDG,L 21-38,0,0,,0,0,0,,0,1,1,0
2,1968,1968-11-17,10,23.285,DEN,@,HOU,L 17-38,1,18,18.00,0,0,0,,0,0,0,0
3,1969,1969-11-16,10,24.283,DEN,,HOU,T 20-20,0,0,,0,1,0,0.00,0,0,0,0
4,1970,1970-11-22,10,25.289,DEN,@,NOR,W 31-6,0,0,,0,1,1,1.00,0,0,0,0
5,1971,1971-10-10,4,26.246,DEN,,OAK,L 16-27,0,0,,0,0,0,,0,1,10,0
6,1971,1971-10-17,5,26.253,DEN,,SDG,W 20-16,0,0,,0,0,0,,0,1,24,0
7,1971,1971-10-24,6,26.260,DEN,@,CLE,W 27-0,0,0,,0,0,0,,0,1,30,0
