ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1983,1983-09-04,1,22.262,DET,@,TAM,W 11-0,,2,19,9.50,0,,,0,0,,0,0,0
2,1983,1983-09-11,2,22.269,DET,,CLE,L 26-31,,2,33,16.50,0,,,0,0,,0,0,0
3,1983,1983-09-18,3,22.276,DET,,ATL,L 14-30,,3,33,11.00,0,,,0,0,,0,0,0
4,1983,1983-09-25,4,22.283,DET,@,MIN,L 17-20,,1,35,35.00,0,,,0,0,,0,0,0
5,1983,1983-10-02,5,22.290,DET,@,RAM,L 10-21,,2,24,12.00,0,,,0,0,,0,0,0
6,1983,1983-10-09,6,22.297,DET,,GNB,W 38-14,,1,13,13.00,0,,,0,0,,0,0,0
7,1983,1983-10-16,7,22.304,DET,,CHI,W 31-17,,1,16,16.00,0,,,0,0,,0,0,0
8,1983,1983-10-23,8,22.311,DET,@,WAS,L 17-38,,3,34,11.33,0,,,0,0,,0,0,0
9,1983,1983-10-30,9,22.318,DET,@,CHI,W 38-17,,3,68,22.67,1,,,0,0,,0,1,6
10,1983,1983-11-07,10,22.326,DET,,NYG,W 15-9,,4,54,13.50,0,,,0,0,,0,0,0
11,1983,1983-11-13,11,22.332,DET,@,HOU,L 17-27,,0,0,,0,,,,,,,,
12,1983,1983-11-20,12,22.339,DET,@,GNB,W 23-20,,1,20,20.00,0,,,0,0,,0,0,0
13,1983,1983-11-24,13,22.343,DET,,PIT,W 45-3,,4,54,13.50,1,,,0,0,,0,1,6
14,1983,1983-12-05,14,22.354,DET,,MIN,W 13-2,,5,89,17.80,1,,,0,0,,0,1,6
15,1983,1983-12-11,15,22.360,DET,@,CIN,L 9-17,,4,79,19.75,0,,,0,0,,0,0,0
16,1983,1983-12-18,16,23.002,DET,,TAM,W 23-20,,4,46,11.50,1,,,0,0,,0,1,6
17,1984,1984-09-02,1,23.261,DET,,SFO,L 27-30,,3,33,11.00,0,,,0,0,,0,0,0
18,1984,1984-09-09,2,23.268,DET,@,ATL,W 27-24,,3,35,11.67,0,,,0,0,,0,0,0
19,1984,1984-09-16,3,23.275,DET,@,TAM,L 17-21,,2,16,8.00,0,,,0,0,,0,0,0
20,1984,1984-09-23,4,23.282,DET,,MIN,L 28-29,,0,0,,0,,,0,0,,0,0,
21,1984,1984-09-30,5,23.289,DET,@,SDG,L 24-27,,2,27,13.50,0,,,1,12,12.00,1,1,6
22,1984,1984-10-07,6,23.296,DET,,DEN,L 7-28,,2,20,10.00,0,,,0,0,,0,0,0
23,1984,1984-10-14,7,23.303,DET,,TAM,W 13-7,,0,0,,0,,,0,0,,0,0,
24,1984,1984-10-21,8,23.310,DET,@,MIN,W 16-14,,1,25,25.00,0,,,0,0,,0,0,0
25,1984,1984-10-28,9,23.317,DET,@,GNB,L 9-41,,4,64,16.00,0,,,0,0,,0,0,0
26,1984,1984-11-04,10,23.324,DET,,PHI,T 23-23,,3,58,19.33,0,,,0,0,,0,0,0
27,1984,1984-11-11,11,23.331,DET,@,WAS,L 14-28,,1,2,2.00,0,,,0,0,,0,0,0
28,1984,1984-11-18,12,23.338,DET,@,CHI,L 14-16,,3,32,10.67,1,,,0,0,,0,1,6
29,1984,1984-11-22,13,23.342,DET,,GNB,W 31-28,,2,42,21.00,1,,,0,0,,0,1,6
30,1984,1984-12-02,14,23.352,DET,@,SEA,L 17-38,,2,26,13.00,0,,,0,0,,0,0,0
31,1984,1984-12-10,15,23.360,DET,,RAI,L 3-24,,4,78,19.50,0,,,0,0,,0,0,0
32,1984,1984-12-16,16,24.000,DET,,CHI,L 13-30,,5,82,16.40,0,,,0,0,,0,0,0
33,1985,1985-09-08,1,24.266,DET,@,ATL,W 28-27,,3,80,26.67,2,,,0,0,,0,2,12
34,1985,1985-09-15,2,24.273,DET,,DAL,W 26-21,,2,44,22.00,1,,,0,0,,0,1,6
35,1985,1985-09-22,3,24.280,DET,@,IND,L 6-14,,4,68,17.00,0,,,0,0,,0,0,0
36,1985,1985-09-29,4,24.287,DET,,TAM,W 30-9,,5,98,19.60,0,,,0,0,,0,0,0
