ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2004,2004-09-19,2,21.361,BAL,,PIT,W 30-13,,,,,,,0.0%,,,
2,2004,2004-09-26,3,22.002,BAL,@,CIN,W 23-9,,1,1,6,6.00,0,100.0%,6.00,0,0
3,2004,2004-10-04,4,22.010,BAL,,KAN,L 24-27,,2,1,11,11.00,0,50.0%,5.50,0,0
4,2004,2004-10-10,5,22.016,BAL,@,WAS,W 17-10,,4,2,9,4.50,0,50.0%,2.25,0,0
5,2004,2004-10-24,6,22.030,BAL,,BUF,W 20-6,,2,,,,,0.0%,,,
6,2004,2004-10-31,7,22.037,BAL,@,PHI,L 10-15,,4,3,82,27.33,0,75.0%,20.50,0,0
7,2004,2004-11-07,8,22.044,BAL,,CLE,W 27-13,,4,2,24,12.00,0,50.0%,6.00,0,0
8,2004,2004-11-14,9,22.051,BAL,@,NYJ,W 20-17,*,9,5,45,9.00,2,55.6%,5.00,2,12
9,2004,2004-11-21,10,22.058,BAL,,DAL,W 30-10,,3,1,24,24.00,0,33.3%,8.00,0,0
10,2004,2004-11-28,11,22.065,BAL,@,NWE,L 3-24,*,4,2,15,7.50,0,50.0%,3.75,0,0
11,2004,2004-12-05,12,22.072,BAL,,CIN,L 26-27,*,5,2,9,4.50,0,40.0%,1.80,0,0
12,2004,2004-12-12,13,22.079,BAL,,NYG,W 37-14,*,7,3,37,12.33,2,42.9%,5.29,2,12
13,2004,2004-12-19,14,22.086,BAL,@,IND,L 10-20,*,5,1,17,17.00,0,20.0%,3.40,0,0
14,2004,2004-12-26,15,22.093,BAL,@,PIT,L 7-20,,5,,,,,0.0%,,,
15,2004,2005-01-02,16,22.100,BAL,,MIA,W 30-23,*,3,1,14,14.00,0,33.3%,4.67,0,0
16,2005,2005-09-11,1,22.352,BAL,,IND,L 7-24,*,8,2,36,18.00,0,25.0%,4.50,0,0
17,2005,2005-09-18,2,22.359,BAL,@,TEN,L 10-25,,5,0,0,,0,0.0%,0.00,0,0
18,2005,2005-10-02,3,23.008,BAL,,NYJ,W 13-3,,2,0,0,,0,0.0%,0.00,0,0
19,2005,2005-10-09,4,23.015,BAL,@,DET,L 17-35,,4,1,23,23.00,0,25.0%,5.75,0,0
20,2006,2006-09-17,2,23.358,BAL,,OAK,W 28-6,,3,0,0,,0,0.0%,0.00,0,0
21,2006,2006-10-09,5,24.015,BAL,@,DEN,L 3-13,,1,0,0,,0,0.0%,0.00,0,0
22,2006,2006-10-29,7,24.035,BAL,@,NOR,W 35-22,,2,2,1,0.50,1,100.0%,0.50,1,6
23,2006,2006-11-05,8,24.042,BAL,,CIN,W 26-20,,,0,0,,0,0.0%,,0,0
24,2006,2006-11-12,9,24.049,BAL,@,TEN,W 27-26,*,,0,0,,0,0.0%,,0,0
25,2006,2006-11-19,10,24.056,BAL,,ATL,W 24-10,,,0,0,,0,0.0%,,0,0
26,2006,2006-11-26,11,24.063,BAL,,PIT,W 27-0,,,0,0,,0,0.0%,,0,0
27,2006,2006-11-30,12,24.067,BAL,@,CIN,L 7-13,,,0,0,,0,0.0%,,0,0
28,2006,2006-12-10,13,24.077,BAL,@,KAN,W 20-10,,,0,0,,0,0.0%,,0,0
29,2006,2006-12-17,14,24.084,BAL,,CLE,W 27-17,,,0,0,,0,0.0%,,0,0
