ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1978,1978-09-03,1,23.065,PIT,@,BUF,W 28-17,1,13,13.00,0
2,1978,1978-09-10,2,23.072,PIT,,SEA,W 21-10,2,25,12.50,0
3,1978,1978-09-17,3,23.079,PIT,@,CIN,W 28-3,4,11,2.75,0
4,1978,1978-09-24,4,23.086,PIT,,CLE,W 15-9,5,24,4.80,0
5,1978,1978-10-01,5,23.093,PIT,@,NYJ,W 28-17,4,48,12.00,0
6,1978,1978-10-08,6,23.100,PIT,,ATL,W 31-7,2,15,7.50,0
7,1978,1978-10-15,7,23.107,PIT,@,CLE,W 34-14,1,7,7.00,0
8,1978,1978-10-23,8,23.115,PIT,,HOU,L 17-24,,,,
9,1978,1978-10-29,9,23.121,PIT,,KAN,W 27-24,1,5,5.00,0
10,1978,1978-11-05,10,23.128,PIT,,NOR,W 20-14,,,,
11,1978,1978-11-12,11,23.135,PIT,@,RAM,L 7-10,,,,
