ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,23.284,GNB,,DET,W 28-9,0,0,,0,3,7,2.33,0,,,,,,,0,0,0,0,0
2,1960,1960-10-23,4,23.305,GNB,,SFO,W 41-14,0,0,,0,2,2,1.00,0,,,,,,,0,0,0,0,0
3,1960,1960-11-06,6,23.319,GNB,@,BAL,L 24-38,0,0,,0,1,0,0.00,0,,,,,,,0,0,0,0,0
4,1960,1960-11-20,8,23.333,GNB,,RAM,L 31-33,0,0,,0,3,17,5.67,0,,,,,,,0,0,0,0,0
5,1960,1960-11-24,9,23.337,GNB,@,DET,L 10-23,0,0,,0,2,40,20.00,0,,,,,,,0,0,0,0,0
6,1960,1960-12-04,10,23.347,GNB,@,CHI,W 41-13,0,0,,0,1,17,17.00,0,,,,,,,0,0,0,0,0
7,1960,1960-12-10,11,23.353,GNB,@,SFO,W 13-0,0,0,,0,3,17,5.67,0,,,,,,,0,0,0,0,0
8,1960,1960-12-17,12,23.360,GNB,@,RAM,W 35-21,0,0,,0,1,6,6.00,0,,,,,,,0,0,0,0,0
9,1961,1961-09-17,1,24.268,GNB,,DET,L 13-17,0,0,,0,1,16,16.00,0,,,,,,,0,0,0,0,0
10,1961,1961-09-24,2,24.275,GNB,,SFO,W 30-10,0,0,,0,2,46,23.00,1,,,,,,,1,6,0,0,0
11,1961,1961-10-01,3,24.282,GNB,,CHI,W 24-0,0,0,,0,1,21,21.00,0,,,,,,,0,0,0,0,0
12,1961,1961-10-08,4,24.289,GNB,,BAL,W 45-7,0,0,,0,2,88,44.00,1,,,,,,,1,6,1,16,0
13,1961,1961-10-15,5,24.296,GNB,@,CLE,W 49-17,0,0,,0,1,5,5.00,0,,,,,,,0,0,0,0,0
14,1961,1961-10-22,6,24.303,GNB,@,MIN,W 33-7,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
15,1961,1961-10-29,7,24.310,GNB,,MIN,W 28-10,0,0,,0,1,8,8.00,0,,,,,,,0,0,1,7,0
16,1961,1961-11-05,8,24.317,GNB,@,BAL,L 21-45,0,0,,0,1,11,11.00,0,,,,,,,0,0,0,0,0
17,1961,1961-11-12,9,24.324,GNB,@,CHI,W 31-28,0,0,,0,1,5,5.00,0,,,,,,,0,0,0,0,0
18,1961,1961-11-23,11,24.335,GNB,@,DET,W 17-9,0,0,,0,1,2,2.00,0,,,,,,,0,0,1,8,0
