ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,24.084,GNB,,CHI,W 21-15,,0,0,0,,0,0.0%,,0.0,1,0
2,2009,2009-09-20,2,24.091,GNB,,CIN,L 24-31,,,,,,,0.0%,,,,
3,2009,2009-09-27,3,24.098,GNB,@,STL,W 36-17,,0,0,0,,0,0.0%,,0.0,0,0
4,2009,2009-10-05,4,24.106,GNB,@,MIN,L 23-30,,,0,0,,0,0.0%,,0.0,0,0
5,2009,2009-10-18,5,24.119,GNB,,DET,W 26-0,,1,0,0,,0,0.0%,0.00,0.0,0,0
6,2009,2009-10-25,6,24.126,GNB,@,CLE,W 31-3,,,,,,,0.0%,,,,
7,2010,2010-09-12,1,25.083,GNB,@,PHI,W 27-20,,,,,,,0.0%,,,,
8,2010,2010-09-19,2,25.090,GNB,,BUF,W 34-7,,,,,,,0.0%,,,,
9,2010,2010-09-27,3,25.098,GNB,@,CHI,L 17-20,,,,,,,0.0%,,,,
10,2010,2010-10-03,4,25.104,GNB,,DET,W 28-26,,,,,,,0.0%,,,,
11,2010,2010-10-10,5,25.111,GNB,@,WAS,L 13-16,,,,,,,0.0%,,,,
12,2010,2010-10-17,6,25.118,GNB,,MIA,L 20-23,,,,,,,0.0%,,,,
13,2010,2010-10-24,7,25.125,GNB,,MIN,W 28-24,,,,,,,0.0%,,,,
14,2010,2010-10-31,8,25.132,GNB,@,NYJ,W 9-0,,1,1,12,12.00,0,100.0%,12.00,0.0,0,0
15,2010,2010-11-07,9,25.139,GNB,,DAL,W 45-7,,3,1,2,2.00,0,33.3%,0.67,0.0,0,0
16,2010,2010-11-21,10,25.153,GNB,@,MIN,W 31-3,,1,,,,,0.0%,,,,
17,2010,2010-11-28,11,25.160,GNB,@,ATL,L 17-20,,2,2,40,20.00,0,100.0%,20.00,0.0,0,0
18,2010,2010-12-05,12,25.167,GNB,,SFO,W 34-16,,,,,,,0.0%,,,,
19,2010,2010-12-12,13,25.174,GNB,@,DET,L 3-7,,1,1,12,12.00,0,100.0%,12.00,0.0,0,0
20,2010,2010-12-19,14,25.181,GNB,@,NWE,L 27-31,*,1,1,6,6.00,0,100.0%,6.00,0.0,0,0
21,2010,2010-12-26,15,25.188,GNB,,NYG,W 45-17,,,,,,,0.0%,,,,
22,2010,2011-01-02,16,25.195,GNB,,CHI,W 10-3,,,0,0,,0,0.0%,,0.0,0,1
23,2011,2011-10-16,6,26.117,SFO,@,DET,W 25-19,,,,,,,0.0%,,,,
24,2011,2011-12-04,12,26.166,SFO,,STL,W 26-0,,,,,,,0.0%,,,,
25,2011,2011-12-19,14,26.181,SFO,,PIT,W 20-3,,2,1,9,9.00,0,50.0%,4.50,0.0,0,0
26,2011,2011-12-24,15,26.186,SFO,@,SEA,W 19-17,,,,,,,0.0%,,,,
27,2011,2012-01-01,16,26.194,SFO,@,STL,W 34-27,*,5,1,6,6.00,0,20.0%,1.20,0.0,0,0
