ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,22.217,ARI,@,PHI,W 25-24,,,,,,,,
2,1999,1999-09-19,2,22.224,ARI,@,MIA,L 16-19,,,,,,,,
3,1999,1999-09-27,3,22.232,ARI,,SFO,L 10-24,,,,,,,,
4,1999,1999-10-03,4,22.238,ARI,@,DAL,L 7-35,,,,,,,,
5,1999,1999-10-10,5,22.245,ARI,,NYG,W 14-3,,,,,,,,
6,1999,1999-10-17,6,22.252,ARI,,WAS,L 10-24,,,,,,,,
7,1999,1999-10-31,7,22.266,ARI,,NWE,L 3-27,,,,,,,,
8,1999,1999-11-07,8,22.273,ARI,@,NYJ,L 7-12,,,,,,,,
9,1999,1999-11-14,9,22.280,ARI,,DET,W 23-19,,,,,,,,
10,1999,1999-11-21,10,22.287,ARI,,DAL,W 13-9,,,,,,,,
11,1999,1999-11-28,11,22.294,ARI,@,NYG,W 34-24,,,,,,,,
12,1999,1999-12-05,12,22.301,ARI,,PHI,W 21-17,,,,,,,,
13,1999,1999-12-12,13,22.308,ARI,@,WAS,L 3-28,,,,,,,,
14,1999,1999-12-19,14,22.315,ARI,,BUF,L 21-31,,,,,,,,
15,1999,1999-12-26,15,22.322,ARI,@,ATL,L 14-37,,,,,,,,
16,1999,2000-01-02,16,22.329,ARI,@,GNB,L 24-49,,,,,,,,
17,2001,2001-09-23,1,24.228,ARI,,DEN,L 17-38,,,,,,,,
18,2001,2001-09-30,2,24.235,ARI,,ATL,L 14-34,,,,,,,,
19,2001,2001-10-07,3,24.242,ARI,@,PHI,W 21-20,,,,,,,,
20,2001,2001-10-14,4,24.249,ARI,@,CHI,L 13-20,,,,,,,,
21,2001,2001-10-21,5,24.256,ARI,,KAN,W 24-16,,,,,,,,
22,2001,2001-10-28,6,24.263,ARI,@,DAL,L 3-17,,,,,,,,
23,2001,2001-11-04,7,24.270,ARI,,PHI,L 7-21,,,,,,,,
24,2001,2001-11-11,8,24.277,ARI,,NYG,L 10-17,,,,,,,,
25,2001,2001-11-18,9,24.284,ARI,,DET,W 45-38,,,,,,,,
26,2001,2001-11-25,10,24.291,ARI,@,SDG,W 20-17,,,,,,,,
27,2001,2001-12-15,13,24.311,ARI,@,NYG,L 13-17,,,,,,,,
28,2001,2001-12-23,14,24.319,ARI,,DAL,W 17-10,,,,,,,,
29,2001,2001-12-30,15,24.326,ARI,@,CAR,W 30-7,,,,,,,,
30,2002,2002-09-08,1,25.213,ARI,@,WAS,L 23-31,,,,,,,,
31,2002,2002-09-15,2,25.220,ARI,@,SEA,W 24-13,,,,,,,,
32,2002,2002-09-22,3,25.227,ARI,,SDG,L 15-23,,,,,,,,
33,2002,2002-09-29,4,25.234,ARI,,NYG,W 21-7,,,,,,,,
34,2002,2002-10-06,5,25.241,ARI,@,CAR,W 16-13,,0,0,,0,1,0,0
35,2002,2002-10-20,6,25.255,ARI,,DAL,W 9-6,,,,,,,,
36,2002,2002-10-27,7,25.262,ARI,@,SFO,L 28-38,,,,,,,,
37,2002,2002-11-03,8,25.269,ARI,,STL,L 14-27,,,,,,,,
38,2002,2002-11-10,9,25.276,ARI,,SEA,L 6-27,,,,,,,,
39,2002,2002-11-17,10,25.283,ARI,@,PHI,L 14-38,,,,,,,,
40,2002,2002-11-24,11,25.290,ARI,,OAK,L 20-41,*,,,,,,,
41,2002,2002-12-01,12,25.297,ARI,@,KAN,L 0-49,,,,,,,,
42,2002,2002-12-08,13,25.304,ARI,,DET,W 23-20,,,,,,,,
43,2002,2002-12-15,14,25.311,ARI,@,STL,L 28-30,,,,,,,,
44,2002,2002-12-21,15,25.317,ARI,,SFO,L 14-17,,1,18,18.00,0,0,0,0
45,2002,2002-12-29,16,25.325,ARI,@,DEN,L 7-37,,,,,,,,
46,2003,2003-09-07,1,26.212,ARI,@,DET,L 24-42,,,,,,,,
47,2003,2003-09-14,2,26.219,ARI,,SEA,L 0-38,,,,,,,,
48,2003,2003-09-21,3,26.226,ARI,,GNB,W 20-13,,,,,,,,
49,2003,2003-09-28,4,26.233,ARI,@,STL,L 13-37,,,,,,,,
50,2003,2003-10-05,5,26.240,ARI,@,DAL,L 7-24,,,,,,,,
51,2003,2003-10-12,6,26.247,ARI,,BAL,L 18-26,,,,,,,,
52,2003,2003-10-26,7,26.261,ARI,,SFO,W 16-13,,,,,,,,
53,2003,2003-11-02,8,26.268,ARI,,CIN,W 17-14,,,,,,,,
54,2003,2003-11-09,9,26.275,ARI,@,PIT,L 15-28,,,,,,,,
55,2003,2003-11-16,10,26.282,ARI,@,CLE,L 6-44,,,,,,,,
56,2003,2003-11-23,11,26.289,ARI,,STL,L 27-30,,0,0,,0,1,5,0
57,2003,2003-11-30,12,26.296,ARI,@,CHI,L 3-28,*,,,,,,,
58,2003,2003-12-07,13,26.303,ARI,@,SFO,L 14-50,*,,,,,,,
59,2003,2003-12-14,14,26.310,ARI,,CAR,L 17-20,,,,,,,,
60,2003,2003-12-21,15,26.317,ARI,@,SEA,L 10-28,,,,,,,,
61,2003,2003-12-28,16,26.324,ARI,,MIN,W 18-17,,,,,,,,
