ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.140,ARI,,SFO,L 16-20,*,0,0,,0,0,0,0,,0,0.0%,,3,62,20.67,0,0,0,0.0,0,0
2,2009,2009-09-20,2,22.147,ARI,@,JAX,W 31-17,,1,2,2.00,0,2,2,14,7.00,0,100.0%,7.00,2,51,25.50,0,0,0,0.0,0,0
3,2009,2009-09-27,3,22.154,ARI,,IND,L 10-31,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,4,78,19.50,0,0,0,0.0,0,0
4,2009,2009-10-11,4,22.168,ARI,,HOU,W 28-21,,0,0,,0,2,0,0,,0,0.0%,0.00,3,60,20.00,0,0,0,0.0,0,0
5,2009,2009-10-18,5,22.175,ARI,@,SEA,W 27-3,,0,0,,0,1,0,0,,0,0.0%,0.00,1,17,17.00,0,0,0,0.0,0,0
6,2009,2009-10-25,6,22.182,ARI,@,NYG,W 24-17,,1,-1,-1.00,0,0,0,0,,0,0.0%,,4,86,21.50,0,0,0,0.0,0,0
7,2009,2009-11-01,7,22.189,ARI,,CAR,L 21-34,,0,0,,0,2,1,14,14.00,1,50.0%,7.00,4,126,31.50,0,1,6,0.0,0,1
8,2009,2009-11-08,8,22.196,ARI,@,CHI,W 41-21,,1,5,5.00,0,0,0,0,,0,0.0%,,3,63,21.00,0,0,0,0.0,0,0
9,2009,2009-11-15,9,22.203,ARI,,SEA,W 31-20,,0,0,,0,2,2,22,11.00,0,100.0%,11.00,2,50,25.00,0,0,0,0.0,0,0
10,2009,2009-11-22,10,22.210,ARI,@,STL,W 21-13,,0,0,,0,0,0,0,,0,0.0%,,4,91,22.75,0,0,0,0.0,0,0
11,2009,2009-11-29,11,22.217,ARI,@,TEN,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,4,167,41.75,1,1,6,0.0,0,0
