ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2010,2010-10-24,7,22.201,CLE,@,NOR,W 30-17,,,,,,,0.0%,,,,,,,,
2,2010,2010-11-07,8,22.215,CLE,,NWE,W 34-14,,,,,,,0.0%,,,,,,,,
3,2010,2010-11-21,10,22.229,CLE,@,JAX,L 20-24,,,,,,,0.0%,,,,,,,,
4,2010,2010-11-28,11,22.236,CLE,,CAR,W 24-23,,1,0,0,,0,0.0%,0.00,1,9,9.00,0,0.0,0,0
5,2010,2010-12-12,13,22.250,CLE,@,BUF,L 6-13,,,,,,,0.0%,,,,,,,,
6,2011,2011-09-25,3,23.172,CLE,,MIA,W 17-16,,,,,,,0.0%,,,,,,,,
7,2011,2011-10-02,4,23.179,CLE,,TEN,L 13-31,,,0,0,,0,0.0%,,0,0,,0,0.0,3,0
8,2011,2011-10-30,7,23.207,CLE,@,SFO,L 10-20,,,,,,,0.0%,,,,,,,,
9,2011,2011-11-06,8,23.214,CLE,@,HOU,L 12-30,,,,,,,0.0%,,,,,,,,
10,2011,2011-11-13,9,23.221,CLE,,STL,L 12-13,,,,,,,0.0%,,,,,,,,
11,2011,2011-11-20,10,23.228,CLE,,JAX,W 14-10,,,,,,,0.0%,,,,,,,,
12,2011,2011-11-27,11,23.235,CLE,@,CIN,L 20-23,,,,,,,0.0%,,,,,,,,
13,2011,2011-12-04,12,23.242,CLE,,BAL,L 10-24,,,,,,,0.0%,,,,,,,,
14,2011,2011-12-08,13,23.246,CLE,@,PIT,L 3-14,,,,,,,0.0%,,,,,,,,
15,2011,2011-12-18,14,23.256,CLE,@,ARI,L 17-20,,0,,,,,0.0%,,,,,,,,
16,2011,2011-12-24,15,23.262,CLE,@,BAL,L 14-20,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0.0,0,0
17,2011,2012-01-01,16,23.270,CLE,,PIT,L 9-13,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0.0,0,0
