ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,23.198,NWE,,MIA,W 34-24,,,,,
2,1974,1974-09-22,2,23.205,NWE,@,NYG,W 28-20,,,,,
3,1974,1974-09-29,3,23.212,NWE,,RAM,W 20-14,0,0,1,33,0
4,1974,1974-10-06,4,23.219,NWE,,BAL,W 42-3,,,,,
5,1974,1974-10-13,5,23.226,NWE,@,NYJ,W 24-0,,,,,
6,1974,1974-10-20,6,23.233,NWE,@,BUF,L 28-30,,,,,
7,1974,1974-10-27,7,23.240,NWE,@,MIN,W 17-14,,,,,
8,1974,1974-11-03,8,23.247,NWE,,BUF,L 28-29,,,,,
9,1974,1974-11-10,9,23.254,NWE,,CLE,L 14-21,,,,,
10,1974,1974-11-17,10,23.261,NWE,,NYJ,L 16-21,,,,,
11,1974,1974-11-24,11,23.268,NWE,@,BAL,W 27-17,,,,,
12,1974,1974-12-01,12,23.275,NWE,@,OAK,L 26-41,,,,,
13,1974,1974-12-08,13,23.282,NWE,,PIT,L 17-21,0,0,1,0,0
14,1974,1974-12-15,14,23.289,NWE,@,MIA,L 27-34,0,0,1,28,0
15,1975,1975-09-21,1,24.204,NWE,,HOU,L 0-7,,,,,
16,1975,1975-09-28,2,24.211,NWE,,MIA,L 14-22,,,,,
17,1975,1975-10-05,3,24.218,NWE,@,NYJ,L 7-36,,,,,
18,1975,1975-10-12,4,24.225,NWE,@,CIN,L 10-27,,,,,
19,1975,1975-10-19,5,24.232,NWE,,BAL,W 21-10,,,,,
20,1975,1975-10-26,6,24.239,NWE,,SFO,W 24-16,,,,,
21,1975,1975-11-02,7,24.246,NWE,@,STL,L 17-24,,,,,
22,1975,1975-11-09,8,24.253,NWE,@,SDG,W 33-19,,,,,
23,1975,1975-11-16,9,24.260,NWE,,DAL,L 31-34,,,,,
24,1975,1975-11-23,10,24.267,NWE,@,BUF,L 31-45,,,,,
25,1975,1975-12-01,11,24.275,NWE,@,MIA,L 7-20,,,,,
26,1975,1975-12-07,12,24.281,NWE,,NYJ,L 28-30,,,,,
27,1975,1975-12-14,13,24.288,NWE,,BUF,L 14-34,,,,,
28,1975,1975-12-21,14,24.295,NWE,@,BAL,L 21-34,,,,,
29,1976,1976-09-12,1,25.195,NWE,,BAL,L 13-27,,,,,
30,1976,1976-09-19,2,25.202,NWE,,MIA,W 30-14,0,0,1,11,0
31,1976,1976-09-26,3,25.209,NWE,@,PIT,W 30-27,,,,,
32,1976,1976-10-03,4,25.216,NWE,,OAK,W 48-17,0,0,1,53,0
33,1976,1976-10-10,5,25.223,NWE,@,DET,L 10-30,,,,,
34,1976,1976-10-18,6,25.231,NWE,,NYJ,W 41-7,,,,,
35,1976,1976-10-24,7,25.237,NWE,@,BUF,W 26-22,,,,,
36,1976,1976-10-31,8,25.244,NWE,@,MIA,L 3-10,,,,,
37,1976,1976-11-07,9,25.251,NWE,,BUF,W 20-10,0,0,1,0,0
38,1976,1976-11-14,10,25.258,NWE,@,BAL,W 21-14,,,,,
39,1976,1976-11-21,11,25.265,NWE,@,NYJ,W 38-24,2,12,2,118,2
40,1976,1976-11-28,12,25.272,NWE,,DEN,W 38-14,,,,,
41,1976,1976-12-05,13,25.279,NWE,,NOR,W 27-6,,,,,
42,1976,1976-12-12,14,25.286,NWE,@,TAM,W 31-14,,,,,
43,1977,1977-09-18,1,26.201,NWE,,KAN,W 21-17,,,,,
44,1977,1977-09-26,2,26.209,NWE,@,CLE,L 27-30,0,0,1,0,0
45,1977,1977-10-02,3,26.215,NWE,@,NYJ,L 27-30,0,0,1,13,0
46,1977,1977-10-09,4,26.222,NWE,,SEA,W 31-0,,,,,
47,1977,1977-10-16,5,26.229,NWE,@,SDG,W 24-20,0,0,1,0,0
48,1977,1977-10-23,6,26.236,NWE,,BAL,W 17-3,,,,,
49,1977,1977-10-30,7,26.243,NWE,,NYJ,W 24-13,,,,,
50,1977,1977-11-06,8,26.250,NWE,,BUF,L 14-24,,,,,
51,1977,1977-11-13,9,26.257,NWE,@,MIA,L 5-17,,,,,
52,1977,1977-11-20,10,26.264,NWE,@,BUF,W 20-7,,,,,
53,1977,1977-11-27,11,26.271,NWE,,PHI,W 14-6,,,,,
54,1977,1977-12-04,12,26.278,NWE,@,ATL,W 16-10,0,0,1,48,0
55,1977,1977-12-11,13,26.285,NWE,,MIA,W 14-10,,,,,
56,1977,1977-12-18,14,26.292,NWE,@,BAL,L 24-30,,,,,
57,1978,1978-09-03,1,27.186,NWE,,WAS,L 14-16,,,,,
58,1978,1978-11-05,10,27.249,NWE,@,BUF,W 14-10,,,,,
59,1978,1978-11-12,11,27.256,NWE,,HOU,L 23-26,,,,,
60,1978,1978-11-19,12,27.263,NWE,@,NYJ,W 19-17,,,,,
61,1978,1978-11-26,13,27.270,NWE,@,BAL,W 35-14,,,,,
62,1978,1978-12-03,14,27.277,NWE,@,DAL,L 10-17,,,,,
63,1978,1978-12-10,15,27.284,NWE,,BUF,W 26-24,,,,,
64,1978,1978-12-18,16,27.292,NWE,@,MIA,L 3-23,,,,,
65,1979,1979-09-03,1,28.186,NWE,,PIT,L 13-16,,,,,
66,1979,1979-09-09,2,28.192,NWE,,NYJ,W 56-3,0,0,1,26,0
67,1979,1979-09-16,3,28.199,NWE,@,CIN,W 20-14,,,,,
68,1979,1979-09-23,4,28.206,NWE,,SDG,W 27-21,,,,,
69,1979,1979-10-01,5,28.214,NWE,@,GNB,L 14-27,0,0,1,0,0
70,1979,1979-10-21,8,28.234,NWE,,MIA,W 28-13,,,,,
71,1979,1979-10-28,9,28.241,NWE,@,BAL,L 26-31,,,,,
72,1979,1979-11-04,10,28.248,NWE,@,BUF,W 26-6,,,,,
73,1979,1979-11-11,11,28.255,NWE,@,DEN,L 10-45,,,,,
74,1979,1979-11-18,12,28.262,NWE,,BAL,W 50-21,,,,,
75,1979,1979-11-25,13,28.269,NWE,,BUF,L 13-16,,,,,
76,1979,1979-11-29,14,28.273,NWE,@,MIA,L 24-39,0,0,1,22,0
77,1979,1979-12-09,15,28.283,NWE,@,NYJ,L 26-27,,,,,
78,1979,1979-12-16,16,28.290,NWE,,MIN,W 27-23,,,,,
79,1980,1980-09-07,1,29.190,NWE,,CLE,W 34-17,,,,,
80,1980,1980-09-14,2,29.197,NWE,,ATL,L 21-37,,,,,
81,1980,1980-09-21,3,29.204,NWE,@,SEA,W 37-31,,,,,
82,1980,1980-10-05,5,29.218,DET,@,ATL,L 28-43,,,,,
83,1980,1980-10-12,6,29.225,DET,,NOR,W 24-13,,,,,
84,1980,1980-10-19,7,29.232,DET,@,CHI,L 7-24,,,,,
85,1980,1980-10-26,8,29.239,DET,@,KAN,L 17-20,,,,,
86,1980,1980-11-02,9,29.246,DET,,SFO,W 17-13,,,,,
87,1980,1980-11-09,10,29.253,DET,@,MIN,L 0-34,,,,,
88,1980,1980-11-16,11,29.260,DET,,BAL,L 9-10,,,,,
