ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.245,MIN,,JAX,W 26-23,,2,2,100.0,4,4,100.0,0,14,0.0,0,0
2,2012,2012-09-16,2,22.252,MIN,@,IND,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
3,2012,2012-09-23,3,22.259,MIN,,SFO,W 24-13,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
4,2012,2012-09-30,4,22.266,MIN,@,DET,W 20-13,,2,2,100.0,2,3,66.7,0,8,0.0,0,0
5,2012,2012-10-07,5,22.273,MIN,,TEN,W 30-7,,3,3,100.0,3,3,100.0,0,12,0.0,0,0
6,2012,2012-10-14,6,22.280,MIN,@,WAS,L 26-38,,,,,4,4,100.0,0,12,0.0,0,0
7,2012,2012-10-21,7,22.287,MIN,,ARI,W 21-14,,3,3,100.0,,,,0,3,0.0,0,0
8,2012,2012-10-25,8,22.291,MIN,,TAM,L 17-36,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
9,2012,2012-11-04,9,22.301,MIN,@,SEA,L 20-30,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
10,2012,2012-11-11,10,22.308,MIN,,DET,W 34-24,,2,2,100.0,4,4,100.0,0,14,0.0,0,0
11,2012,2012-11-25,11,22.322,MIN,@,CHI,L 10-28,,1,1,100.0,1,2,50.0,0,4,0.0,0,0
12,2012,2012-12-02,12,22.329,MIN,@,GNB,L 14-23,,2,2,100.0,,1,0.0,0,2,0.0,0,0
13,2012,2012-12-09,13,22.336,MIN,,CHI,W 21-14,,3,3,100.0,,,,0,3,0.0,0,0
14,2012,2012-12-16,14,22.343,MIN,@,STL,W 36-22,,3,3,100.0,5,5,100.0,0,18,0.0,0,0
15,2012,2012-12-23,15,22.350,MIN,@,HOU,W 23-6,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
16,2012,2012-12-30,16,22.357,MIN,,GNB,W 37-34,,4,4,100.0,3,3,100.0,0,13,0.0,0,0
17,2013,2013-09-08,1,23.243,MIN,@,DET,L 24-34,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
18,2013,2013-09-15,2,23.250,MIN,@,CHI,L 30-31,,3,3,100.0,3,3,100.0,0,12,0.0,0,0
19,2013,2013-09-22,3,23.257,MIN,,CLE,L 27-31,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
20,2013,2013-09-29,4,23.264,MIN,,PIT,W 34-27,,4,4,100.0,2,3,66.7,0,10,0.0,0,0
21,2013,2013-10-13,5,23.278,MIN,,CAR,L 10-35,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
22,2013,2013-10-21,6,23.286,MIN,@,NYG,L 7-23,,1,1,100.0,,1,0.0,0,1,0.0,0,0
23,2013,2013-10-27,7,23.292,MIN,,GNB,L 31-44,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
24,2013,2013-11-03,8,23.299,MIN,@,DAL,L 23-27,,2,3,66.7,1,1,100.0,0,5,0.0,0,0
25,2013,2013-11-07,9,23.303,MIN,,WAS,W 34-27,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
26,2013,2013-11-17,10,23.313,MIN,@,SEA,L 20-41,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
27,2013,2013-11-24,11,23.320,MIN,@,GNB,T 26-26,,2,2,100.0,4,4,100.0,0,14,0.0,0,0
28,2013,2013-12-01,12,23.327,MIN,,CHI,W 23-20,,2,2,100.0,3,4,75.0,0,11,0.0,1,0
29,2013,2013-12-08,13,23.334,MIN,@,BAL,L 26-29,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
30,2013,2013-12-15,14,23.341,MIN,,PHI,W 48-30,,6,6,100.0,2,3,66.7,0,12,0.0,0,1
31,2013,2013-12-22,15,23.348,MIN,@,CIN,L 14-42,,2,2,100.0,,,,0,2,0.0,0,0
32,2013,2013-12-29,16,23.355,MIN,,DET,W 14-13,,2,2,100.0,,,,0,2,0.0,0,0
33,2014,2014-09-07,1,24.242,MIN,@,STL,W 34-6,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
34,2014,2014-09-14,2,24.249,MIN,,NWE,L 7-30,,1,1,100.0,,1,0.0,0,1,0.0,0,0
35,2014,2014-09-21,3,24.256,MIN,@,NOR,L 9-20,,,,,3,3,100.0,0,9,0.0,0,0
36,2014,2014-09-28,4,24.263,MIN,,ATL,W 41-28,,3,3,100.0,4,5,80.0,0,15,0.0,0,0
37,2014,2014-10-02,5,24.267,MIN,@,GNB,L 10-42,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
38,2014,2014-10-12,6,24.277,MIN,,DET,L 3-17,,,,,1,1,100.0,0,3,0.0,0,0
39,2014,2014-10-19,7,24.284,MIN,@,BUF,L 16-17,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
40,2014,2014-10-26,8,24.291,MIN,@,TAM,W 19-13,,1,1,100.0,2,3,66.7,0,7,0.0,0,0
41,2014,2014-11-02,9,24.298,MIN,,WAS,W 29-26,,3,3,100.0,,,,0,3,0.0,0,0
42,2014,2014-11-16,10,24.312,MIN,@,CHI,L 13-21,,1,1,100.0,2,3,66.7,0,7,0.0,0,0
43,2014,2014-11-23,11,24.319,MIN,,GNB,L 21-24,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
44,2014,2014-11-30,12,24.326,MIN,,CAR,W 31-13,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
45,2014,2014-12-07,13,24.333,MIN,,NYJ,W 30-24,,3,3,100.0,1,3,33.3,0,6,0.0,0,0
46,2014,2014-12-14,14,24.340,MIN,@,DET,L 14-16,,2,2,100.0,,3,0.0,0,2,0.0,0,0
47,2014,2014-12-21,15,24.347,MIN,@,MIA,L 35-37,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
48,2014,2014-12-28,16,24.354,MIN,,CHI,W 13-9,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
49,2015,2015-09-14,1,25.249,MIN,@,SFO,L 3-20,,,,,1,2,50.0,0,3,0.0,0,0
50,2015,2015-09-20,2,25.255,MIN,,DET,W 26-16,,2,3,66.7,2,2,100.0,0,8,0.0,0,0
51,2015,2015-09-27,3,25.262,MIN,,SDG,W 31-14,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
52,2015,2015-10-04,4,25.269,MIN,@,DEN,L 20-23,,2,2,100.0,2,3,66.7,0,8,0.0,0,0
53,2015,2015-10-18,5,25.283,MIN,,KAN,W 16-10,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
54,2015,2015-10-25,6,25.290,MIN,@,DET,W 28-19,,1,2,50.0,5,5,100.0,0,16,0.0,0,0
55,2015,2015-11-01,7,25.297,MIN,@,CHI,W 23-20,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
56,2015,2015-11-08,8,25.304,MIN,,STL,W 21-18,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
57,2015,2015-11-15,9,25.311,MIN,@,OAK,W 30-14,,3,3,100.0,3,5,60.0,0,12,0.0,0,0
58,2015,2015-11-22,10,25.318,MIN,,GNB,L 13-30,,1,2,50.0,,,,0,1,0.0,0,0
59,2015,2015-11-29,11,25.325,MIN,@,ATL,W 20-10,,2,2,100.0,2,3,66.7,0,8,0.0,0,0
60,2015,2015-12-06,12,25.332,MIN,,SEA,L 7-38,,1,1,100.0,,,,0,1,0.0,0,0
61,2015,2015-12-10,13,25.336,MIN,@,ARI,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
62,2015,2015-12-20,14,25.346,MIN,,CHI,W 38-17,,5,5,100.0,1,1,100.0,0,8,0.0,0,0
63,2015,2015-12-27,15,25.353,MIN,,NYG,W 49-17,,4,5,80.0,5,5,100.0,0,19,0.0,0,0
64,2015,2016-01-03,16,25.360,MIN,@,GNB,W 20-13,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
65,2016,2016-09-11,1,26.247,MIN,@,TEN,W 25-16,,1,2,50.0,4,6,66.7,0,13,0.0,0,0
66,2016,2016-09-18,2,26.254,MIN,,GNB,W 17-14,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
67,2016,2016-09-25,3,26.261,MIN,@,CAR,W 22-10,,,1,0.0,2,2,100.0,0,6,0.0,0,0
68,2016,2016-10-03,4,26.269,MIN,,NYG,W 24-10,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
69,2016,2016-10-09,5,26.275,MIN,,HOU,W 31-13,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
70,2016,2016-10-23,6,26.289,MIN,@,PHI,L 10-21,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
71,2016,2016-10-31,7,26.297,MIN,@,CHI,L 10-20,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
72,2016,2016-11-06,8,26.303,MIN,,DET,L 16-22,,1,2,50.0,1,2,50.0,0,4,0.0,0,0
73,2016,2016-11-13,9,26.310,MIN,@,WAS,L 20-26,,2,3,66.7,,,,0,2,0.0,0,0
74,2017,2017-09-10,1,27.245,SEA,@,GNB,L 9-17,,,,,3,3,100.0,0,9,0.0,0,0
75,2017,2017-09-17,2,27.252,SEA,,SFO,W 12-9,,,1,0.0,2,2,100.0,0,6,0.0,0,0
76,2017,2017-09-24,3,27.259,SEA,@,TEN,L 27-33,,3,3,100.0,,,,0,3,0.0,0,0
77,2017,2017-10-01,4,27.266,SEA,,IND,W 46-18,,5,5,100.0,1,2,50.0,0,8,0.0,0,0
78,2017,2017-10-08,5,27.273,SEA,@,LAR,W 16-10,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
79,2017,2017-10-22,6,27.287,SEA,@,NYG,W 24-7,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
80,2017,2017-10-29,7,27.294,SEA,,HOU,W 41-38,,5,5,100.0,2,2,100.0,0,11,0.0,0,0
81,2017,2017-11-05,8,27.301,SEA,,WAS,L 14-17,,,,,,3,0.0,0,0,0.0,0,0
82,2017,2017-11-09,9,27.305,SEA,@,ARI,W 22-16,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
83,2017,2017-11-20,10,27.316,SEA,,ATL,L 31-34,,2,2,100.0,3,4,75.0,0,11,0.0,0,0
84,2017,2017-11-26,11,27.322,SEA,@,SFO,W 24-13,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
85,2017,2017-12-03,12,27.329,SEA,,PHI,W 24-10,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
86,2017,2017-12-10,13,27.336,SEA,@,JAX,L 24-30,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
87,2017,2017-12-17,14,27.343,SEA,,LAR,L 7-42,,1,1,100.0,,,,0,1,0.0,0,0
88,2017,2017-12-24,15,27.350,SEA,@,DAL,W 21-12,,3,3,100.0,,,,0,3,0.0,0,0
89,2017,2017-12-31,16,27.357,SEA,,ARI,L 24-26,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
