ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1983,1983-09-04,1,22.319,STL,@,NOR,L 17-28,0,0,,0,0,0,,0
2,1983,1983-09-11,2,22.326,STL,,DAL,L 17-34,0,0,,0,0,0,,0
3,1983,1983-09-18,3,22.333,STL,,SFO,L 27-42,1,17,17.00,0,2,29,14.50,0
4,1983,1983-09-25,4,22.340,STL,@,PHI,W 14-11,0,0,,0,0,0,,0
5,1983,1983-10-02,5,22.347,STL,@,KAN,L 14-38,0,0,,0,2,9,4.50,0
6,1983,1983-10-09,6,22.354,STL,,WAS,L 14-38,2,32,16.00,0,2,-2,-1.00,0
7,1983,1983-10-16,7,22.361,STL,@,TAM,W 34-27,2,57,28.50,0,1,6,6.00,0
8,1983,1983-10-24,8,23.004,STL,,NYG,T 20-20,4,88,22.00,0,5,32,6.40,0
9,1983,1983-11-13,11,23.024,STL,,SEA,W 33-28,0,0,,0,2,2,1.00,0
10,1983,1983-11-20,12,23.031,STL,,SDG,W 44-14,0,0,,0,0,0,,0
11,1983,1983-11-24,13,23.035,STL,@,DAL,L 17-35,0,0,,0,0,0,,0
12,1983,1983-12-04,14,23.045,STL,@,NYG,W 10-6,0,0,,0,0,0,,0
13,1983,1983-12-11,15,23.052,STL,@,RAI,W 34-24,0,0,,0,0,0,,0
14,1983,1983-12-18,16,23.059,STL,,PHI,W 31-7,0,0,,0,0,0,,0
15,1984,1984-09-02,1,23.318,STL,@,GNB,L 23-24,5,103,20.60,0,3,34,11.33,0
16,1984,1984-09-09,2,23.325,STL,,BUF,W 37-7,0,0,,0,0,0,,0
17,1984,1984-09-16,3,23.332,STL,@,IND,W 34-33,0,0,,0,1,17,17.00,0
18,1984,1984-09-23,4,23.339,STL,@,NOR,L 24-34,0,0,,0,1,5,5.00,0
19,1984,1984-09-30,5,23.346,STL,,MIA,L 28-36,4,87,21.75,0,0,0,,0
20,1984,1984-10-07,6,23.353,STL,@,DAL,W 31-20,0,0,,0,0,0,,0
21,1984,1984-10-14,7,23.360,STL,,CHI,W 38-21,0,0,,0,0,0,,0
22,1984,1984-10-21,8,24.001,STL,,WAS,W 26-24,0,0,,0,0,0,,0
23,1984,1984-11-04,10,24.015,SDG,@,IND,W 38-10,2,15,7.50,0,1,4,4.00,0
