ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,2004,2004-10-17,5,23.147,DAL,,PIT,L 20-24,,,,,,,,
2,2004,2004-10-24,6,23.154,DAL,@,GNB,L 20-41,,1,9,9.00,0,0,0,0
3,2004,2004-10-31,7,23.161,DAL,,DET,W 31-21,,1,55,55.00,0,1,0,0
4,2004,2004-11-07,8,23.168,DAL,@,CIN,L 3-26,*,2,21,10.50,0,0,0,0
5,2004,2004-11-15,9,23.176,DAL,,PHI,L 21-49,*,2,0,0.00,0,0,0,0
6,2004,2004-11-21,10,23.182,DAL,@,BAL,L 10-30,,2,33,16.50,0,0,0,0
7,2004,2004-11-25,11,23.186,DAL,,CHI,W 21-7,*,5,37,7.40,0,0,0,0
8,2004,2004-12-06,12,23.197,DAL,@,SEA,W 43-39,*,1,12,12.00,0,0,0,0
9,2004,2004-12-12,13,23.203,DAL,,NOR,L 13-27,*,3,6,2.00,0,1,2,0
10,2004,2004-12-19,14,23.210,DAL,@,PHI,L 7-12,*,1,15,15.00,0,0,0,0
11,2004,2004-12-26,15,23.217,DAL,,WAS,W 13-10,*,3,20,6.67,0,0,0,0
12,2004,2005-01-02,16,23.224,DAL,@,NYG,L 24-28,*,3,21,7.00,0,0,0,0
