ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-09-03,1,24.141,BUF,@,DEN,L 7-22,0,0,,0,0,0,0,,0,0.0%,,1,14,14.00,0
2,1995,1995-09-10,2,24.148,BUF,,CAR,W 31-9,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0
3,1995,1995-09-17,3,24.155,BUF,,IND,W 20-14,0,0,,0,0,0,0,,0,0.0%,,1,8,8.00,0
4,1995,1995-10-02,4,24.170,BUF,@,CLE,W 22-19,0,0,,0,,,,,,0.0%,,0,0,,0
5,1995,1995-10-08,5,24.176,BUF,,NYJ,W 29-10,0,0,,0,,,,,,0.0%,,0,0,,0
6,1995,1995-10-15,6,24.183,BUF,,SEA,W 27-21,0,0,,0,0,0,0,,0,0.0%,,1,1,1.00,0
7,1995,1995-10-23,7,24.191,BUF,@,NWE,L 14-27,0,0,,0,,,,,,0.0%,,0,0,,0
8,1995,1995-10-29,8,24.197,BUF,@,MIA,L 6-23,0,0,,0,0,,,,,0.0%,,0,0,,0
9,1995,1995-11-05,9,24.204,BUF,@,IND,W 16-10,0,0,,0,0,,,,,0.0%,,0,0,,0
10,1995,1995-11-12,10,24.211,BUF,,ATL,W 23-17,0,0,,0,,,,,,0.0%,,0,0,,0
11,1995,1995-11-19,11,24.218,BUF,@,NYJ,W 28-26,0,0,,0,,,,,,0.0%,,0,0,,0
12,1995,1995-11-26,12,24.225,BUF,,NWE,L 25-35,0,0,,0,0,0,0,,0,0.0%,,2,39,19.50,0
13,1995,1995-12-03,13,24.232,BUF,@,SFO,L 17-27,0,0,,0,,,,,,0.0%,,0,0,,0
14,1995,1995-12-10,14,24.239,BUF,@,STL,W 45-27,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0
15,1995,1995-12-17,15,24.246,BUF,,MIA,W 23-20,0,0,,0,,,,,,0.0%,,0,0,,0
16,1995,1995-12-24,16,24.253,BUF,,HOU,L 17-28,0,0,,0,0,0,0,,0,0.0%,,1,0,0.00,0
17,1996,1996-09-01,1,25.139,BUF,@,NYG,W 23-20,0,0,,0,0,0,0,,0,0.0%,,,,,
18,1996,1996-09-08,2,25.146,BUF,,NWE,W 17-10,0,0,,0,0,0,0,,0,0.0%,,,,,
19,1996,1996-09-16,3,25.154,BUF,@,PIT,L 6-24,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0
20,1996,1996-09-22,4,25.160,BUF,,DAL,W 10-7,4,14,3.50,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0
21,1996,1996-10-06,5,25.174,BUF,,IND,W 16-13,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0
22,1996,1996-10-13,6,25.181,BUF,,MIA,L 7-21,0,0,,0,,0,0,,0,0.0%,,,,,
23,1996,1996-10-20,7,25.188,BUF,@,NYJ,W 25-22,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,,0
24,1996,1996-10-27,8,25.195,BUF,@,NWE,L 25-28,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0
25,1996,1996-11-03,9,25.202,BUF,,WAS,W 38-13,1,15,15.00,0,0,0,0,,0,0.0%,,0,0,,0
26,1996,1996-11-10,10,25.209,BUF,@,PHI,W 24-17,0,0,,0,0,0,0,,0,0.0%,,,,,
27,1996,1996-11-17,11,25.216,BUF,,CIN,W 31-17,0,0,,0,,0,0,,0,0.0%,,,,,
28,1996,1996-12-08,14,25.237,BUF,@,SEA,L 18-26,0,0,,0,1,0,0,,0,0.0%,0.00,,,,
29,1996,1996-12-16,15,25.245,BUF,@,MIA,L 14-16,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0
30,1996,1996-12-22,16,25.251,BUF,,KAN,W 20-9,0,0,,0,,0,0,,0,0.0%,,,,,
31,1997,1997-08-31,1,26.138,BUF,,MIN,L 13-34,,,,,,0,0,,0,0.0%,,,,,
32,1997,1997-09-07,2,26.145,BUF,@,NYJ,W 28-22,0,0,,0,4,4,105,26.25,0,100.0%,26.25,0,0,,0
33,1997,1997-09-14,3,26.152,BUF,@,KAN,L 16-22,,,,,0,0,0,,0,0.0%,,,,,
34,1997,1997-09-21,4,26.159,BUF,,IND,W 37-35,,,,,0,0,0,,0,0.0%,,,,,
35,1997,1997-10-05,5,26.173,BUF,,DET,W 22-13,,,,,1,0,0,,0,0.0%,0.00,,,,
36,1997,1997-11-02,9,26.201,BUF,,MIA,W 9-6,,,,,0,0,0,,0,0.0%,,,,,
37,1997,1997-11-09,10,26.208,BUF,,NWE,L 10-31,,,,,0,0,0,,0,0.0%,,,,,
