ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2016,2016-09-18,2,22.301,NWE,,MIA,W 31-24,,2,1,2,2.00,0,50.0%,1.00,1,7,7.00,0,0,0,,0
2,2016,2016-10-09,5,22.322,NWE,@,CLE,W 33-13,,0,0,0,,0,0.0%,,6,17,2.83,0,0,0,,0
3,2016,2016-10-16,6,22.329,NWE,,CIN,W 35-17,,0,0,0,,0,0.0%,,0,0,,0,1,30,30.00,0
4,2017,2017-11-19,10,23.362,ARI,@,HOU,L 21-31,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0
5,2017,2017-11-26,11,24.004,ARI,,JAX,W 27-24,,4,3,18,6.00,0,75.0%,4.50,1,4,4.00,0,2,50,25.00,0
6,2017,2017-12-03,12,24.011,ARI,,LAR,L 16-32,,5,2,20,10.00,0,40.0%,4.00,2,5,2.50,0,0,0,,0
7,2017,2017-12-10,13,24.018,ARI,,TEN,W 12-7,,2,2,6,3.00,0,100.0%,3.00,2,7,3.50,0,2,27,13.50,0
8,2017,2017-12-17,14,24.025,ARI,@,WAS,L 15-20,,9,4,22,5.50,0,44.4%,2.44,0,0,,0,1,6,6.00,0
9,2017,2017-12-24,15,24.032,ARI,,NYG,W 23-0,,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,0
10,2017,2017-12-31,16,24.039,ARI,@,SEA,W 26-24,,3,1,17,17.00,0,33.3%,5.67,1,3,3.00,0,3,101,33.67,0
