ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-11,1,23.004,NYG,,ARI,W 42-19,,,,,,,,,,,
2,2005,2005-09-19,2,23.012,NYG,@,NOR,W 27-10,,1,0,0.00,0,0.0,,,0,0,0
3,2005,2005-09-25,3,23.018,NYG,@,SDG,L 23-45,,,,,,,,,,,
4,2005,2005-10-02,4,23.025,NYG,,STL,W 44-24,,,,,,,,,,,
5,2005,2005-10-16,5,23.039,NYG,@,DAL,L 13-16,,,,,,,,,,,
6,2005,2005-10-23,6,23.046,NYG,,DEN,W 24-23,,,,,,,,,,,
7,2005,2005-10-30,7,23.053,NYG,,WAS,W 36-0,,,,,,,,,,,
8,2005,2005-11-06,8,23.060,NYG,@,SFO,W 24-6,,,,,,,,,,,
9,2005,2005-11-13,9,23.067,NYG,,MIN,L 21-24,,,,,,,,,,,
10,2005,2005-11-20,10,23.074,NYG,,PHI,W 27-17,,,,,,,,,,,
11,2005,2005-11-27,11,23.081,NYG,@,SEA,L 21-24,*,,,,,,,,,,
12,2005,2005-12-04,12,23.088,NYG,,DAL,W 17-10,,0,0,,0,0.0,,,1,0,0
13,2005,2005-12-11,13,23.095,NYG,@,PHI,W 26-23,,,,,,,,,,,
14,2005,2005-12-17,14,23.101,NYG,,KAN,W 27-17,,0,0,,0,0.0,,,1,16,0
15,2005,2005-12-24,15,23.108,NYG,@,WAS,L 20-35,,,,,,,,,,,
16,2005,2005-12-31,16,23.115,NYG,@,OAK,W 30-21,,,,,,,,,,,
17,2006,2006-09-10,1,24.003,NYG,,IND,L 21-26,,,,,,,,,,,
18,2006,2006-09-17,2,24.010,NYG,@,PHI,W 30-24,,,,,,,,,,,
19,2006,2006-10-15,5,24.038,NYG,@,ATL,W 27-14,,,,,,,,,,,
20,2006,2006-10-23,6,24.046,NYG,@,DAL,W 36-22,,,,,,,,,,,
21,2006,2006-10-29,7,24.052,NYG,,TAM,W 17-3,,,,,,,,,,,
22,2006,2006-11-05,8,24.059,NYG,,HOU,W 14-10,,,,,,,,,,,
23,2006,2006-11-12,9,24.066,NYG,,CHI,L 20-38,,,,,,,,,,,
24,2006,2006-11-20,10,24.074,NYG,@,JAX,L 10-26,,,,,,,,,,,
25,2006,2006-11-26,11,24.080,NYG,@,TEN,L 21-24,,,,,,,,,,,
26,2006,2006-12-03,12,24.087,NYG,,DAL,L 20-23,,,,,,,,,,,
27,2006,2006-12-10,13,24.094,NYG,@,CAR,W 27-13,,,,,,,,,,,
28,2006,2006-12-17,14,24.101,NYG,,PHI,L 22-36,,,,,,,,,,,
29,2006,2006-12-24,15,24.108,NYG,,NOR,L 7-30,,,,,,,,,,,
30,2006,2006-12-30,16,24.114,NYG,@,WAS,W 34-28,,,,,,,,,,,
31,2007,2007-09-09,1,25.002,NYG,@,DAL,L 35-45,*,,,,,,,,,,
32,2007,2007-09-16,2,25.009,NYG,,GNB,L 13-35,*,,,,,,,,,,
33,2007,2007-09-23,3,25.016,NYG,@,WAS,W 24-17,*,,,,,,,,,,
34,2007,2007-09-30,4,25.023,NYG,,PHI,W 16-3,*,,,,,,,,,,
35,2007,2007-10-07,5,25.030,NYG,,NYJ,W 35-24,*,,,,,,,,,,
36,2007,2007-10-15,6,25.038,NYG,@,ATL,W 31-10,*,,,,,,,,,,
37,2007,2007-10-21,7,25.044,NYG,,SFO,W 33-15,*,,,,,,,,,,
38,2007,2007-11-11,9,25.065,NYG,,DAL,L 20-31,*,,,,,,,,,,
39,2007,2007-11-18,10,25.072,NYG,@,DET,W 16-10,*,0,0,,0,0.0,,,1,0,0
40,2007,2007-11-25,11,25.079,NYG,,MIN,L 17-41,*,,,,,,,,,,
41,2007,2007-12-02,12,25.086,NYG,@,CHI,W 21-16,*,,,,,,,,,,
42,2007,2007-12-23,15,25.107,NYG,@,BUF,W 38-21,,,,,,,,,,,
43,2007,2007-12-29,16,25.113,NYG,,NWE,L 35-38,*,,,,,,,,,,
44,2008,2008-09-04,1,25.363,NYG,,WAS,W 16-7,*,0,0,,0,0.0,3,2,0,0,0
45,2008,2008-09-14,2,26.007,NYG,@,STL,W 41-13,*,0,0,,0,0.0,4,0,0,0,0
46,2008,2008-09-21,3,26.014,NYG,,CIN,W 26-23,*,0,0,,0,0.0,3,2,0,0,0
47,2008,2008-10-05,4,26.028,NYG,,SEA,W 44-6,*,0,0,,0,0.0,3,1,0,0,0
48,2008,2008-10-13,5,26.036,NYG,@,CLE,L 14-35,*,0,0,,0,0.0,5,0,0,0,0
49,2008,2008-10-19,6,26.042,NYG,,SFO,W 29-17,*,0,0,,0,0.0,0,3,0,0,0
50,2008,2008-10-26,7,26.049,NYG,@,PIT,W 21-14,*,0,0,,0,0.0,2,3,1,6,0
51,2008,2008-11-02,8,26.056,NYG,,DAL,W 35-14,*,0,0,,0,0.0,3,0,1,9,0
52,2008,2008-11-16,10,26.070,NYG,,BAL,W 30-10,,0,0,,0,0.0,4,0,0,0,0
53,2008,2008-11-23,11,26.077,NYG,@,ARI,W 37-29,*,0,0,,0,0.0,6,0,0,0,0
