ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1970,1970-09-20,1,23.109,BUF,,DEN,L 10-25,0,0,,0,1,30,30.00,0,0,0,,0
2,1970,1970-09-27,2,23.116,BUF,,RAM,L 0-19,1,16,16.00,0,2,39,19.50,0,0,0,,0
3,1970,1970-10-04,3,23.123,BUF,,NYJ,W 34-31,0,0,,0,1,23,23.00,0,0,0,,0
4,1970,1970-10-11,4,23.130,BUF,@,PIT,L 10-23,0,0,,0,1,17,17.00,0,1,2,2.00,0
5,1970,1970-10-18,5,23.137,BUF,,MIA,L 14-33,1,13,13.00,0,2,38,19.00,0,0,0,,0
6,1970,1970-10-25,6,23.144,BUF,@,NYJ,W 10-6,0,0,,0,2,14,7.00,0,0,0,,0
7,1970,1970-11-01,7,23.151,BUF,@,BOS,W 45-10,,,,,,,,,,,,
8,1970,1970-11-08,8,23.158,BUF,,CIN,L 14-43,,,,,,,,,,,,
9,1970,1970-11-15,9,23.165,BUF,@,BAL,T 17-17,1,14,14.00,0,1,18,18.00,0,0,0,,0
10,1970,1970-11-22,10,23.172,BUF,@,CHI,L 13-31,0,0,,0,2,25,12.50,0,0,0,,0
11,1970,1970-11-29,11,23.179,BUF,,BOS,L 10-14,,,,,,,,,,,,
12,1970,1970-12-13,13,23.193,BUF,,BAL,L 14-20,,,,,,,,,,,,
13,1970,1970-12-20,14,23.200,BUF,@,MIA,L 7-45,1,8,8.00,0,0,0,,0,0,0,,0
