ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-11-07,8,24.297,TAM,,KAN,W 34-31,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
2,2004,2004-11-14,9,24.304,TAM,@,ATL,L 14-24,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,0.0,,
3,2004,2004-11-21,10,24.311,TAM,,SFO,W 35-3,,4,27,6.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,18,18.00,0,0,0,0.0,,
4,2004,2004-11-28,11,24.318,TAM,@,CAR,L 14-21,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
5,2004,2004-12-05,12,24.325,TAM,,ATL,W 27-0,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
6,2004,2004-12-12,13,24.332,TAM,@,SDG,L 24-31,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
7,2004,2004-12-19,14,24.339,TAM,,NOR,L 17-21,,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,0.0,,
8,2004,2004-12-26,15,24.346,TAM,,CAR,L 20-37,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
9,2004,2005-01-02,16,24.353,TAM,@,ARI,L 7-12,,1,12,12.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
10,2005,2005-09-11,1,25.239,TAM,@,MIN,W 24-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
11,2005,2005-09-18,2,25.246,TAM,,BUF,W 19-3,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
12,2005,2005-09-25,3,25.253,TAM,@,GNB,W 17-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
13,2005,2005-10-02,4,25.260,TAM,,DET,W 17-13,,4,15,3.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
14,2005,2005-10-09,5,25.267,TAM,@,NYJ,L 12-14,,7,18,2.57,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,22,22.00,0,0,0,0.0,,
15,2005,2005-10-16,6,25.274,TAM,,MIA,W 27-13,,17,50,2.94,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
16,2005,2005-10-30,7,25.288,TAM,@,SFO,L 10-15,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
17,2005,2005-11-06,8,25.295,TAM,,CAR,L 14-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
18,2005,2005-11-13,9,25.302,TAM,,WAS,W 36-35,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
19,2005,2005-11-20,10,25.309,TAM,@,ATL,W 30-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,19,19.00,0,0,0,0.0,,
20,2005,2005-11-27,11,25.316,TAM,,CHI,L 10-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
21,2005,2005-12-04,12,25.323,TAM,@,NOR,W 10-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
22,2005,2005-12-11,13,25.330,TAM,@,CAR,W 20-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
23,2005,2005-12-17,14,25.336,TAM,@,NWE,L 0-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,22,22.00,0,0,0,0.0,,
24,2005,2005-12-24,15,25.343,TAM,,ATL,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,11,11.00,0,0,0,0.0,,
25,2005,2006-01-01,16,25.351,TAM,,NOR,W 27-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
26,2006,2006-09-10,1,26.238,TAM,,BAL,L 0-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
27,2006,2006-09-17,2,26.245,TAM,@,ATL,L 3-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
28,2006,2006-09-24,3,26.252,TAM,,CAR,L 24-26,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
29,2006,2006-10-08,4,26.266,TAM,@,NOR,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
30,2006,2006-10-15,5,26.273,TAM,,CIN,W 14-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
31,2006,2006-10-22,6,26.280,TAM,,PHI,W 23-21,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
32,2006,2006-10-29,7,26.287,TAM,@,NYG,L 3-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0,0.0,,
33,2006,2006-11-05,8,26.294,TAM,,NOR,L 14-31,,2,12,6.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
34,2006,2006-11-13,9,26.302,TAM,@,CAR,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
35,2006,2006-11-19,10,26.308,TAM,,WAS,W 20-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
36,2006,2006-11-23,11,26.312,TAM,@,DAL,L 10-38,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
37,2006,2006-12-03,12,26.322,TAM,@,PIT,L 3-20,,4,35,8.75,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
38,2006,2006-12-10,13,26.329,TAM,,ATL,L 6-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
39,2006,2006-12-17,14,26.336,TAM,@,CHI,L 31-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
40,2006,2006-12-24,15,26.343,TAM,@,CLE,W 22-7,,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
41,2006,2006-12-31,16,26.350,TAM,,SEA,L 7-23,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
42,2007,2007-09-09,1,27.237,TAM,@,SEA,L 6-20,,4,11,2.75,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,4,90,22.50,0,0,0,0.0,,
43,2007,2007-09-16,2,27.244,TAM,,NOR,W 31-14,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
44,2007,2007-09-23,3,27.251,TAM,,STL,W 24-3,,8,75,9.38,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
45,2007,2007-09-30,4,27.258,TAM,@,CAR,W 20-7,,17,48,2.82,1,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
46,2007,2007-10-07,5,27.265,TAM,@,IND,L 14-33,,6,11,1.83,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
47,2007,2007-10-14,6,27.272,TAM,,TEN,W 13-10,*,13,29,2.23,0,9,6,17,2.83,0,66.7%,1.89,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
48,2007,2007-10-21,7,27.279,TAM,@,DET,L 16-23,*,19,92,4.84,0,18,13,99,7.62,0,72.2%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
49,2007,2007-10-28,8,27.286,TAM,,JAX,L 23-24,*,14,62,4.43,0,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
50,2007,2007-11-04,9,27.293,TAM,,ARI,W 17-10,*,34,124,3.65,1,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
51,2007,2007-11-18,10,27.307,TAM,@,ATL,W 31-7,*,17,102,6.00,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
52,2007,2007-11-25,11,27.314,TAM,,WAS,W 19-13,*,21,75,3.57,1,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
53,2007,2007-12-02,12,27.321,TAM,@,NOR,W 27-23,*,22,106,4.82,1,8,7,37,5.29,0,87.5%,4.63,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
54,2007,2007-12-09,13,27.328,TAM,@,HOU,L 14-28,*,15,61,4.07,2,10,6,45,7.50,0,60.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
55,2007,2007-12-16,14,27.335,TAM,,ATL,W 37-3,*,22,79,3.59,1,5,5,40,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
56,2007,2007-12-23,15,27.342,TAM,@,SFO,L 19-21,*,9,21,2.33,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
57,2008,2008-09-07,1,28.236,TAM,@,NOR,L 20-24,*,10,91,9.10,0,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
58,2008,2008-09-14,2,28.243,TAM,,ATL,W 24-9,*,15,116,7.73,1,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
59,2008,2008-09-21,3,28.250,TAM,@,CHI,W 27-24,*,12,16,1.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
60,2008,2008-09-28,4,28.257,TAM,,GNB,W 30-21,*,20,111,5.55,1,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
61,2008,2008-10-05,5,28.264,TAM,@,DEN,L 13-16,*,10,59,5.90,0,6,5,21,4.20,0,83.3%,3.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
62,2008,2008-10-12,6,28.271,TAM,,CAR,W 27-3,*,5,11,2.20,1,3,2,47,23.50,0,66.7%,15.67,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
63,2008,2008-10-19,7,28.278,TAM,,SEA,W 20-10,*,23,52,2.26,1,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
64,2008,2008-10-26,8,28.285,TAM,@,DAL,L 9-13,*,17,42,2.47,0,7,4,22,5.50,0,57.1%,3.14,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
65,2008,2008-11-02,9,28.292,TAM,@,KAN,W 30-27,*,19,62,3.26,0,6,5,29,5.80,0,83.3%,4.83,1,1,100.00,3,1,0,118.7,0,0,3.00,23.00,0,0,,0,0,0,0.0,0,0
66,2008,2008-11-16,10,28.306,TAM,,MIN,W 19-13,*,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
67,2009,2009-09-13,1,29.241,TAM,,DAL,L 21-34,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
68,2009,2009-09-20,2,29.248,TAM,@,BUF,L 20-33,,2,16,8.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,0.0,0,0
69,2009,2009-10-04,4,29.262,TAM,@,WAS,L 13-16,,5,8,1.60,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
70,2009,2009-10-18,6,29.276,TAM,,CAR,L 21-28,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
71,2009,2009-10-25,7,29.283,TAM,,NWE,L 7-35,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
72,2009,2009-11-08,8,29.297,TAM,,GNB,W 38-28,*,,,,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
73,2009,2009-11-15,9,29.304,TAM,@,MIA,L 23-25,*,0,0,,0,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
74,2009,2009-11-22,10,29.311,TAM,,NOR,L 7-38,,3,31,10.33,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0
75,2009,2009-11-29,11,29.318,TAM,@,ATL,L 17-20,,1,0,0.00,0,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
76,2009,2009-12-06,12,29.325,TAM,@,CAR,L 6-16,,0,0,,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
77,2009,2009-12-13,13,29.332,TAM,,NYJ,L 3-26,*,1,2,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,0.0,0,0
78,2009,2009-12-20,14,29.339,TAM,@,SEA,W 24-7,*,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
79,2009,2009-12-27,15,29.346,TAM,@,NOR,W 20-17,*,1,8,8.00,0,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
80,2010,2010-09-12,1,30.240,TAM,,CLE,W 17-14,*,6,10,1.67,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
81,2010,2010-09-19,2,30.247,TAM,@,CAR,W 20-7,,3,1,0.33,0,6,5,33,6.60,1,83.3%,5.50,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
82,2010,2010-09-26,3,30.254,TAM,,PIT,L 13-38,*,2,13,6.50,0,4,4,57,14.25,0,100.0%,14.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
83,2010,2010-10-10,4,30.268,TAM,@,CIN,W 24-21,,3,65,21.67,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,0,0
84,2010,2010-10-17,5,30.275,TAM,,NOR,L 6-31,,,,,,1,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
85,2010,2010-10-31,7,30.289,TAM,@,ARI,W 38-35,*,1,2,2.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
86,2010,2010-11-21,10,30.310,TAM,@,SFO,W 21-0,*,3,7,2.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
87,2010,2010-11-28,11,30.317,TAM,@,BAL,L 10-17,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
88,2010,2010-12-05,12,30.324,TAM,,ATL,L 24-28,,0,0,,0,0,0,0,,0,0.0%,,1,1,100.00,2,1,0,118.7,0,0,2.00,22.00,0,0,,0,0,0,0.0,0,0
89,2010,2010-12-12,13,30.331,TAM,@,WAS,W 17-16,*,1,2,2.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
90,2010,2010-12-19,14,30.338,TAM,,DET,L 20-23,*,1,-1,-1.00,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
91,2010,2010-12-26,15,30.345,TAM,,SEA,W 38-15,*,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,0,0
92,2011,2011-09-11,1,31.239,TAM,,DET,L 20-27,,6,13,2.17,0,9,8,58,7.25,0,88.9%,6.44,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
93,2011,2011-09-18,2,31.246,TAM,@,MIN,W 24-20,,3,18,6.00,0,5,5,21,4.20,0,100.0%,4.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
94,2011,2011-09-25,3,31.253,TAM,,ATL,W 16-13,,2,-1,-0.50,0,8,7,37,5.29,0,87.5%,4.63,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
95,2011,2011-10-03,4,31.261,TAM,,IND,W 24-17,,2,24,12.00,0,6,3,27,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0
96,2011,2011-10-09,5,31.267,TAM,@,SFO,L 3-48,,5,30,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0
