ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1965,1965-09-19,1,22.163,NYG,@,DAL,L 2-31,,,,,,,,,,,,,,,,,,,,
2,1965,1965-09-26,2,22.170,NYG,@,PHI,W 16-14,,,,,,,,,,,,,,,,,,,,
3,1965,1965-10-03,3,22.177,NYG,@,PIT,W 23-13,,,,,,,,,,,,,,,,,,,,
4,1965,1965-10-09,4,22.183,NYG,@,MIN,L 14-40,,,,,,,,,,,,,,,,,,,,
5,1965,1965-10-17,5,22.191,NYG,,PHI,W 35-27,0,0,,0,0,0,,0,1,4,4.00,0,,,,,,,0,0
6,1965,1965-10-24,6,22.198,NYG,,CLE,L 14-38,1,2,2.00,1,0,0,,0,0,0,,0,,,,,,,1,6
7,1965,1965-10-31,7,22.205,NYG,,STL,W 14-10,1,0,0.00,0,0,0,,0,0,0,,0,,,,,1,0.0,0,0
8,1965,1965-11-07,8,22.212,NYG,,WAS,L 7-23,12,44,3.67,1,3,14,4.67,0,0,0,,0,,,,,1,0.0,1,6
9,1965,1965-11-14,9,22.219,NYG,@,CLE,L 21-34,,,,,,,,,,,,,,,,,,,,
10,1965,1965-11-21,10,22.226,NYG,@,STL,W 28-15,4,9,2.25,0,0,0,,0,0,0,,0,,,,,,,0,0
11,1965,1965-11-28,11,22.233,NYG,,CHI,L 14-35,,,,,,,,,,,,,,,,,,,,
12,1965,1965-12-05,12,22.240,NYG,,PIT,W 35-10,,,,,,,,,,,,,,,,,,,,
13,1965,1965-12-12,13,22.247,NYG,@,WAS,W 27-10,,,,,,,,,,,,,,,,,,,,
14,1965,1965-12-19,14,22.254,NYG,,DAL,L 20-38,,,,,,,,,,,,,,,,,,,,
15,1966,1966-09-11,1,23.155,NYG,@,PIT,T 34-34,8,14,1.75,0,1,7,7.00,0,0,0,,0,,,,,,,0,0
16,1966,1966-09-18,2,23.162,NYG,@,DAL,L 7-52,11,83,7.55,0,2,13,6.50,0,0,0,,0,,,,,,,0,0
17,1966,1966-09-25,3,23.169,NYG,@,PHI,L 17-35,18,82,4.56,0,4,19,4.75,0,0,0,,0,,,,,,,0,0
18,1966,1966-10-02,4,23.176,NYG,,CLE,L 7-28,7,21,3.00,0,4,35,8.75,0,0,0,,0,,,,,,,0,0
19,1966,1966-10-09,5,23.183,NYG,@,STL,L 19-24,10,23,2.30,0,3,13,4.33,0,0,0,,0,,,,,,,0,0
20,1966,1966-10-16,6,23.190,NYG,,WAS,W 13-10,14,37,2.64,0,4,43,10.75,0,0,0,,0,,,,,,,0,0
21,1966,1966-10-23,7,23.197,NYG,,PHI,L 3-31,9,27,3.00,0,4,23,5.75,0,0,0,,0,,,,,,,0,0
22,1966,1966-11-06,8,23.211,NYG,,STL,L 17-20,7,15,2.14,0,2,-1,-0.50,0,0,0,,0,,,,,,,0,0
