ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1972,1972-09-17,1,22.200,DEN,,HOU,W 30-17,2,61,30.50,0,1,27,27.00,0,0,0
2,1972,1972-09-24,2,22.207,DEN,@,SDG,L 14-37,1,13,13.00,0,0,0,,0,0,0
3,1972,1972-10-01,3,22.214,DEN,,KAN,L 24-45,2,30,15.00,0,0,0,,0,0,0
4,1972,1972-10-08,4,22.221,DEN,@,CIN,L 10-21,0,0,,0,2,29,14.50,0,0,0
5,1972,1972-10-15,5,22.228,DEN,,MIN,L 20-23,1,12,12.00,0,0,0,,0,0,0
6,1972,1972-10-22,6,22.235,DEN,@,OAK,W 30-23,2,46,23.00,0,0,0,,0,0,0
7,1972,1972-10-29,7,22.242,DEN,,CLE,L 20-27,,,,,,,,,,
8,1972,1972-11-05,8,22.249,DEN,@,NYG,L 17-29,1,14,14.00,1,0,0,,0,1,6
9,1972,1972-11-12,9,22.256,DEN,@,RAM,W 16-10,0,0,,0,1,4,4.00,0,0,0
10,1972,1972-11-19,10,22.263,DEN,,OAK,L 20-37,1,3,3.00,0,0,0,,0,0,0
11,1972,1972-11-26,11,22.270,DEN,@,ATL,L 20-23,4,66,16.50,0,1,12,12.00,0,0,0
12,1972,1972-12-03,12,22.277,DEN,@,KAN,L 21-24,3,30,10.00,0,0,0,,0,0,0
13,1972,1972-12-10,13,22.284,DEN,,SDG,W 38-13,1,15,15.00,0,0,0,,0,0,0
14,1972,1972-12-17,14,22.291,DEN,,NWE,W 45-21,3,30,10.00,0,0,0,,0,0,0
15,1973,1973-09-16,1,23.199,DEN,,CIN,W 28-10,2,45,22.50,0,0,0,,0,0,0
16,1973,1973-09-23,2,23.206,DEN,,SFO,L 34-36,2,37,18.50,0,0,0,,0,0,0
17,1973,1973-09-30,3,23.213,DEN,,CHI,L 14-33,,,,,,,,,,
18,1973,1973-10-07,4,23.220,DEN,@,KAN,L 14-16,1,14,14.00,0,0,0,,0,0,0
19,1973,1973-10-14,5,23.227,DEN,@,HOU,W 48-20,1,14,14.00,0,0,0,,0,0,0
20,1973,1973-10-22,6,23.235,DEN,,OAK,T 23-23,3,49,16.33,0,0,0,,0,0,0
21,1973,1973-10-28,7,23.241,DEN,@,NYJ,W 40-28,4,55,13.75,1,2,18,9.00,0,1,6
22,1973,1973-11-04,8,23.248,DEN,@,STL,T 17-17,5,114,22.80,1,0,0,,0,1,6
23,1973,1973-11-11,9,23.255,DEN,,SDG,W 30-19,4,59,14.75,1,1,9,9.00,0,1,6
24,1973,1973-11-18,10,23.262,DEN,@,PIT,W 23-13,6,47,7.83,1,0,0,,0,1,6
25,1973,1973-11-25,11,23.269,DEN,,KAN,W 14-10,,,,,,,,,,
26,1973,1973-12-02,12,23.276,DEN,,DAL,L 10-22,5,76,15.20,1,1,5,5.00,0,1,6
27,1973,1973-12-09,13,23.283,DEN,@,SDG,W 42-28,3,51,17.00,1,1,21,21.00,0,1,6
28,1973,1973-12-16,14,23.290,DEN,@,OAK,L 17-21,7,68,9.71,1,0,0,,0,1,6
29,1974,1974-09-15,1,24.198,DEN,,RAM,L 10-17,2,21,10.50,0,0,0,,0,0,0
30,1974,1974-09-22,2,24.205,DEN,,PIT,T 35-35,3,26,8.67,1,0,0,,0,1,6
31,1974,1974-09-30,3,24.213,DEN,@,WAS,L 3-30,3,42,14.00,0,0,0,,0,0,0
32,1974,1974-10-06,4,24.219,DEN,@,KAN,W 17-14,1,29,29.00,0,0,0,,0,0,0
33,1974,1974-10-13,5,24.226,DEN,,NOR,W 33-17,1,3,3.00,1,1,-4,-4.00,0,1,6
34,1974,1974-10-20,6,24.233,DEN,,SDG,W 27-7,2,46,23.00,1,1,5,5.00,0,1,6
35,1974,1974-10-27,7,24.240,DEN,@,CLE,L 21-23,4,59,14.75,1,0,0,,0,1,6
36,1974,1974-11-03,8,24.247,DEN,,OAK,L 17-28,3,49,16.33,0,0,0,,0,0,0
37,1974,1974-11-10,9,24.254,DEN,@,BAL,W 17-6,2,18,9.00,1,0,0,,0,1,6
38,1974,1974-11-18,10,24.262,DEN,,KAN,L 34-42,7,125,17.86,0,0,0,,0,0,0
39,1974,1974-11-24,11,24.268,DEN,@,OAK,W 20-17,3,68,22.67,0,0,0,,0,0,0
40,1974,1974-11-28,12,24.272,DEN,@,DET,W 31-27,1,1,1.00,1,1,31,31.00,0,1,6
41,1974,1974-12-08,13,24.282,DEN,,HOU,W 37-14,5,86,17.20,0,0,0,,0,0,0
42,1974,1974-12-15,14,24.289,DEN,@,SDG,L 0-17,5,66,13.20,0,1,-7,-7.00,0,0,0
43,1975,1975-09-21,1,25.204,DEN,,KAN,W 37-33,2,58,29.00,0,1,6,6.00,0,0,0
44,1975,1975-09-29,2,25.212,DEN,,GNB,W 23-13,1,19,19.00,0,0,0,,0,0,0
45,1975,1975-10-05,3,25.218,DEN,@,BUF,L 14-38,3,38,12.67,0,0,0,,0,0,0
46,1975,1975-10-12,4,25.225,DEN,@,PIT,L 9-20,4,63,15.75,0,1,12,12.00,0,0,0
47,1975,1975-10-19,5,25.232,DEN,,CLE,W 16-15,2,24,12.00,0,0,0,,0,0,0
48,1975,1975-10-26,6,25.239,DEN,@,KAN,L 13-26,2,24,12.00,0,1,7,7.00,0,0,0
49,1975,1975-11-02,7,25.246,DEN,,OAK,L 17-42,2,27,13.50,1,0,0,,0,1,6
50,1975,1975-11-09,8,25.253,DEN,,CIN,L 16-17,6,62,10.33,1,0,0,,0,1,6
51,1975,1975-11-16,9,25.260,DEN,@,SDG,W 27-17,3,41,13.67,1,0,0,,0,1,6
52,1975,1975-11-23,10,25.267,DEN,@,ATL,L 21-35,4,54,13.50,0,0,0,,0,0,0
53,1975,1975-11-30,11,25.274,DEN,,SDG,W 13-10,2,6,3.00,0,1,3,3.00,0,0,0
54,1975,1975-12-08,12,25.282,DEN,@,OAK,L 10-17,3,39,13.00,0,0,0,,0,0,0
55,1975,1975-12-14,13,25.288,DEN,,PHI,W 25-10,2,33,16.50,0,0,0,,0,0,0
56,1975,1975-12-20,14,25.294,DEN,@,MIA,L 13-14,4,56,14.00,0,1,-1,-1.00,0,0,0
57,1976,1976-09-12,1,26.195,DEN,@,CIN,L 7-17,1,12,12.00,0,0,0,,0,0,0
58,1976,1976-09-19,2,26.202,DEN,,NYJ,W 46-3,1,32,32.00,0,1,15,15.00,1,1,6
59,1976,1976-09-26,3,26.209,DEN,,CLE,W 44-13,,,,,,,,,,
60,1976,1976-10-03,4,26.216,DEN,,SDG,W 26-0,2,57,28.50,0,0,0,,0,0,0
61,1976,1976-10-10,5,26.223,DEN,@,HOU,L 3-17,,,,,,,,,,
62,1976,1976-10-17,6,26.230,DEN,,OAK,L 10-17,2,22,11.00,0,0,0,,0,0,0
63,1976,1976-10-24,7,26.237,DEN,@,KAN,W 35-26,2,30,15.00,0,0,0,,0,0,0
64,1976,1976-10-31,8,26.244,DEN,@,OAK,L 6-19,4,51,12.75,0,0,0,,0,0,0
65,1976,1976-11-07,9,26.251,DEN,,TAM,W 48-13,3,60,20.00,0,1,9,9.00,0,0,0
66,1976,1976-11-14,10,26.258,DEN,@,SDG,W 17-0,3,39,13.00,0,0,0,,0,0,0
67,1976,1976-11-21,11,26.265,DEN,,NYG,W 14-13,4,38,9.50,1,0,0,,0,1,6
68,1976,1976-11-28,12,26.272,DEN,@,NWE,L 14-38,5,73,14.60,1,0,0,,0,1,6
69,1976,1976-12-05,13,26.279,DEN,,KAN,W 17-16,2,44,22.00,1,0,0,,0,1,6
70,1976,1976-12-12,14,26.286,DEN,@,CHI,W 28-14,1,19,19.00,0,1,12,12.00,1,1,6
71,1977,1977-09-18,1,27.201,DEN,,STL,W 7-0,2,17,8.50,0,0,0,,0,0,0
72,1977,1977-09-25,2,27.208,DEN,,BUF,W 26-6,2,18,9.00,1,0,0,,0,1,6
73,1977,1977-10-02,3,27.215,DEN,@,SEA,W 24-13,2,24,12.00,0,0,0,,0,0,0
74,1977,1977-10-09,4,27.222,DEN,,KAN,W 23-7,1,12,12.00,0,0,0,,0,0,0
75,1977,1977-10-16,5,27.229,DEN,@,OAK,W 30-7,2,24,12.00,1,0,0,,0,1,6
76,1977,1977-10-23,6,27.236,DEN,@,CIN,W 24-13,1,7,7.00,0,0,0,,0,0,0
77,1977,1977-10-30,7,27.243,DEN,,OAK,L 14-24,5,51,10.20,0,0,0,,0,0,0
78,1977,1977-11-06,8,27.250,DEN,,PIT,W 21-7,2,33,16.50,0,0,0,,0,0,0
79,1977,1977-11-13,9,27.257,DEN,@,SDG,W 17-14,3,26,8.67,0,0,0,,0,0,0
80,1977,1977-11-20,10,27.264,DEN,@,KAN,W 14-7,2,33,16.50,0,0,0,,0,0,0
81,1977,1977-11-27,11,27.271,DEN,,BAL,W 27-13,1,18,18.00,0,0,0,,0,0,0
82,1977,1977-12-04,12,27.278,DEN,@,HOU,W 24-14,6,86,14.33,1,0,0,,0,1,6
83,1977,1977-12-11,13,27.285,DEN,,SDG,W 17-9,6,69,11.50,0,0,0,,0,0,0
84,1977,1977-12-18,14,27.292,DEN,@,DAL,L 6-14,2,11,5.50,0,0,0,,0,0,0
85,1978,1978-09-03,1,28.186,DEN,,OAK,W 14-6,1,6,6.00,0,0,0,,0,0,0
86,1978,1978-09-11,2,28.194,DEN,@,MIN,L 9-12,2,41,20.50,0,0,0,,0,0,0
87,1978,1978-09-17,3,28.200,DEN,,SDG,W 27-14,5,69,13.80,0,0,0,,0,0,0
88,1978,1978-09-24,4,28.207,DEN,@,KAN,W 23-17,4,60,15.00,1,0,0,,0,1,6
89,1978,1978-10-01,5,28.214,DEN,,SEA,W 28-7,3,45,15.00,0,0,0,,0,0,0
90,1978,1978-10-08,6,28.221,DEN,@,SDG,L 0-23,3,37,12.33,0,0,0,,0,0,0
91,1978,1978-10-16,7,28.229,DEN,,CHI,W 16-7,4,52,13.00,0,0,0,,0,0,0
92,1978,1978-10-22,8,28.235,DEN,@,BAL,L 6-7,4,46,11.50,0,0,0,,0,0,0
93,1978,1978-10-29,9,28.242,DEN,@,SEA,W 20-17,2,39,19.50,0,0,0,,0,0,0
94,1978,1978-11-05,10,28.249,DEN,,NYJ,L 28-31,2,34,17.00,0,1,7,7.00,0,0,0
95,1978,1978-11-12,11,28.256,DEN,@,CLE,W 19-7,5,58,11.60,1,0,0,,0,1,6
96,1978,1978-11-19,12,28.263,DEN,,GNB,W 16-3,3,24,8.00,0,0,0,,0,0,0
97,1978,1978-11-23,13,28.267,DEN,@,DET,L 14-17,4,60,15.00,1,0,0,,0,1,6
98,1978,1978-12-03,14,28.277,DEN,@,OAK,W 21-6,1,10,10.00,0,0,0,,0,0,0
99,1978,1978-12-10,15,28.284,DEN,,KAN,W 24-3,7,165,23.57,2,1,-2,-2.00,0,2,12
100,1978,1978-12-16,16,28.290,DEN,,PIT,L 17-21,4,83,20.75,1,0,0,,0,1,6
101,1979,1979-09-02,1,29.185,DEN,,CIN,W 10-0,4,58,14.50,0,0,0,,0,0,0
102,1979,1979-09-06,2,29.189,DEN,,RAM,L 9-13,2,21,10.50,0,0,0,,0,0,0
103,1979,1979-09-16,3,29.199,DEN,@,ATL,W 20-17,0,0,,0,1,-7,-7.00,0,0,0
104,1979,1979-09-23,4,29.206,DEN,,SEA,W 37-34,5,125,25.00,0,0,0,,0,0,0
105,1979,1979-09-30,5,29.213,DEN,@,OAK,L 3-27,4,74,18.50,0,0,0,,0,0,0
106,1979,1979-10-07,6,29.220,DEN,,SDG,W 7-0,2,29,14.50,0,0,0,,0,0,0
107,1979,1979-10-14,7,29.227,DEN,@,KAN,W 24-10,2,12,6.00,0,0,0,,0,0,0
108,1979,1979-10-22,8,29.235,DEN,@,PIT,L 7-42,6,94,15.67,0,0,0,,0,0,0
109,1979,1979-10-28,9,29.241,DEN,,KAN,W 20-3,7,114,16.29,0,0,0,,0,0,0
110,1979,1979-11-04,10,29.248,DEN,,NOR,W 10-3,3,32,10.67,0,0,0,,0,0,0
111,1979,1979-11-11,11,29.255,DEN,,NWE,W 45-10,1,21,21.00,0,0,0,,0,0,0
112,1979,1979-11-18,12,29.262,DEN,@,SFO,W 38-28,3,44,14.67,1,0,0,,0,1,6
113,1979,1979-12-17,16,29.291,DEN,@,SDG,L 7-17,1,14,14.00,0,0,0,,0,0,0
114,1980,1980-09-07,1,30.190,DEN,@,PHI,L 6-27,3,47,15.67,0,0,0,,0,0,0
115,1980,1980-09-14,2,30.197,DEN,,DAL,W 41-20,3,55,18.33,0,0,0,,0,0,0
116,1980,1980-09-21,3,30.204,DEN,,SDG,L 13-30,2,29,14.50,0,0,0,,0,0,0
117,1980,1980-09-29,4,30.212,DEN,@,NWE,L 14-23,1,22,22.00,0,0,0,,0,0,0
118,1980,1980-10-13,6,30.226,DEN,,WAS,W 20-17,1,13,13.00,0,0,0,,0,0,0
119,1980,1980-10-19,7,30.232,DEN,,KAN,L 17-23,2,15,7.50,1,0,0,,0,1,6
120,1980,1980-10-26,8,30.239,DEN,@,NYG,W 14-9,,,,,,,,,,
121,1980,1980-11-02,9,30.246,DEN,,HOU,L 16-20,1,19,19.00,0,0,0,,0,0,0
122,1980,1980-11-09,10,30.253,DEN,@,SDG,W 20-13,3,47,15.67,0,0,0,,0,0,0
123,1980,1980-11-16,11,30.260,DEN,,NYJ,W 31-24,6,77,12.83,1,0,0,,0,1,6
124,1980,1980-11-23,12,30.267,DEN,,SEA,W 36-20,6,92,15.33,1,0,0,,0,1,6
125,1980,1980-12-01,13,30.275,DEN,@,OAK,L 3-9,,,,,,,,,,
126,1980,1980-12-07,14,30.281,DEN,@,KAN,L 14-31,2,28,14.00,1,0,0,,0,1,6
127,1980,1980-12-14,15,30.288,DEN,,OAK,L 21-24,8,128,16.00,1,0,0,,0,1,6
128,1980,1980-12-21,16,30.295,DEN,@,SEA,W 25-17,1,18,18.00,1,0,0,,0,1,6
129,1981,1981-09-06,1,31.189,DEN,,OAK,W 9-7,2,38,19.00,0,0,0,,0,0,0
130,1981,1981-09-13,2,31.196,DEN,@,SEA,L 10-13,3,35,11.67,1,0,0,,0,1,6
131,1981,1981-09-20,3,31.203,DEN,,BAL,W 28-10,3,33,11.00,0,0,0,,0,0,0
132,1981,1981-09-27,4,31.210,DEN,,SDG,W 42-24,4,71,17.75,1,0,0,,0,1,6
133,1981,1981-10-04,5,31.217,DEN,@,OAK,W 17-0,3,33,11.00,0,0,0,,0,0,0
134,1981,1981-10-11,6,31.224,DEN,,DET,W 27-21,1,21,21.00,0,0,0,,0,0,0
135,1981,1981-10-18,7,31.231,DEN,@,KAN,L 14-28,7,74,10.57,0,0,0,,0,0,0
136,1981,1981-10-25,8,31.238,DEN,@,BUF,L 7-9,2,21,10.50,0,0,0,,0,0,0
137,1981,1981-11-02,9,31.246,DEN,,MIN,W 19-17,2,31,15.50,0,0,0,,0,0,0
138,1981,1981-11-08,10,31.252,DEN,,CLE,W 23-20,5,71,14.20,0,0,0,,0,0,0
139,1981,1981-11-15,11,31.259,DEN,@,TAM,W 24-7,2,23,11.50,1,0,0,,0,1,6
140,1981,1981-11-22,12,31.266,DEN,@,CIN,L 21-38,0,0,,0,,,,,,
141,1981,1981-11-29,13,31.273,DEN,@,SDG,L 17-34,1,21,21.00,0,0,0,,0,0,0
142,1981,1981-12-13,15,31.287,DEN,,SEA,W 23-13,2,38,19.00,1,0,0,,0,1,6
143,1981,1981-12-20,16,31.294,DEN,@,CHI,L 24-35,1,6,6.00,1,0,0,,0,1,6
144,1982,1982-09-12,1,32.195,DEN,,SDG,L 3-23,1,4,4.00,0,0,0,,0,0,0
145,1982,1982-09-19,2,32.202,DEN,,SFO,W 24-21,3,28,9.33,0,0,0,,0,0,0
146,1982,1982-11-21,3,32.265,DEN,,SEA,L 10-17,0,0,,0,,,,,,
147,1982,1982-11-28,4,32.272,DEN,@,SDG,L 20-30,2,28,14.00,0,0,0,,0,0,0
148,1982,1982-12-05,5,32.279,DEN,,ATL,L 27-34,1,11,11.00,0,0,0,,0,0,0
149,1982,1982-12-12,6,32.286,DEN,@,RAM,W 27-24,1,11,11.00,0,0,0,,0,0,0
150,1982,1982-12-26,8,32.300,DEN,@,RAI,L 10-27,0,0,,0,,,,,,
151,1982,1983-01-02,9,32.307,DEN,@,SEA,L 11-13,0,0,,0,,,,,,
152,1983,1983-10-16,7,33.229,DEN,,CIN,W 24-17,1,19,19.00,0,0,0,,0,0,0
153,1983,1983-12-18,16,33.292,DEN,@,KAN,L 17-48,3,43,14.33,0,0,0,,0,0,0
