ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,1981,1981-09-06,1,21.301,GNB,@,CHI,W 16-9,,,,,,,,,
2,1981,1981-09-13,2,21.308,GNB,,ATL,L 17-31,,,,,,,,,
3,1981,1981-09-20,3,21.315,GNB,@,RAM,L 23-35,,,,,,,,,
4,1981,1981-09-27,4,21.322,GNB,,MIN,L 13-30,,,,,,,,,
5,1981,1981-10-04,5,21.329,GNB,@,NYG,W 27-14,,,,,,,,,
6,1981,1981-10-11,6,21.336,GNB,,TAM,L 10-21,,,,,,,,,
7,1981,1981-10-18,7,21.343,GNB,,SFO,L 3-13,,,,,,,,,
8,1981,1981-10-25,8,21.350,GNB,@,DET,L 27-31,,,,,,,,,
9,1981,1981-11-01,9,21.357,GNB,,SEA,W 34-24,,,,,,,,,
10,1981,1981-11-08,10,21.364,GNB,,NYG,W 26-24,,,,,,,,,
11,1981,1981-11-15,11,22.006,GNB,,CHI,W 21-17,,,,,,,,,
12,1981,1981-11-22,12,22.013,GNB,@,TAM,L 3-37,,,,,,,,,
13,1981,1981-11-29,13,22.020,GNB,@,MIN,W 35-23,,,,,,,,,
14,1981,1981-12-06,14,22.027,GNB,,DET,W 31-17,,,,,,,,,
15,1981,1981-12-13,15,22.034,GNB,@,NOR,W 35-7,,,,,,,,,
16,1981,1981-12-20,16,22.041,GNB,@,NYJ,L 3-28,,,,,,,,,
17,1982,1982-09-12,1,22.307,GNB,,RAM,W 35-23,0,0,,0,,,,,
18,1982,1982-09-20,2,22.315,GNB,@,NYG,W 27-19,0,0,,0,,,,,
19,1982,1982-11-21,3,23.012,GNB,,MIN,W 26-7,0,0,,0,,,,,
20,1982,1982-11-28,4,23.019,GNB,@,NYJ,L 13-15,0,0,,0,,,,,
21,1982,1982-12-05,5,23.026,GNB,,BUF,W 33-21,0,0,,0,,,,,
22,1982,1982-12-12,6,23.033,GNB,,DET,L 10-30,1,4,4.00,0,0,0,,0,0.0
23,1982,1982-12-19,7,23.040,GNB,@,BAL,T 20-20,0,0,,0,,,,,
24,1982,1982-12-26,8,23.047,GNB,@,ATL,W 38-7,0,0,,0,,,,,
25,1982,1983-01-02,9,23.054,GNB,@,DET,L 24-27,0,0,,0,,,,,
26,1983,1983-09-04,1,23.299,GNB,@,HOU,W 41-38,,,,,0,0,,0,
27,1983,1983-09-11,2,23.306,GNB,,PIT,L 21-25,,,,,0,0,,0,
28,1983,1983-09-18,3,23.313,GNB,,RAM,W 27-24,,,,,0,0,,0,
29,1983,1983-09-26,4,23.321,GNB,@,NYG,L 3-27,0,0,,0,1,0,0.00,0,0.0
30,1983,1983-10-02,5,23.327,GNB,,TAM,W 55-14,0,0,,0,0,0,,0,1.0
31,1983,1983-10-09,6,23.334,GNB,@,DET,L 14-38,,,,,0,0,,0,
32,1983,1983-10-17,7,23.342,GNB,,WAS,W 48-47,,,,,0,0,,0,
33,1983,1983-10-23,8,23.348,GNB,,MIN,L 17-20,,,,,0,0,,0,
34,1983,1983-10-30,9,23.355,GNB,@,CIN,L 14-34,,,,,0,0,,0,
35,1983,1983-11-06,10,23.362,GNB,,CLE,W 35-21,,,,,0,0,,0,
36,1983,1983-11-13,11,24.004,GNB,@,MIN,W 29-21,,,,,0,0,,0,
37,1983,1983-11-20,12,24.011,GNB,,DET,L 20-23,,,,,0,0,,0,
38,1983,1983-11-27,13,24.018,GNB,@,ATL,L 41-47,,,,,0,0,,0,
39,1983,1983-12-04,14,24.025,GNB,,CHI,W 31-28,0,0,,0,0,0,,0,1.0
40,1983,1983-12-12,15,24.033,GNB,@,TAM,W 12-9,,,,,0,0,,0,
41,1983,1983-12-18,16,24.039,GNB,@,CHI,L 21-23,,,,,0,0,,0,
42,1984,1984-09-02,1,24.298,GNB,,STL,W 24-23,,,,,,,,,
43,1984,1984-09-09,2,24.305,GNB,@,RAI,L 7-28,,,,,,,,,
44,1984,1984-09-16,3,24.312,GNB,,CHI,L 7-9,,,,,,,,,
45,1984,1984-09-23,4,24.319,GNB,@,DAL,L 6-20,,,,,,,,,
46,1984,1984-09-30,5,24.326,GNB,@,TAM,L 27-30,,,,,,,,,
47,1984,1984-10-07,6,24.333,GNB,,SDG,L 28-34,,,,,,,,,
48,1984,1984-10-15,7,24.341,GNB,@,DEN,L 14-17,,,,,,,,,
49,1984,1984-10-21,8,24.347,GNB,,SEA,L 24-30,,,,,,,,,
50,1984,1984-10-28,9,24.354,GNB,,DET,W 41-9,,,,,,,,,
51,1984,1984-11-04,10,24.361,GNB,@,NOR,W 23-13,,,,,,,,,
52,1984,1984-11-11,11,25.002,GNB,,MIN,W 45-17,,,,,,,,,
53,1984,1984-11-18,12,25.009,GNB,,RAM,W 31-6,,,,,,,,,
54,1984,1984-11-22,13,25.013,GNB,@,DET,L 28-31,,,,,,,,,
55,1984,1984-12-02,14,25.023,GNB,,TAM,W 27-14,,,,,,,,,
56,1984,1984-12-09,15,25.030,GNB,@,CHI,W 20-14,,,,,,,,,
57,1984,1984-12-16,16,25.037,GNB,@,MIN,W 38-14,,,,,,,,,
