ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.154,IND,@,NWE,L 3-33,,1,38,38.00,0,,,0,0,,0,5,89,17.80,0,2,8,4.00,0,0,0
2,1986,1986-09-14,2,22.161,IND,@,MIA,L 10-30,,1,11,11.00,0,,,0,0,,0,2,35,17.50,0,1,18,18.00,0,0,0
3,1986,1986-09-21,3,22.168,IND,,RAM,L 7-24,,2,64,32.00,0,,,0,0,,0,1,19,19.00,0,0,0,,0,0,0
4,1986,1986-09-28,4,22.175,IND,,NYJ,L 7-26,,6,73,12.17,1,,,1,12,12.00,0,0,0,,0,4,34,8.50,0,1,6
5,1986,1986-10-05,5,22.182,IND,@,SFO,L 14-35,,2,95,47.50,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
6,1986,1986-10-12,6,22.189,IND,,NOR,L 14-17,,3,71,23.67,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
7,1986,1986-10-19,7,22.196,IND,@,BUF,L 13-24,,5,76,15.20,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
8,1986,1986-10-26,8,22.203,IND,,MIA,L 13-17,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
9,1986,1986-11-02,9,22.210,IND,,CLE,L 9-24,,5,63,12.60,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
10,1986,1986-11-09,10,22.217,IND,,NWE,L 21-30,,5,99,19.80,0,,,0,0,,0,0,0,,0,2,12,6.00,0,0,0
11,1986,1986-11-16,11,22.224,IND,@,NYJ,L 16-31,,9,177,19.67,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
12,1986,1986-11-23,12,22.231,IND,@,HOU,L 17-31,,7,105,15.00,2,,,1,-14,-14.00,0,0,0,,0,2,14,7.00,0,2,12
13,1986,1986-11-30,13,22.238,IND,,SDG,L 3-17,,7,76,10.86,0,,,0,0,,0,0,0,,0,2,16,8.00,0,0,0
14,1986,1986-12-07,14,22.245,IND,@,ATL,W 28-23,,2,30,15.00,1,,,0,0,,0,0,0,,0,1,0,0.00,0,1,6
15,1986,1986-12-14,15,22.252,IND,,BUF,W 24-14,,2,45,22.50,0,,,2,7,3.50,0,0,0,,0,2,23,11.50,0,0,0
16,1986,1986-12-21,16,22.259,IND,@,RAI,W 30-24,,6,85,14.17,1,,,0,0,,0,0,0,,0,2,16,8.00,0,1,6
17,1987,1987-09-13,1,23.160,IND,,CIN,L 21-23,,6,146,24.33,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
18,1987,1987-09-20,2,23.167,IND,,MIA,L 10-23,,7,80,11.43,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
