ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-09-14,1,27.211,SFO,,MIN,W 20-3,,4,13,3.25,0,1,1,7,7.00,0,100.0%,7.00,1,0,0.00,0
2,2015,2015-09-20,2,27.217,SFO,@,PIT,L 18-43,,2,3,1.50,0,0,0,0,,0,0.0%,,1,7,7.00,0
3,2015,2015-09-27,3,27.224,SFO,@,ARI,L 7-47,,0,0,,0,0,0,0,,0,0.0%,,1,37,37.00,0
4,2015,2015-10-04,4,27.231,SFO,,GNB,L 3-17,,0,0,,0,0,0,0,,0,0.0%,,3,12,4.00,0
5,2015,2015-10-11,5,27.238,SFO,@,NYG,L 27-30,,2,9,4.50,0,0,0,0,,0,0.0%,,1,16,16.00,0
6,2015,2015-10-18,6,27.245,SFO,,BAL,W 25-20,,0,0,,0,0,0,0,,0,0.0%,,1,4,4.00,0
7,2015,2015-12-27,15,27.315,SFO,@,DET,L 17-32,*,9,27,3.00,0,6,5,20,4.00,0,83.3%,3.33,0,0,,0
8,2015,2016-01-03,16,27.322,SFO,,STL,W 19-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
