ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1971,1971-10-17,5,22.278,ATL,,RAM,L 16-24,,,,,,,,,
2,1971,1971-10-24,6,22.285,ATL,,NOR,W 28-6,,,,,,,,,
3,1971,1971-10-31,7,22.292,ATL,@,CLE,W 31-14,0,0,,0,0,0,1,0,0
4,1971,1971-11-07,8,22.299,ATL,@,CIN,W 9-6,0,0,,0,0,0,2,32,0
5,1971,1971-11-14,9,22.306,ATL,,NYG,L 17-21,,,,,,,,,
6,1971,1971-11-22,10,22.314,ATL,,GNB,W 28-21,,,,,,,,,
7,1971,1971-11-28,11,22.320,ATL,@,MIN,L 7-24,,,,,,,,,
8,1971,1971-12-05,12,22.327,ATL,,OAK,W 24-13,,,,,,,,,
9,1971,1971-12-12,13,22.334,ATL,@,SFO,L 3-24,1,0,0.00,0,0,0,0,0,0
10,1971,1971-12-19,14,22.341,ATL,@,NOR,W 24-20,,,,,,,,,
11,1972,1972-09-17,1,23.249,ATL,@,CHI,W 37-21,1,12,12.00,0,0,0,0,0,0
12,1972,1972-09-24,2,23.256,ATL,@,NWE,L 20-21,3,17,5.67,0,0,0,0,0,0
13,1972,1972-10-01,3,23.263,ATL,,RAM,W 31-3,,,,,,,,,
14,1972,1972-10-08,4,23.270,ATL,,DET,L 23-26,,,,,,,,,
15,1972,1972-10-15,5,23.277,ATL,@,NOR,W 21-14,,,,,,,,,
16,1972,1972-10-22,6,23.284,ATL,@,GNB,W 10-9,1,9,9.00,0,0,0,0,0,0
17,1972,1972-10-29,7,23.291,ATL,,SFO,L 14-49,1,0,0.00,0,0,0,0,0,0
18,1972,1972-11-05,8,23.298,ATL,@,RAM,L 7-20,,,,,,,,,
19,1972,1972-11-12,9,23.305,ATL,,NOR,W 36-20,,,,,,,,,
20,1972,1972-11-20,10,23.313,ATL,@,WAS,L 13-24,1,4,4.00,0,0,0,0,0,0
21,1972,1972-11-26,11,23.319,ATL,,DEN,W 23-20,,,,,,,,,
