ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,22.062,IND,@,PIT,L 3-45,,,
2,1985,1985-12-01,13,22.146,IND,,NWE,L 31-38,1,1,0
3,1985,1985-12-08,14,22.153,IND,@,CHI,L 10-17,,,
4,1985,1985-12-15,15,22.160,IND,@,TAM,W 31-23,,,
5,1985,1985-12-22,16,22.167,IND,,HOU,W 34-16,,,
6,1987,1987-09-20,2,24.074,TAM,@,CHI,L 3-20,,,
7,1987,1987-10-25,6,24.109,TAM,,CHI,L 26-27,,,
8,1987,1987-11-01,7,24.116,TAM,@,GNB,W 23-17,,,
9,1987,1987-11-08,8,24.123,TAM,@,STL,L 28-31,,,
10,1987,1987-11-15,9,24.130,TAM,@,MIN,L 17-23,,,
11,1987,1987-11-22,10,24.137,TAM,,SFO,L 10-24,,,
12,1987,1987-11-29,11,24.144,TAM,@,RAM,L 3-35,,,
13,1987,1987-12-06,12,24.151,TAM,@,NOR,L 34-44,,,
14,1987,1987-12-13,13,24.158,TAM,,DET,L 10-20,,,
15,1987,1987-12-20,14,24.165,TAM,,STL,L 14-31,,,
16,1987,1987-12-27,15,24.172,TAM,@,IND,L 6-24,,,
