ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1979,1979-09-23,4,23.101,STL,,WAS,L 7-17,,,,
2,1979,1979-09-30,5,23.108,STL,@,RAM,L 0-21,,,,
3,1979,1979-10-07,6,23.115,STL,@,HOU,W 24-17,,,,
4,1979,1979-10-14,7,23.122,STL,,PHI,L 20-24,,,,
5,1979,1979-10-21,8,23.129,STL,@,DAL,L 13-22,,,,
6,1979,1979-10-28,9,23.136,STL,,CLE,L 20-38,,,,
7,1979,1979-11-04,10,23.143,STL,,MIN,W 37-7,1,6,6.00,0
8,1979,1979-11-11,11,23.150,STL,@,WAS,L 28-30,1,14,14.00,0
9,1979,1979-11-18,12,23.157,STL,@,PHI,L 13-16,,,,
10,1979,1979-12-02,14,23.171,STL,,SFO,W 13-10,,,,
11,1979,1979-12-09,15,23.178,STL,,NYG,W 29-20,,,,
12,1979,1979-12-16,16,23.185,STL,@,CHI,L 6-42,,,,
