ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-23,1,22.183,STL,@,RAM,W 43-21,0,0,,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,1,0,0.00,0,0,0,0,0,0
2,1960,1960-10-09,3,22.199,STL,@,PHI,L 27-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,14,14.00,0,0,0,0,0,0
3,1960,1960-10-30,6,22.220,STL,@,NYG,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
4,1960,1960-11-13,8,22.234,STL,@,CLE,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,0,0,0,0,0
5,1960,1960-11-20,9,22.241,STL,@,WAS,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,0,0,1,4,0
6,1960,1960-11-27,10,22.248,STL,,CLE,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,,,3,50,16.67,0,0,0,,0,0,0,0,0,0
7,1960,1960-12-04,11,22.255,STL,,PHI,L 6-20,0,0,,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,0,0,,0,0,0,0,0,0
8,1961,1961-10-08,4,23.198,STL,,NYG,L 9-24,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0,,0,0,0,1,25,0
9,1961,1961-10-15,5,23.205,STL,,PHI,L 7-20,0,0,,0,0,0,,0,0,0,,0,0,,,3,63,21.00,0,0,0,,0,0,0,0,0,0
10,1961,1961-11-05,8,23.226,STL,@,DAL,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
11,1961,1961-12-17,14,23.268,STL,,PIT,W 20-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,11,0
12,1962,1962-09-30,3,24.190,STL,@,WAS,L 14-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,2,0
13,1962,1962-10-28,7,24.218,STL,@,DAL,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,1,57,1
14,1963,1963-09-14,1,25.174,STL,@,DAL,W 34-7,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
15,1963,1963-09-29,3,25.189,STL,@,PIT,L 10-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,12,0
16,1963,1963-10-27,7,25.217,STL,@,WAS,W 21-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
17,1963,1963-11-24,11,25.245,STL,@,NYG,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,55,0
