ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1980,1980-09-21,3,21.360,GNB,@,RAM,L 21-51,,,,,,,,
2,1980,1980-09-28,4,22.001,GNB,,DAL,L 7-28,,,,,,,,
3,1980,1980-10-05,5,22.008,GNB,,CIN,W 14-9,,,,,,,,
4,1980,1980-10-12,6,22.015,GNB,@,TAM,T 14-14,,,,,,,,
5,1980,1980-10-19,7,22.022,GNB,@,CLE,L 21-26,,,,,,,,
6,1980,1980-10-26,8,22.029,GNB,,MIN,W 16-3,,,,,,,,
7,1980,1980-11-02,9,22.036,GNB,@,PIT,L 20-22,,,,,,,,
8,1980,1980-11-09,10,22.043,GNB,,SFO,W 23-16,,,,,,,,
9,1980,1980-11-16,11,22.050,GNB,@,NYG,L 21-27,,,,,,,,
10,1980,1980-11-23,12,22.057,GNB,@,MIN,W 25-13,,,,,,,,
11,1980,1980-11-30,13,22.064,GNB,,TAM,L 17-20,,,,,,,,
12,1980,1980-12-07,14,22.071,GNB,@,CHI,L 7-61,,,,,,,,
13,1980,1980-12-14,15,22.078,GNB,,HOU,L 3-22,,,,,,,,
14,1980,1980-12-21,16,22.085,GNB,@,DET,L 3-24,,,,,,,,
15,1981,1981-09-06,1,22.344,GNB,@,CHI,W 16-9,,,,,,,,
16,1981,1981-09-13,2,22.351,GNB,,ATL,L 17-31,,,,,,,,
17,1981,1981-09-20,3,22.358,GNB,@,RAM,L 23-35,,,,,,,,
18,1981,1981-09-27,4,23.000,GNB,,MIN,L 13-30,,,,,,,,
19,1981,1981-10-04,5,23.007,GNB,@,NYG,W 27-14,,,,,,,,
20,1981,1981-10-11,6,23.014,GNB,,TAM,L 10-21,,,,,,,,
21,1981,1981-11-15,11,23.049,GNB,,CHI,W 21-17,,,,,,,,
22,1981,1981-11-22,12,23.056,GNB,@,TAM,L 3-37,,,,,,,,
23,1981,1981-12-06,14,23.070,GNB,,DET,W 31-17,,,,,,,,
24,1981,1981-12-13,15,23.077,GNB,@,NOR,W 35-7,,,,,,,,
25,1981,1981-12-20,16,23.084,GNB,@,NYJ,L 3-28,,,,,,,,
26,1983,1983-09-04,1,24.342,GNB,@,HOU,W 41-38,0,0,,0,0,0,,0
27,1983,1983-09-11,2,24.349,GNB,,PIT,L 21-25,0,0,,0,0,0,,0
28,1983,1983-09-18,3,24.356,GNB,,RAM,W 27-24,0,0,,0,0,0,,0
29,1983,1983-09-26,4,24.364,GNB,@,NYG,L 3-27,0,0,,0,0,0,,0
30,1983,1983-10-02,5,25.005,GNB,,TAM,W 55-14,0,0,,0,0,0,,0
31,1983,1983-10-09,6,25.012,GNB,@,DET,L 14-38,0,0,,0,0,0,,0
32,1983,1983-10-17,7,25.020,GNB,,WAS,W 48-47,0,0,,0,0,0,,0
33,1983,1983-10-23,8,25.026,GNB,,MIN,L 17-20,1,9,9.00,0,0,0,,0
34,1983,1983-10-30,9,25.033,GNB,@,CIN,L 14-34,0,0,,0,0,0,,0
35,1983,1983-11-06,10,25.040,GNB,,CLE,W 35-21,0,0,,0,0,0,,0
36,1983,1983-11-13,11,25.047,GNB,@,MIN,W 29-21,0,0,,0,0,0,,0
37,1983,1983-11-20,12,25.054,GNB,,DET,L 20-23,0,0,,0,0,0,,0
38,1983,1983-11-27,13,25.061,GNB,@,ATL,L 41-47,0,0,,0,0,0,,0
39,1983,1983-12-04,14,25.068,GNB,,CHI,W 31-28,0,0,,0,0,0,,0
40,1983,1983-12-12,15,25.076,GNB,@,TAM,W 12-9,0,0,,0,0,0,,0
41,1983,1983-12-18,16,25.082,GNB,@,CHI,L 21-23,0,0,,0,1,0,0.00,0
42,1984,1984-09-02,1,25.341,GNB,,STL,W 24-23,,,,,,,,
43,1984,1984-09-09,2,25.348,GNB,@,RAI,L 7-28,,,,,,,,
44,1984,1984-09-16,3,25.355,GNB,,CHI,L 7-9,,,,,,,,
45,1984,1984-09-23,4,25.362,GNB,@,DAL,L 6-20,,,,,,,,
46,1984,1984-09-30,5,26.003,GNB,@,TAM,L 27-30,,,,,,,,
47,1984,1984-10-07,6,26.010,GNB,,SDG,L 28-34,,,,,,,,
48,1984,1984-10-15,7,26.018,GNB,@,DEN,L 14-17,,,,,,,,
49,1984,1984-10-21,8,26.024,GNB,,SEA,L 24-30,,,,,,,,
50,1984,1984-12-02,14,26.066,DAL,@,PHI,W 26-10,,,,,,,,
