ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1996,1996-09-01,1,24.048,OAK,@,BAL,L 14-19,,3,1,30,30.00,0,33.3%,10.00,0,0,,0,0,0
2,1996,1996-09-08,2,24.055,OAK,@,KAN,L 3-19,,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0
3,1996,1996-09-15,3,24.062,OAK,,JAX,W 17-3,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0
4,1996,1996-09-22,4,24.069,OAK,,SDG,L 34-40,,7,2,14,7.00,1,28.6%,2.00,0,0,,0,1,6
5,1996,1996-09-29,5,24.076,OAK,@,CHI,L 17-19,,1,0,0,,0,0.0%,0.00,,,,,,
6,1996,1996-10-06,6,24.083,OAK,@,NYJ,W 34-13,,8,4,60,15.00,2,50.0%,7.50,0,0,,0,2,12
7,1996,1996-10-13,7,24.090,OAK,,DET,W 37-21,,3,2,69,34.50,1,66.7%,23.00,0,0,,0,1,6
8,1996,1996-10-21,8,24.098,OAK,@,SDG,W 23-14,,,0,0,,0,0.0%,,,,,,,
9,1996,1996-11-04,9,24.112,OAK,,DEN,L 21-22,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0
10,1996,1996-11-10,10,24.118,OAK,@,TAM,L 17-20,,2,0,0,,0,0.0%,0.00,,,,,,
11,1996,1996-11-17,11,24.125,OAK,,MIN,L 13-16,,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0
12,1996,1996-11-24,12,24.132,OAK,@,SEA,W 27-21,,5,1,12,12.00,0,20.0%,2.40,0,0,,0,0,0
13,1996,1996-12-01,13,24.139,OAK,,MIA,W 17-7,,6,6,54,9.00,0,100.0%,9.00,0,0,,0,0,0
14,1996,1996-12-09,14,24.147,OAK,,KAN,W 26-7,,8,4,27,6.75,0,50.0%,3.38,0,0,,0,0,0
15,1996,1996-12-15,15,24.153,OAK,@,DEN,L 19-24,,8,3,21,7.00,0,37.5%,2.63,0,0,,0,0,0
16,1996,1996-12-22,16,24.160,OAK,,SEA,L 21-28,,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0
17,1997,1997-08-31,1,25.047,OAK,@,TEN,L 21-24,,5,1,26,26.00,0,20.0%,5.20,0,0,,0,0,0
18,1997,1997-09-08,2,25.055,OAK,,KAN,L 27-28,,8,4,90,22.50,2,50.0%,11.25,0,0,,0,2,12
19,1997,1997-09-14,3,25.061,OAK,@,ATL,W 36-31,,3,2,90,45.00,0,66.7%,30.00,0,0,,0,0,0
20,1997,1997-09-21,4,25.068,OAK,@,NYJ,L 22-23,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0
21,1997,1997-09-28,5,25.075,OAK,,STL,W 35-17,,7,5,106,21.20,2,71.4%,15.14,0,0,,0,2,12
22,1997,1997-10-05,6,25.082,OAK,,SDG,L 10-25,,7,6,68,11.33,0,85.7%,9.71,0,0,,0,0,0
23,1997,1997-10-19,7,25.096,OAK,,DEN,W 28-25,,3,2,6,3.00,1,66.7%,2.00,0,0,,0,1,6
24,1997,1997-10-26,8,25.103,OAK,@,SEA,L 34-45,,6,3,49,16.33,0,50.0%,8.17,0,0,,0,0,0
25,1997,1997-11-02,9,25.110,OAK,@,CAR,L 14-38,,9,5,51,10.20,0,55.6%,5.67,0,0,,0,0,0
26,1997,1997-11-09,10,25.117,OAK,,NOR,L 10-13,,13,5,116,23.20,0,38.5%,8.92,0,0,,0,0,0
27,1997,1997-11-16,11,25.124,OAK,@,SDG,W 38-13,,4,2,44,22.00,0,50.0%,11.00,0,0,,0,0,0
28,1997,1997-11-24,12,25.132,OAK,@,DEN,L 3-31,,5,2,26,13.00,0,40.0%,5.20,0,0,,0,0,0
