ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1964,1964-09-20,2,24.241,PIT,,NYG,W 27-24,0,0,,0,0,0,0,5,219,43.80,0
2,1964,1964-09-27,3,24.248,PIT,,DAL,W 23-17,0,0,,0,1,2,0,6,247,41.17,0
3,1964,1964-10-04,4,24.255,PIT,@,PHI,L 7-21,1,8,8.00,0,0,0,0,5,243,48.60,0
4,1964,1964-10-18,6,24.269,PIT,@,MIN,L 10-30,0,0,,0,0,0,0,4,182,45.50,0
5,1964,1964-10-25,7,24.276,PIT,,PHI,L 10-34,0,0,,0,0,0,0,8,311,38.88,0
6,1964,1964-11-01,8,24.283,PIT,,CLE,L 17-30,0,0,,0,0,0,0,1,45,45.00,0
7,1964,1964-11-08,9,24.290,PIT,@,STL,L 30-34,0,0,,0,0,0,0,1,33,33.00,0
8,1964,1964-11-15,10,24.297,PIT,,WAS,L 0-30,0,0,,0,0,0,0,1,55,55.00,0
