ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1978,1978-09-03,1,22.025,STL,@,CHI,L 10-17,1,12,12.00,0,0,0,,0,0,0
2,1978,1978-09-10,2,22.032,STL,,NWE,L 6-16,1,8,8.00,1,0,0,,0,1,6
3,1978,1978-09-17,3,22.039,STL,,WAS,L 10-28,,,,,,,,,,
4,1978,1978-09-24,4,22.046,STL,@,DAL,L 12-21,1,7,7.00,0,0,0,,0,0,0
5,1978,1978-10-01,5,22.053,STL,@,MIA,L 10-24,,,,,,,,,,
6,1978,1978-10-08,6,22.060,STL,,BAL,L 17-30,,,,,,,,,,
7,1978,1978-10-15,7,22.067,STL,,DAL,L 21-24,0,0,,0,1,24,24.00,0,0,0
8,1978,1978-10-22,8,22.074,STL,@,NYJ,L 10-23,1,23,23.00,0,3,53,17.67,0,0,0
9,1979,1979-09-09,2,23.031,STL,@,NYG,W 27-14,1,7,7.00,0,0,0,,0,0,0
10,1979,1979-09-23,4,23.045,STL,,WAS,L 7-17,,,,,,,,,,
11,1979,1979-09-30,5,23.052,STL,@,RAM,L 0-21,,,,,,,,,,
12,1979,1979-10-07,6,23.059,STL,@,HOU,W 24-17,4,56,14.00,0,0,0,,0,0,0
13,1979,1979-10-14,7,23.066,STL,,PHI,L 20-24,,,,,,,,,,
14,1979,1979-10-21,8,23.073,STL,@,DAL,L 13-22,2,26,13.00,0,0,0,,0,0,0
15,1979,1979-10-28,9,23.080,STL,,CLE,L 20-38,1,4,4.00,0,0,0,,0,0,0
16,1979,1979-11-04,10,23.087,STL,,MIN,W 37-7,,,,,,,,,,
17,1979,1979-11-11,11,23.094,STL,@,WAS,L 28-30,,,,,,,,,,
18,1979,1979-11-18,12,23.101,STL,@,PHI,L 13-16,,,,,,,,,,
19,1979,1979-11-25,13,23.108,STL,@,CIN,L 28-34,,,,,,,,,,
20,1979,1979-12-02,14,23.115,STL,,SFO,W 13-10,,,,,,,,,,
21,1979,1979-12-09,15,23.122,STL,,NYG,W 29-20,,,,,,,,,,
