ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2000,2000-10-15,7,22.258,SFO,@,GNB,L 28-31,,0,0,,0,0,0,0,,0,0.0%,,3,67,22.33,0,0,0
2,2000,2000-10-22,8,22.265,SFO,@,CAR,L 16-34,,2,20,10.00,0,0,0,0,,0,0.0%,,5,77,15.40,0,0,0
3,2000,2000-10-29,9,22.272,SFO,,STL,L 24-34,,1,2,2.00,0,1,0,0,,0,0.0%,0.00,1,23,23.00,0,0,0
4,2000,2000-11-05,10,22.279,SFO,@,NOR,L 15-31,,,,,,0,,,,,0.0%,,,,,,,
5,2000,2000-11-12,11,22.286,SFO,,KAN,W 21-7,,2,7,3.50,0,2,2,55,27.50,0,100.0%,27.50,0,0,,0,0,0
6,2000,2000-11-19,12,22.293,SFO,,ATL,W 16-6,,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
7,2000,2000-12-03,13,22.307,SFO,@,SDG,W 45-17,,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2000,2000-12-10,14,22.314,SFO,,NOR,L 27-31,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
9,2000,2000-12-17,15,22.321,SFO,,CHI,W 17-0,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
10,2000,2000-12-23,16,22.327,SFO,@,DEN,L 9-38,,2,19,9.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
11,2001,2001-09-23,2,23.235,SFO,,STL,L 26-30,,,,,,,,,,,0.0%,,,,,,,
12,2001,2001-10-01,3,23.243,SFO,@,NYJ,W 19-17,,,,,,,,,,,0.0%,,,,,,,
13,2001,2001-10-07,4,23.249,SFO,,CAR,W 24-14,,,,,,,,,,,0.0%,,,,,,,
14,2001,2001-10-14,5,23.256,SFO,@,ATL,W 37-31,,0,0,,0,0,0,0,,0,0.0%,,1,6,6.00,0,0,0
15,2001,2001-10-28,6,23.270,SFO,@,CHI,L 31-37,,,,,,,,,,,0.0%,,,,,,,
16,2001,2001-11-04,7,23.277,SFO,,DET,W 21-13,,,,,,0,,,,,0.0%,,,,,,,
17,2001,2001-11-11,8,23.284,SFO,,NOR,W 28-27,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,0,0
18,2001,2001-11-18,9,23.291,SFO,@,CAR,W 25-22,,,,,,0,,,,,0.0%,,,,,,,
19,2001,2001-11-25,10,23.298,SFO,@,IND,W 40-21,,,,,,,,,,,0.0%,,,,,,,
20,2001,2001-12-02,11,23.305,SFO,,BUF,W 35-0,,4,27,6.75,1,0,0,0,,0,0.0%,,0,0,,0,1,6
21,2001,2001-12-09,12,23.312,SFO,@,STL,L 14-27,,,,,,,,,,,0.0%,,,,,,,
22,2001,2001-12-16,13,23.319,SFO,,MIA,W 21-0,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0,0
23,2001,2001-12-22,14,23.325,SFO,,PHI,W 13-3,,,,,,,,,,,0.0%,,,,,,,
24,2001,2001-12-30,15,23.333,SFO,@,DAL,L 21-27,,,,,,,,,,,0.0%,,,,,,,
25,2001,2002-01-06,16,23.340,SFO,@,NOR,W 38-0,,,,,,0,,,,,0.0%,,,,,,,
26,2002,2002-09-05,1,24.217,SFO,@,NYG,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0,0,0
27,2002,2002-09-15,2,24.227,SFO,,DEN,L 14-24,,0,0,,0,0,0,0,,0,0.0%,,1,6,6.00,0,0,0
28,2002,2002-11-03,8,24.276,SFO,@,OAK,W 23-20,,,,,,,,,,,0.0%,,,,,,,
29,2002,2002-11-10,9,24.283,SFO,,KAN,W 17-13,,,,,,0,,,,,0.0%,,,,,,,
30,2002,2002-11-17,10,24.290,SFO,@,SDG,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0
31,2002,2002-11-25,11,24.298,SFO,,PHI,L 17-38,,2,29,14.50,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0
32,2002,2002-12-01,12,24.304,SFO,,SEA,W 31-24,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
33,2002,2002-12-08,13,24.311,SFO,@,DAL,W 31-27,,13,40,3.08,0,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0
34,2002,2002-12-15,14,24.318,SFO,,GNB,L 14-20,,0,0,,0,0,0,0,,0,0.0%,,1,8,8.00,0,0,0
35,2002,2002-12-21,15,24.324,SFO,@,ARI,W 17-14,,,,,,0,,,,,0.0%,,,,,,,
36,2002,2002-12-30,16,24.333,SFO,@,STL,L 20-31,,3,21,7.00,0,0,0,0,,0,0.0%,,3,42,14.00,0,0,0
37,2003,2003-11-16,10,25.289,DET,@,SEA,L 14-35,,,,,,,,,,,0.0%,,,,,,,
38,2003,2003-11-23,11,25.296,DET,@,MIN,L 14-24,,,,,,1,,,,,0.0%,,,,,,,
39,2003,2003-11-27,12,25.300,DET,,GNB,W 22-14,,,,,,,,,,,0.0%,,,,,,,
40,2003,2003-12-07,13,25.310,DET,,SDG,L 7-14,,,,,,,,,,,0.0%,,,,,,,
41,2003,2003-12-14,14,25.317,DET,@,KAN,L 17-45,,,,,,,,,,,0.0%,,,,,,,
42,2003,2003-12-21,15,25.324,DET,@,CAR,L 14-20,,,,,,0,,,,,0.0%,,,,,,,
43,2003,2003-12-28,16,25.331,DET,,STL,W 30-20,,2,5,2.50,0,5,5,45,9.00,0,100.0%,9.00,0,0,,0,0,0
44,2005,2005-09-11,1,27.223,DET,,GNB,W 17-3,*,0,0,,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
45,2005,2005-09-18,2,27.230,DET,@,CHI,L 6-38,*,2,11,5.50,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0
46,2005,2005-10-02,3,27.244,DET,@,TAM,L 13-17,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
47,2005,2005-10-09,4,27.251,DET,,BAL,W 35-17,*,0,0,,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
48,2005,2005-10-16,5,27.258,DET,,CAR,L 20-21,*,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
49,2005,2005-10-23,6,27.265,DET,@,CLE,W 13-10,,0,0,,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
50,2005,2005-10-30,7,27.272,DET,,CHI,L 13-19,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
51,2005,2005-11-13,9,27.286,DET,,ARI,W 29-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
52,2005,2005-11-20,10,27.293,DET,@,DAL,L 7-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
53,2005,2005-11-24,11,27.297,DET,,ATL,L 7-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
54,2005,2005-12-24,15,27.327,DET,@,NOR,W 13-12,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
55,2005,2006-01-01,16,27.335,DET,@,PIT,L 21-35,,2,5,2.50,0,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0
56,2006,2006-09-10,1,28.222,STL,,DEN,W 18-10,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
57,2006,2006-09-17,2,28.229,STL,@,SFO,L 13-20,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
58,2006,2006-09-24,3,28.236,STL,@,ARI,W 16-14,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
59,2006,2006-10-01,4,28.243,STL,,DET,W 41-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
60,2006,2006-10-29,7,28.271,STL,@,SDG,L 24-38,,0,0,,0,1,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0
61,2006,2006-11-05,8,28.278,STL,,KAN,L 17-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
62,2006,2006-11-12,9,28.285,STL,@,SEA,L 22-24,*,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
63,2006,2006-11-19,10,28.292,STL,@,CAR,L 0-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
64,2006,2006-12-03,12,28.306,STL,,ARI,L 20-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
65,2006,2006-12-11,13,28.314,STL,,CHI,L 27-42,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
66,2007,2007-09-09,1,29.221,DEN,@,BUF,W 15-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
67,2007,2007-09-16,2,29.228,DEN,,OAK,W 23-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
68,2007,2007-09-23,3,29.235,DEN,,JAX,L 14-23,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
69,2007,2007-09-30,4,29.242,DEN,@,IND,L 20-38,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
70,2007,2007-10-07,5,29.249,DEN,,SDG,L 3-41,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
71,2007,2007-10-21,6,29.263,DEN,,PIT,W 31-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
72,2007,2007-10-29,7,29.271,DEN,,GNB,L 13-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
73,2007,2007-11-04,8,29.277,DEN,@,DET,L 7-44,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
74,2007,2007-11-11,9,29.284,DEN,@,KAN,W 27-11,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
75,2007,2007-12-02,12,29.305,DEN,@,OAK,L 20-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
