ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1978,1978-09-02,1,25.236,NYG,@,TAM,W 19-13,,,,,,,,
2,1978,1978-09-10,2,25.244,NYG,,DAL,L 24-34,3,26,8.67,0,0,0,,0
3,1978,1978-09-17,3,25.251,NYG,,KAN,W 26-10,,,,,,,,
4,1978,1978-09-24,4,25.258,NYG,,SFO,W 27-10,,,,,,,,
5,1978,1978-10-01,5,25.265,NYG,@,ATL,L 20-23,0,0,,0,1,4,4.00,0
6,1978,1978-10-08,6,25.272,NYG,@,DAL,L 3-24,,,,,,,,
7,1978,1978-10-15,7,25.279,NYG,,TAM,W 17-14,2,32,16.00,0,0,0,,0
8,1978,1978-10-22,8,25.286,NYG,,WAS,W 17-6,1,46,46.00,0,0,0,,0
9,1978,1978-10-29,9,25.293,NYG,@,NOR,L 17-28,1,9,9.00,0,1,0,0.00,0
10,1978,1978-11-05,10,25.300,NYG,@,STL,L 10-20,,,,,,,,
11,1978,1978-11-12,11,25.307,NYG,@,WAS,L 13-16,,,,,,,,
12,1978,1978-11-19,12,25.314,NYG,,PHI,L 17-19,,,,,,,,
13,1978,1978-11-26,13,25.321,NYG,@,BUF,L 17-41,,,,,,,,
