ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2002,2002-09-16,2,26.175,WAS,,PHI,L 7-37,,1,1,100.0,,,,0,1,,,,
2,2002,2002-09-22,3,26.181,WAS,@,SFO,L 10-20,,1,1,100.0,1,1,100.0,0,4,0,0,,0
3,2002,2002-10-06,4,26.195,WAS,@,TEN,W 31-14,,4,4,100.0,1,1,100.0,0,7,0,0,,0
4,2002,2002-10-13,5,26.202,WAS,,NOR,L 27-43,,3,3,100.0,,,,0,3,,,,
5,2002,2002-10-20,6,26.209,WAS,@,GNB,L 9-30,,,,,3,4,75.0,0,9,0,0,,0
6,2002,2002-10-27,7,26.216,WAS,,IND,W 26-21,,2,2,100.0,4,4,100.0,0,14,0,0,,0
7,2002,2002-11-03,8,26.223,WAS,@,SEA,W 14-3,,2,2,100.0,,,,0,2,,,,
8,2002,2002-11-10,9,26.230,WAS,@,JAX,L 7-26,,1,1,100.0,,1,0.0,0,1,0,0,,0
9,2002,2002-11-17,10,26.237,WAS,@,NYG,L 17-19,,2,2,100.0,1,2,50.0,0,5,0,0,,0
10,2002,2002-11-24,11,26.244,WAS,,STL,W 20-17,,2,2,100.0,,2,0.0,0,2,0,0,,0
11,2002,2002-11-28,12,26.248,WAS,@,DAL,L 20-27,,2,3,66.7,,1,0.0,0,2,4,160,40.00,0
