ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1966,1966-12-11,13,26.310,DEN,@,OAK,L 10-28,1,0,0.00,0
2,1970,1970-09-20,1,30.228,DEN,@,BUF,W 25-10,,,,
3,1970,1970-09-27,2,30.235,DEN,,PIT,W 16-13,,,,
4,1970,1970-10-04,3,30.242,DEN,,KAN,W 26-13,,,,
5,1970,1970-10-11,4,30.249,DEN,@,OAK,L 23-35,,,,
6,1970,1970-11-08,8,30.277,DEN,@,SDG,L 21-24,,,,
7,1970,1970-11-15,9,30.284,DEN,,OAK,L 19-24,,,,
8,1970,1970-11-22,10,30.291,DEN,@,NOR,W 31-6,,,,
9,1970,1970-11-29,11,30.298,DEN,@,HOU,L 21-31,,,,
10,1970,1970-12-06,12,30.305,DEN,@,KAN,L 0-16,,,,
11,1970,1970-12-13,13,30.312,DEN,,SDG,T 17-17,,,,
12,1970,1970-12-20,14,30.319,DEN,,CLE,L 13-27,,,,
13,1971,1971-09-19,1,31.227,DEN,,MIA,T 10-10,,,,
14,1971,1971-09-26,2,31.234,DEN,@,GNB,L 13-34,,,,
15,1971,1971-10-03,3,31.241,DEN,,KAN,L 3-16,,,,
16,1971,1971-10-10,4,31.248,DEN,,OAK,L 16-27,,,,
17,1971,1971-10-17,5,31.255,DEN,,SDG,W 20-16,,,,
18,1971,1971-10-24,6,31.262,DEN,@,CLE,W 27-0,,,,
19,1971,1971-10-31,7,31.269,DEN,@,PHI,L 16-17,,,,
20,1971,1971-11-07,8,31.276,DEN,,DET,L 20-24,,,,
21,1971,1971-11-14,9,31.283,DEN,,CIN,L 10-24,,,,
22,1971,1971-11-21,10,31.290,DEN,@,KAN,L 10-28,,,,
23,1971,1971-11-28,11,31.297,DEN,@,PIT,W 22-10,,,,
24,1971,1971-12-05,12,31.304,DEN,,CHI,W 6-3,,,,
25,1971,1971-12-12,13,31.311,DEN,@,SDG,L 17-45,,,,
26,1971,1971-12-19,14,31.318,DEN,@,OAK,L 13-21,,,,
27,1973,1973-10-22,6,33.260,DEN,,OAK,T 23-23,,,,
28,1973,1973-10-28,7,33.266,DEN,@,NYJ,W 40-28,,,,
29,1973,1973-11-11,9,33.280,DEN,,SDG,W 30-19,,,,
30,1973,1973-11-18,10,33.287,DEN,@,PIT,W 23-13,,,,
31,1973,1973-11-25,11,33.294,DEN,,KAN,W 14-10,,,,
32,1973,1973-12-02,12,33.301,DEN,,DAL,L 10-22,,,,
33,1973,1973-12-09,13,33.308,DEN,@,SDG,W 42-28,,,,
34,1973,1973-12-16,14,33.315,DEN,@,OAK,L 17-21,,,,
