ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2010,2010-09-12,1,23.057,PHI,,GNB,L 20-27,,,,,,,,,
2,2010,2010-09-26,3,23.071,PHI,@,JAX,W 28-3,,1,13,13.00,0,3,31,10.33,0
3,2010,2010-10-03,4,23.078,PHI,,WAS,L 12-17,,2,45,22.50,0,0,0,,0
4,2010,2010-10-10,5,23.085,PHI,@,SFO,W 27-24,,1,38,38.00,0,0,0,,0
5,2010,2010-10-17,6,23.092,PHI,,ATL,W 31-17,,1,1,1.00,0,2,46,23.00,0
6,2010,2010-10-24,7,23.099,PHI,@,TEN,L 19-37,,2,63,31.50,0,2,16,8.00,0
7,2010,2010-11-07,8,23.113,PHI,,IND,W 26-24,,2,61,30.50,0,1,-1,-1.00,0
8,2010,2010-11-15,9,23.121,PHI,@,WAS,W 59-28,,4,66,16.50,0,3,24,8.00,0
9,2010,2010-11-28,11,23.134,PHI,@,CHI,L 26-31,,6,145,24.17,0,0,0,,0
10,2010,2010-12-02,12,23.138,PHI,,HOU,W 34-24,,4,92,23.00,0,0,0,,0
11,2010,2010-12-12,13,23.148,PHI,@,DAL,W 30-27,,4,87,21.75,0,0,0,,0
12,2010,2010-12-19,14,23.155,PHI,@,NYG,W 38-31,,5,81,16.20,0,1,9,9.00,0
