ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1969,1969-09-21,1,26.160,WAS,@,NOR,W 26-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6
2,1969,1969-09-28,2,26.167,WAS,@,CLE,L 23-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
3,1969,1969-10-05,3,26.174,WAS,@,SFO,T 17-17,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,2,2,100.0,1,3,33.3,0,5
4,1969,1969-10-12,4,26.181,WAS,,STL,W 33-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
5,1969,1969-10-19,5,26.188,WAS,,NYG,W 20-14,,0,0,,0,0,0,,0,0,,,2,3,66.7,,2,0.0,0,2
6,1969,1969-10-26,6,26.195,WAS,@,PIT,W 14-7,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
7,1969,1969-11-02,7,26.202,WAS,@,BAL,L 17-41,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
8,1969,1969-11-09,8,26.209,WAS,,PHI,T 28-28,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4
9,1969,1969-11-16,9,26.216,WAS,,DAL,L 28-41,,0,0,,0,0,0,,0,0,,,4,4,100.0,,1,0.0,0,4
10,1969,1969-11-23,10,26.223,WAS,,ATL,W 27-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
11,1969,1969-11-30,11,26.230,WAS,,RAM,L 13-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
12,1969,1969-12-07,12,26.237,WAS,@,PHI,W 34-29,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10
13,1969,1969-12-14,13,26.244,WAS,,NOR,W 17-14,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
14,1969,1969-12-21,14,26.251,WAS,@,DAL,L 10-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,3,33.3,0,4
15,1970,1970-09-20,1,27.159,WAS,@,SFO,L 17-26,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
16,1970,1970-09-27,2,27.166,WAS,@,STL,L 17-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
17,1970,1970-10-04,3,27.173,WAS,@,PHI,W 33-21,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,5,80.0,0,15
18,1970,1970-10-11,4,27.180,WAS,,DET,W 31-10,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7
19,1970,1970-10-19,5,27.188,WAS,@,OAK,L 20-34,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
20,1970,1970-10-25,6,27.194,WAS,,CIN,W 20-0,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
21,1970,1970-11-01,7,27.201,WAS,@,DEN,W 19-3,,0,0,,0,0,0,,0,0,,,1,2,50.0,2,4,50.0,0,7
22,1970,1970-11-08,8,27.208,WAS,,MIN,L 10-19,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
23,1970,1970-11-15,9,27.215,WAS,@,NYG,L 33-35,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
24,1970,1970-11-22,10,27.222,WAS,,DAL,L 21-45,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
25,1970,1970-11-29,11,27.229,WAS,,NYG,L 24-27,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
26,1970,1970-12-06,12,27.236,WAS,@,DAL,L 0-34,,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0
27,1970,1970-12-13,13,27.243,WAS,,PHI,W 24-6,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
28,1970,1970-12-20,14,27.250,WAS,,STL,W 28-27,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4
29,1971,1971-09-19,1,28.158,WAS,@,STL,W 24-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
30,1971,1971-09-26,2,28.165,WAS,@,NYG,W 30-3,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,4,75.0,0,12
