ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-10-09,3,23.071,SFO,@,DET,W 14-10,,,,3,143,47.67,0
2,1960,1960-11-20,8,23.113,SFO,@,DAL,W 26-14,3,25,0,0,0,,0
3,1960,1960-11-27,9,23.120,SFO,@,BAL,W 30-22,2,3,0,0,0,,0
4,1960,1960-12-04,10,23.127,SFO,@,RAM,W 23-7,4,49,0,0,0,,0
5,1960,1960-12-18,12,23.141,SFO,,BAL,W 34-10,1,19,0,0,0,,0
6,1961,1961-09-17,1,24.049,SFO,,WAS,W 35-3,1,25,0,0,0,,0
7,1961,1961-10-01,3,24.063,SFO,@,DET,W 49-0,2,58,0,0,0,,0
8,1961,1961-11-05,8,24.098,SFO,,DET,T 20-20,1,0,0,0,0,,0
9,1961,1961-11-19,10,24.112,SFO,,CHI,W 41-31,1,40,0,0,0,,0
10,1961,1961-12-10,13,24.133,SFO,,GNB,W 22-21,1,0,0,0,0,,0
