ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1969,1969-09-14,1,22.154,CIN,,MIA,W 27-21,3,21,7.00,0,0,0,,0,0,0,,0,0,0
2,1969,1969-09-21,2,22.161,CIN,,SDG,W 34-20,2,27,13.50,1,0,0,,0,0,0,,0,1,6
3,1969,1969-09-28,3,22.168,CIN,,KAN,W 24-19,1,12,12.00,0,0,0,,0,0,0,,0,0,0
4,1969,1969-10-04,4,22.174,CIN,@,SDG,L 14-21,1,10,10.00,0,2,3,1.50,1,0,0,,0,1,6
5,1969,1969-10-12,5,22.182,CIN,,NYJ,L 7-21,5,46,9.20,0,0,0,,0,0,0,,0,0,0
6,1969,1969-10-19,6,22.189,CIN,,DEN,L 23-30,9,155,17.22,1,0,0,,0,0,0,,0,1,6
7,1969,1969-10-26,7,22.196,CIN,@,KAN,L 22-42,2,14,7.00,0,0,0,,0,0,0,,0,0,0
8,1969,1969-11-02,8,22.203,CIN,,OAK,W 31-17,1,3,3.00,0,0,0,,0,0,0,,0,0,0
9,1969,1969-11-09,9,22.210,CIN,@,HOU,T 31-31,1,6,6.00,0,0,0,,0,0,0,,0,0,0
10,1969,1969-11-16,10,22.217,CIN,,BOS,L 14-25,0,0,,0,1,4,4.00,0,1,4,4.00,0,0,0
11,1969,1969-12-07,13,22.238,CIN,@,OAK,L 17-37,1,10,10.00,0,1,9,9.00,0,1,-2,-2.00,0,0,0
12,1969,1969-12-14,14,22.245,CIN,@,DEN,L 16-27,7,177,25.29,1,0,0,,0,2,13,6.50,0,1,6
13,1970,1970-09-20,1,23.160,CIN,,OAK,W 31-21,1,5,5.00,0,0,0,,0,0,0,,0,0,0
14,1970,1970-09-27,2,23.167,CIN,@,DET,L 3-38,1,11,11.00,0,0,0,,0,0,0,,0,0,0
15,1970,1970-10-04,3,23.174,CIN,,HOU,L 13-20,3,51,17.00,0,0,0,,0,0,0,,0,0,0
16,1970,1970-10-11,4,23.181,CIN,@,CLE,L 27-30,7,82,11.71,1,0,0,,0,0,0,,0,1,6
17,1970,1970-10-18,5,23.188,CIN,,KAN,L 19-27,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0
18,1970,1970-10-25,6,23.195,CIN,@,WAS,L 0-20,1,8,8.00,0,0,0,,0,1,11,11.00,0,0,0
19,1970,1970-11-02,7,23.203,CIN,@,PIT,L 10-21,,,,,,,,,,,,,,
20,1970,1970-11-08,8,23.209,CIN,@,BUF,W 43-14,0,0,,0,1,13,13.00,0,0,0,,0,0,0
21,1970,1970-11-15,9,23.216,CIN,,CLE,W 14-10,1,10,10.00,0,0,0,,0,0,0,,0,0,0
22,1970,1970-11-22,10,23.223,CIN,,PIT,W 34-7,0,0,,0,1,-6,-6.00,0,1,0,0.00,0,0,0
23,1970,1970-11-29,11,23.230,CIN,,NOR,W 26-6,4,52,13.00,0,0,0,,0,0,0,,0,0,0
24,1970,1970-12-06,12,23.237,CIN,@,SDG,W 17-14,,,,,,,,,,,,,,
25,1970,1970-12-13,13,23.244,CIN,@,HOU,W 30-20,2,19,9.50,0,0,0,,0,0,0,,0,0,0
26,1970,1970-12-20,14,23.251,CIN,,BOS,W 45-7,1,19,19.00,1,0,0,,0,1,10,10.00,0,1,6
27,1971,1971-09-19,1,24.159,CIN,,PHI,W 37-14,4,122,30.50,1,1,0,0.00,0,0,0,,0,1,6
28,1971,1971-09-26,2,24.166,CIN,@,PIT,L 10-21,4,74,18.50,0,0,0,,0,0,0,,0,0,0
29,1971,1971-10-03,3,24.173,CIN,@,GNB,L 17-20,2,10,5.00,0,0,0,,0,0,0,,0,0,0
30,1971,1971-10-10,4,24.180,CIN,,MIA,L 13-23,2,26,13.00,0,0,0,,0,0,0,,0,0,0
31,1971,1971-10-17,5,24.187,CIN,,CLE,L 24-27,,,,,,,,,,,,,,
32,1971,1971-10-24,6,24.194,CIN,@,OAK,L 27-31,3,23,7.67,1,0,0,,0,0,0,,0,1,6
33,1971,1971-10-31,7,24.201,CIN,@,HOU,L 6-10,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0
34,1971,1971-11-07,8,24.208,CIN,,ATL,L 6-9,4,45,11.25,0,1,-1,-1.00,0,0,0,,0,0,0
35,1971,1971-11-21,10,24.222,CIN,,HOU,W 28-13,,,,,,,,,,,,,,
36,1971,1971-11-28,11,24.229,CIN,,SDG,W 31-0,1,10,10.00,0,0,0,,0,1,1,1.00,0,0,0
37,1971,1971-12-05,12,24.236,CIN,@,CLE,L 27-31,0,0,,0,0,0,,0,2,2,1.00,0,0,0
38,1971,1971-12-12,13,24.243,CIN,,PIT,L 13-21,1,19,19.00,0,0,0,,0,1,7,7.00,0,0,0
39,1972,1972-09-17,1,25.157,CIN,@,NWE,W 31-7,,,,,,,,,,,,,,
40,1972,1972-09-24,2,25.164,CIN,,PIT,W 15-10,3,28,9.33,0,0,0,,0,0,0,,0,0,0
41,1972,1972-10-01,3,25.171,CIN,@,CLE,L 6-27,3,43,14.33,0,0,0,,0,0,0,,0,0,0
42,1972,1972-10-08,4,25.178,CIN,,DEN,W 21-10,1,16,16.00,0,0,0,,0,0,0,,0,0,0
43,1972,1972-10-15,5,25.185,CIN,@,KAN,W 23-16,3,17,5.67,1,0,0,,0,0,0,,0,1,6
44,1972,1972-10-22,6,25.192,CIN,@,RAM,L 12-15,3,33,11.00,0,0,0,,0,0,0,,0,0,0
45,1972,1972-10-29,7,25.199,CIN,,HOU,W 30-7,1,7,7.00,0,0,0,,0,0,0,,0,0,0
46,1972,1972-11-05,8,25.206,CIN,@,PIT,L 17-40,,,,,,,,,,,,,,
47,1972,1972-11-19,10,25.220,CIN,,BAL,L 19-20,3,27,9.00,0,0,0,,0,0,0,,0,0,0
48,1972,1972-11-26,11,25.227,CIN,@,CHI,W 13-3,,,,,,,,,,,,,,
49,1972,1972-12-17,14,25.248,CIN,@,HOU,W 61-17,,,,,,,,,,,,,,
50,1973,1973-10-21,6,26.191,NOR,@,SFO,L 0-40,,,,,,,,,,,,,,
51,1973,1973-10-28,7,26.198,NOR,,WAS,W 19-3,,,,,,,,,,,,,,
52,1973,1973-11-11,9,26.212,NOR,@,RAM,L 7-29,,,,,,,,,,,,,,
53,1973,1973-12-02,12,26.233,NOR,@,GNB,L 10-30,,,,,,,,,,,,,,
54,1973,1973-12-09,13,26.240,NOR,,SFO,W 16-10,,,,,,,,,,,,,,
55,1973,1973-12-16,14,26.247,NOR,@,ATL,L 10-14,,,,,,,,,,,,,,
56,1974,1974-09-15,1,27.155,NOR,,SFO,L 13-17,1,3,3.00,0,0,0,,0,0,0,,0,0,0
