ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1995,1995-10-01,4,24.326,NWE,@,ATL,L 17-30,,,,,,,,,,,
2,1995,1995-10-15,6,24.340,NWE,@,KAN,L 26-31,,,,,,,,,,,
3,1995,1995-10-23,7,24.348,NWE,,BUF,W 27-14,,,,,,,,,,,
4,1995,1995-10-29,8,24.354,NWE,,CAR,L 17-20,,,,,,,,,,,
5,1995,1995-11-12,10,25.003,NWE,@,MIA,W 34-17,,,,,,,,,,,
6,1995,1995-11-26,12,25.017,NWE,@,BUF,W 35-25,,,,,,,,,,,
7,1995,1995-12-16,15,25.037,NWE,@,PIT,L 27-41,,,,,,,,,,,
8,1995,1995-12-23,16,25.044,NWE,@,IND,L 7-10,,,,,,,,,,,
9,1996,1996-09-01,1,25.297,NWE,@,MIA,L 10-24,,,,,,,,,,,
10,1996,1996-09-08,2,25.304,NWE,@,BUF,L 10-17,,,,,,,,,,,
11,1996,1996-09-15,3,25.311,NWE,,ARI,W 31-0,,,,,,,,,,,
12,1996,1996-09-22,4,25.318,NWE,,JAX,W 28-25,,0,0,,0,0,0,0.0,1,14,0
13,1996,1996-10-06,5,25.332,BUF,,IND,W 16-13,,,,,,,,,,,
14,1996,1996-10-13,6,25.339,NWE,,WAS,L 22-27,,,,,,,,,,,
15,1996,1996-10-20,7,25.346,NWE,@,IND,W 27-9,,,,,,,,,,,
16,1996,1996-10-27,8,25.353,NWE,,BUF,W 28-25,,,,,,,,,,,
17,1996,1996-11-03,9,25.360,NWE,,MIA,W 42-23,,0,0,,0,0,0,0.0,1,0,0
18,1996,1996-11-10,10,26.001,NWE,@,NYJ,W 31-27,,,,,,,,,,,
19,1996,1996-11-17,11,26.008,NWE,,DEN,L 8-34,,,,,,,,,,,
20,1996,1996-11-24,12,26.015,NWE,,IND,W 27-13,,,,,,,,,,,
21,1996,1996-12-08,14,26.029,NWE,,NYJ,W 34-10,,,,,,,,,,,
22,1997,1997-08-31,1,26.295,NWE,,SDG,W 41-7,,,,,,,,,,,
23,1997,1997-09-07,2,26.302,NWE,@,IND,W 31-6,,,,,,,,,,,
24,1997,1997-09-14,3,26.309,NWE,,NYJ,W 27-24,,,,,,,,,,,
25,1997,1997-09-21,4,26.316,NWE,,CHI,W 31-3,,,,,,,,,,,
26,1997,1997-10-06,5,26.331,NWE,@,DEN,L 13-34,,,,,,,,,,,
27,1997,1997-10-12,6,26.337,NWE,,BUF,W 33-6,,,,,,,,,,,
28,1997,1997-10-19,7,26.344,NWE,@,NYJ,L 19-24,,,,,,,,,,,
29,1997,1997-10-27,8,26.352,NWE,,GNB,L 10-28,,,,,,,,,,,
30,1997,1997-11-09,10,27.000,NWE,@,BUF,W 31-10,,0,0,,0,0,0,0.0,1,4,0
31,1997,1997-11-16,11,27.007,NWE,@,TAM,L 7-27,,,,,,,,,,,
32,1997,1997-11-23,12,27.014,NWE,,MIA,W 27-24,,0,0,,0,1,6,0.0,1,100,1
33,1997,1997-11-30,13,27.021,NWE,,IND,W 20-17,,,,,,,,,,,
34,1997,1997-12-07,14,27.028,NWE,@,JAX,W 26-20,,,,,,,,,,,
35,1997,1997-12-13,15,27.034,NWE,,PIT,L 21-24,,,,,,,,,,,
36,1997,1997-12-22,16,27.043,NWE,@,MIA,W 14-12,,,,,,,,,,,
37,1998,1998-09-06,1,27.301,MIN,,TAM,W 31-7,,0,0,,0,0,0,0.0,1,38,0
38,1998,1998-09-13,2,27.308,MIN,@,STL,W 38-31,,0,0,,0,0,0,0.0,1,3,0
39,1998,1998-09-20,3,27.315,MIN,,DET,W 29-6,,,,,,,,,,,
