ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,21.317,NOR,,ATL,L 10-31,,,,,,
2,1986,1986-09-14,2,21.324,NOR,,GNB,W 24-10,,,,,,
3,1986,1986-09-21,3,21.331,NOR,@,SFO,L 17-26,,,,,,
4,1986,1986-09-28,4,21.338,NOR,@,NYG,L 17-20,,,,,,
5,1986,1986-10-05,5,21.345,NOR,,WAS,L 6-14,,,,,,
6,1986,1986-10-12,6,21.352,NOR,@,IND,W 17-14,,,,,,
7,1986,1986-10-19,7,21.359,NOR,,TAM,W 38-7,0,0,1.0,0,0,0
8,1986,1986-10-26,8,22.001,NOR,@,NYJ,L 23-28,,,,,,
9,1986,1986-11-02,9,22.008,NOR,,SFO,W 23-10,,,,,,
10,1986,1986-11-09,10,22.015,NOR,,RAM,W 6-0,0,0,1.0,0,0,0
11,1986,1986-11-16,11,22.022,NOR,@,STL,W 16-7,,,,,,
12,1986,1986-11-23,12,22.029,NOR,@,RAM,L 13-26,,,,,,
13,1986,1986-11-30,13,22.036,NOR,,NWE,L 20-21,0,0,1.0,0,0,0
14,1986,1986-12-07,14,22.043,NOR,,MIA,L 27-31,,,,,,
15,1986,1986-12-14,15,22.050,NOR,@,ATL,W 14-9,,,,,,
16,1986,1986-12-21,16,22.057,NOR,@,MIN,L 17-33,0,0,1.0,0,0,0
17,1987,1987-09-13,1,22.323,NOR,,CLE,W 28-21,0,0,1.0,0,0,0
18,1987,1987-09-20,2,22.330,NOR,@,PHI,L 17-27,0,0,1.0,0,0,0
19,1987,1987-10-25,6,23.000,NOR,,SFO,L 22-24,0,0,2.0,0,0,0
20,1987,1987-11-01,7,23.007,NOR,@,ATL,W 38-0,,,,,,
21,1987,1987-11-08,8,23.014,NOR,@,RAM,W 31-14,,,,,,
22,1987,1987-11-15,9,23.021,NOR,@,SFO,W 26-24,,,,,,
23,1987,1987-11-22,10,23.028,NOR,,NYG,W 23-14,0,0,1.5,0,0,0
24,1987,1987-11-29,11,23.035,NOR,@,PIT,W 20-16,0,0,2.0,0,0,0
25,1987,1987-12-06,12,23.042,NOR,,TAM,W 44-34,0,0,1.0,0,0,0
26,1987,1987-12-13,13,23.049,NOR,,HOU,W 24-10,,,,,,
27,1987,1987-12-20,14,23.056,NOR,@,CIN,W 41-24,0,0,2.0,0,0,0
28,1987,1987-12-27,15,23.063,NOR,,GNB,W 33-24,0,0,0.0,1,10,0
29,1988,1988-09-04,1,23.315,NOR,,SFO,L 33-34,,,,,,
30,1988,1988-09-11,2,23.322,NOR,@,ATL,W 29-21,,,,,,
31,1988,1988-09-18,3,23.329,NOR,@,DET,W 22-14,,,,,,
32,1988,1988-09-25,4,23.336,NOR,,TAM,W 13-9,0,0,1.0,0,0,0
33,1988,1988-10-03,5,23.344,NOR,,DAL,W 20-17,,,,,,
34,1988,1988-10-09,6,23.350,NOR,@,SDG,W 23-17,,,,,,
35,1988,1988-10-16,7,23.357,NOR,@,SEA,W 20-19,0,0,1.0,0,0,0
36,1988,1988-10-23,8,23.364,NOR,,RAI,W 20-6,,,,,,
37,1988,1988-11-06,10,24.012,NOR,@,WAS,L 24-27,,,,,,
38,1988,1988-11-13,11,24.019,NOR,@,RAM,W 14-10,,,,,,
39,1988,1988-11-20,12,24.026,NOR,,DEN,W 42-0,,,,,,
40,1988,1988-11-27,13,24.033,NOR,,NYG,L 12-13,0,0,3.0,0,0,0
41,1988,1988-12-04,14,24.040,NOR,@,MIN,L 3-45,,,,,,
42,1988,1988-12-11,15,24.047,NOR,@,SFO,L 17-30,0,0,1.0,0,0,0
43,1988,1988-12-18,16,24.054,NOR,,ATL,W 10-9,0,0,1.0,0,0,0
44,1989,1989-09-10,1,24.320,NOR,,DAL,W 28-0,,,,,,
45,1989,1989-09-17,2,24.327,NOR,@,GNB,L 34-35,,,,,,
46,1989,1989-09-24,3,24.334,NOR,@,TAM,L 10-20,,,,,,
47,1989,1989-10-01,4,24.341,NOR,,WAS,L 14-16,,,,,,
48,1989,1989-10-08,5,24.348,NOR,,SFO,L 20-24,0,0,1.0,0,0,0
49,1989,1989-10-15,6,24.355,NOR,,NYJ,W 29-14,0,0,1.0,0,0,0
50,1989,1989-10-22,7,24.362,NOR,@,RAM,W 40-21,0,0,3.0,0,0,0
51,1989,1989-10-29,8,25.004,NOR,,ATL,W 20-13,0,0,3.0,0,0,0
52,1989,1989-11-06,9,25.012,NOR,@,SFO,L 13-31,,,,,,
53,1989,1989-11-12,10,25.018,NOR,@,NWE,W 28-24,0,0,2.0,0,0,0
54,1989,1989-11-19,11,25.025,NOR,@,ATL,W 26-17,0,0,3.5,0,0,0
55,1989,1989-11-26,12,25.032,NOR,,RAM,L 17-20,0,0,1.0,0,0,0
56,1989,1989-12-03,13,25.039,NOR,@,DET,L 14-21,,,,,,
57,1989,1989-12-10,14,25.046,NOR,@,BUF,W 22-19,0,0,0.0,1,14,0
58,1989,1989-12-18,15,25.054,NOR,,PHI,W 30-20,0,0,1.0,0,0,0
59,1989,1989-12-24,16,25.060,NOR,,IND,W 41-6,0,0,1.0,0,0,0
60,1990,1990-09-10,1,25.320,NOR,,SFO,L 12-13,0,0,1.0,0,0,0
61,1990,1990-09-16,2,25.326,NOR,@,MIN,L 3-32,0,0,1.0,0,0,0
62,1990,1990-09-23,3,25.333,NOR,,PHO,W 28-7,,,,,,
63,1990,1990-10-07,4,25.347,NOR,@,ATL,L 27-28,,,,,,
64,1990,1990-10-14,5,25.354,NOR,,CLE,W 25-20,0,0,1.0,0,0,0
65,1990,1990-10-21,6,25.361,NOR,@,HOU,L 10-23,,,,,,
