ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2012,2012-11-04,8,26.138,JAX,,DET,L 14-31,,,,,,,0.0%,,,,,,,,,,,,
2,2012,2012-11-08,9,26.142,JAX,,IND,L 10-27,,,,,,,0.0%,,,,,,,,,,,,
3,2012,2012-11-18,10,26.152,JAX,@,HOU,L 37-43,,,,,,,0.0%,,,,,,,,,,,,
4,2012,2012-11-25,11,26.159,JAX,,TEN,W 24-19,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0.0,0,0
5,2012,2012-12-09,13,26.173,JAX,,NYJ,L 10-17,,,,,,,0.0%,,,,,,,,,,,,
6,2012,2012-12-16,14,26.180,JAX,@,MIA,L 3-24,,,,,,,0.0%,,,,,,,,,,,,
7,2013,2013-09-08,1,27.081,JAX,,KAN,L 2-28,*,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0.0,2,0
8,2013,2013-09-15,2,27.088,JAX,@,OAK,L 9-19,*,2,2,5,2.50,0,100.0%,2.50,0,0,,0,1,5,5.00,0,0.0,2,0
9,2013,2013-09-22,3,27.095,JAX,@,SEA,L 17-45,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0.0,1,0
10,2013,2013-09-29,4,27.102,JAX,,IND,L 3-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
11,2013,2013-10-06,5,27.109,JAX,@,STL,L 20-34,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0.0,0,0
12,2013,2013-10-13,6,27.116,JAX,@,DEN,L 19-35,,3,1,5,5.00,0,33.3%,1.67,1,1,1.00,0,0,0,,0,0.0,0,0
13,2013,2013-10-20,7,27.123,JAX,,SDG,L 6-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
14,2013,2013-10-27,8,27.130,JAX,,SFO,L 10-42,*,3,3,3,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0.0,0,0
15,2013,2013-11-10,9,27.144,JAX,@,TEN,W 29-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
16,2013,2013-11-17,10,27.151,JAX,,ARI,L 14-27,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0.0,0,0
17,2013,2013-11-24,11,27.158,JAX,@,HOU,W 13-6,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
18,2013,2013-12-01,12,27.165,JAX,@,CLE,W 32-28,,,,,,,0.0%,,,,,,,,,,,,
19,2013,2013-12-05,13,27.169,JAX,,HOU,W 27-20,*,,,,,,0.0%,,,,,,,,,,,,
20,2013,2013-12-15,14,27.179,JAX,,BUF,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
21,2013,2013-12-22,15,27.186,JAX,,TEN,L 16-20,*,,,,,,0.0%,,,,,,,,,,,,
22,2013,2013-12-29,16,27.193,JAX,@,IND,L 10-30,,,,,,,0.0%,,,,,,,,,,,,
23,2014,2014-09-07,1,28.080,JAX,@,PHI,L 17-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,1
24,2014,2014-09-14,2,28.087,JAX,@,WAS,L 10-41,,0,,,,,0.0%,,,,,,,,,,,,
25,2014,2014-09-21,3,28.094,JAX,,IND,L 17-44,*,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0.0,0,0
26,2014,2014-09-28,4,28.101,JAX,@,SDG,L 14-33,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0.0,0,0
27,2014,2014-10-05,5,28.108,JAX,,PIT,L 9-17,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0.0,1,0
28,2014,2014-10-12,6,28.115,JAX,@,TEN,L 14-16,*,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0.0,0,0
29,2014,2014-10-19,7,28.122,JAX,,CLE,W 24-6,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
30,2014,2014-10-26,8,28.129,JAX,,MIA,L 13-27,,,,,,,0.0%,,,,,,,,,,,,
31,2014,2014-11-02,9,28.136,JAX,@,CIN,L 23-33,,,,,,,0.0%,,,,,,,,,,,,
32,2014,2014-11-09,10,28.143,JAX,,DAL,L 17-31,,,,,,,0.0%,,,,,,,,,,,,
33,2014,2014-11-23,11,28.157,JAX,@,IND,L 3-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,2,0
34,2014,2014-11-30,12,28.164,JAX,,NYG,W 25-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
35,2014,2014-12-07,13,28.171,JAX,,HOU,L 13-27,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
36,2014,2014-12-14,14,28.178,JAX,@,BAL,L 12-20,*,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0.0,1,0
37,2014,2014-12-18,15,28.182,JAX,,TEN,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
38,2014,2014-12-28,16,28.192,JAX,@,HOU,L 17-23,,,,,,,0.0%,,,,,,,,,,,,
