ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-08,1,22.231,DEN,@,OAK,W 41-14,,3,14,4.67,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,1
2,2008,2008-09-14,2,22.237,DEN,,SDG,W 39-38,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
3,2008,2008-09-21,3,22.244,DEN,,NOR,W 34-32,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,47,23.50,0,0,0,0.0,0,0
4,2008,2008-09-28,4,22.251,DEN,@,KAN,L 19-33,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0
5,2008,2008-10-12,6,22.265,DEN,,JAX,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
6,2008,2008-10-20,7,22.273,DEN,@,NWE,L 7-41,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
7,2008,2008-11-02,8,22.286,DEN,,MIA,L 17-26,*,0,0,,0,9,7,116,16.57,1,77.8%,12.89,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
8,2008,2008-11-06,9,22.290,DEN,@,CLE,W 34-30,,8,24,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,2,18,9.00,0,0,0,0.0,0,0
9,2008,2008-11-16,10,22.300,DEN,@,ATL,W 24-20,*,10,44,4.40,2,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,0,0
10,2008,2008-11-23,11,22.307,DEN,,OAK,L 10-31,*,17,74,4.35,1,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
11,2008,2008-11-30,12,22.314,DEN,@,NYJ,W 34-17,*,22,129,5.86,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
12,2008,2008-12-07,13,22.321,DEN,,KAN,W 24-17,*,8,58,7.25,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
13,2009,2009-09-13,1,23.235,DEN,@,CIN,W 12-7,*,1,2,2.00,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,1
14,2009,2009-09-20,2,23.242,DEN,,CLE,W 27-6,,1,2,2.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,24,24.00,0,1,6,0.0,0,0
15,2009,2009-09-27,3,23.249,DEN,@,OAK,W 23-3,,2,1,0.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
16,2009,2009-10-04,4,23.256,DEN,,DAL,W 17-10,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
17,2009,2009-10-11,5,23.263,DEN,,NWE,W 20-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
