ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-10-17,5,21.320,PHI,,CAR,W 30-8,,,,,,,,,,,
2,2004,2004-10-24,6,21.327,PHI,@,CLE,W 34-31,,,,,,,,,,,
3,2004,2004-10-31,7,21.334,PHI,,BAL,W 15-10,,,,,,,,,,,
4,2004,2004-11-07,8,21.341,PHI,@,PIT,L 3-27,,,,,,,,,,,
5,2004,2004-11-15,9,21.349,PHI,@,DAL,W 49-21,,,,,,,,,,,
6,2004,2004-11-21,10,21.355,PHI,,WAS,W 28-6,,,,,,,,,,,
7,2004,2004-11-28,11,21.362,PHI,@,NYG,W 27-6,,,,,,,,,,,
8,2004,2004-12-05,12,22.003,PHI,,GNB,W 47-17,,,,,,,,,,,
9,2004,2004-12-12,13,22.010,PHI,@,WAS,W 17-14,,,,,,,,,,,
10,2004,2004-12-19,14,22.017,PHI,,DAL,W 12-7,,,,,,,,,,,
11,2004,2004-12-27,15,22.025,PHI,@,STL,L 7-20,,,,,,,,,,,
12,2004,2005-01-02,16,22.031,PHI,,CIN,L 10-38,,,,,,,,,,,
13,2005,2005-09-12,1,22.284,PHI,@,ATL,L 10-14,,,,,,,,,,,
14,2005,2005-09-18,2,22.290,PHI,,SFO,W 42-3,,,,,,,,,,,
15,2005,2005-09-25,3,22.297,PHI,,OAK,W 23-20,,,,,,,,,,,
16,2005,2005-10-02,4,22.304,PHI,@,KAN,W 37-31,,,,,,,,,,,
17,2005,2005-10-09,5,22.311,PHI,@,DAL,L 10-33,,,,,,,,,,,
18,2005,2005-10-23,6,22.325,PHI,,SDG,W 20-17,,,,,,,,,,,
19,2005,2005-10-30,7,22.332,PHI,@,DEN,L 21-49,,,,,,,,,,,
20,2005,2005-11-06,8,22.339,PHI,@,WAS,L 10-17,,,,,,,,,,,
21,2005,2005-11-14,9,22.347,PHI,,DAL,L 20-21,,,,,,,,,,,
22,2005,2005-11-20,10,22.353,PHI,@,NYG,L 17-27,,,,,,,,,,,
23,2005,2005-11-27,11,22.360,PHI,,GNB,W 19-14,,,,,,,,,,,
24,2005,2005-12-05,12,23.003,PHI,,SEA,L 0-42,,,,,,,,,,,
25,2005,2005-12-11,13,23.009,PHI,,NYG,L 23-26,,,,,,,,,,,
26,2005,2005-12-18,14,23.016,PHI,@,STL,W 17-16,,,,,,,,,,,
27,2005,2005-12-24,15,23.022,PHI,@,ARI,L 21-27,,,,,,,,,,,
28,2005,2006-01-01,16,23.030,PHI,,WAS,L 20-31,,,,,,,,,,,
29,2006,2006-09-10,1,23.282,ARI,,SFO,W 34-27,,,,,,,,,,,
30,2006,2006-09-17,2,23.289,ARI,@,SEA,L 10-21,,,,,,,,,,,
31,2006,2006-09-24,3,23.296,ARI,,STL,L 14-16,*,,,,,,,,,,
32,2006,2006-10-01,4,23.303,ARI,@,ATL,L 10-32,,,,,,,,,,,
33,2006,2006-10-16,6,23.318,ARI,,CHI,L 23-24,,,,,,,,,,,
