ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1959,1959-11-22,9,21.359,CHI,@,DET,W 24-14,1,-10,-10.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
2,1959,1959-11-29,10,22.001,CHI,@,CRD,W 31-7,3,-3,-1.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
3,1960,1960-10-30,6,22.337,CHI,@,SFO,L 7-25,2,61,30.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
4,1960,1960-11-20,8,22.358,CHI,,DET,W 28-7,7,12,1.71,0,1,-13,-13.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
5,1960,1960-11-27,9,22.365,CHI,,DAL,W 17-7,3,17,5.67,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
6,1960,1960-12-04,10,23.006,CHI,,GNB,L 13-41,6,13,2.17,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
7,1960,1960-12-11,11,23.013,CHI,@,CLE,L 0-42,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
8,1960,1960-12-18,12,23.020,CHI,@,DET,L 0-36,4,7,1.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
9,1961,1961-09-17,1,23.293,CHI,@,MIN,L 13-37,4,-24,-6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,56,28.00,0
10,1961,1961-09-23,2,23.299,CHI,@,RAM,W 21-17,7,13,1.86,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
11,1961,1961-10-08,4,23.314,CHI,@,DET,W 31-17,1,-2,-2.00,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
12,1961,1961-11-19,10,23.356,CHI,@,SFO,L 31-41,2,11,5.50,1,3,65,21.67,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,1,6,0,0,,0
13,1962,1962-09-23,2,24.299,CHI,@,RAM,W 27-23,0,0,,0,1,59,59.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
14,1962,1962-09-30,3,24.306,CHI,@,GNB,L 0-49,0,0,,0,1,24,24.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
15,1962,1962-11-04,8,24.341,CHI,,GNB,L 7-38,0,0,,0,1,4,4.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
16,1962,1962-11-11,9,24.348,CHI,,MIN,W 31-30,0,0,,0,1,20,20.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
17,1962,1962-11-25,11,24.362,CHI,@,BAL,W 57-0,0,0,,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
18,1963,1963-09-21,2,25.297,RAM,,WAS,L 14-37,0,0,,0,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
19,1963,1963-09-29,3,25.305,RAM,@,CLE,L 6-20,0,0,,0,3,26,8.67,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
20,1963,1963-11-03,8,25.340,RAM,@,MIN,L 13-21,0,0,,0,1,19,19.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
21,1963,1963-11-10,9,25.347,RAM,@,CHI,L 0-6,0,0,,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
22,1963,1963-11-17,10,25.354,RAM,@,DET,W 28-21,0,0,,0,2,12,6.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
23,1963,1963-11-24,11,25.361,RAM,,BAL,W 17-16,0,0,,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
24,1963,1963-12-15,14,26.017,RAM,@,BAL,L 16-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,121,30.25,0
