ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2015,2015-09-14,1,23.220,SFO,,MIN,W 20-3,*,0.0,3,1,0,0,0
2,2015,2015-09-20,2,23.226,SFO,@,PIT,L 18-43,*,0.0,5,1,0,0,0
3,2015,2015-09-27,3,23.233,SFO,@,ARI,L 7-47,*,0.0,6,1,1,0,0
4,2015,2015-10-04,4,23.240,SFO,,GNB,L 3-17,*,0.0,5,0,0,0,0
5,2015,2015-10-11,5,23.247,SFO,@,NYG,L 27-30,*,0.0,3,1,0,0,0
6,2015,2015-10-18,6,23.254,SFO,,BAL,W 25-20,*,0.0,2,0,1,45,0
7,2015,2015-10-22,7,23.258,SFO,,SEA,L 3-20,*,0.0,1,0,1,0,0
8,2015,2015-11-01,8,23.268,SFO,@,STL,L 6-27,*,0.0,2,1,0,0,0
9,2015,2015-11-22,10,23.289,SFO,@,SEA,L 13-29,*,0.0,3,1,0,0,0
10,2015,2015-11-29,11,23.296,SFO,,ARI,L 13-19,*,0.0,7,1,0,0,0
11,2015,2015-12-06,12,23.303,SFO,@,CHI,W 26-20,*,0.0,5,0,0,0,0
12,2015,2015-12-13,13,23.310,SFO,@,CLE,L 10-24,*,0.0,8,3,0,0,0
13,2015,2015-12-20,14,23.317,SFO,,CIN,L 14-24,*,0.0,2,0,0,0,0
14,2015,2015-12-27,15,23.324,SFO,@,DET,L 17-32,,0.0,1,0,0,0,0
15,2015,2016-01-03,16,23.331,SFO,,STL,W 19-16,,0.0,0,0,0,0,0
16,2016,2016-10-02,4,24.239,KAN,@,PIT,L 14-43,,0.0,0,0,0,0,0
17,2016,2016-10-23,6,24.260,KAN,,NOR,W 27-21,,0.0,0,0,0,0,0
18,2016,2016-10-30,7,24.267,KAN,@,IND,W 30-14,,0.0,0,0,0,0,0
19,2016,2016-11-06,8,24.274,KAN,,JAX,W 19-14,,0.0,0,0,0,0,0
20,2016,2016-11-13,9,24.281,KAN,@,CAR,W 20-17,,0.0,4,0,0,0,0
21,2016,2016-11-20,10,24.288,KAN,,TAM,L 17-19,*,0.0,6,0,0,0,0
22,2016,2016-11-27,11,24.295,KAN,@,DEN,W 30-27,,0.0,4,0,0,0,0
23,2016,2016-12-25,15,24.323,KAN,,DEN,W 33-10,,0.0,1,0,0,0,0
24,2016,2017-01-01,16,24.330,KAN,@,SDG,W 37-27,,0.0,1,0,0,0,0
25,2017,2017-09-07,1,25.213,KAN,@,NWE,W 42-27,,0.0,0,0,0,0,0
26,2017,2017-09-17,2,25.223,KAN,,PHI,W 27-20,,0.0,0,0,0,0,0
27,2017,2017-09-24,3,25.230,KAN,@,LAC,W 24-10,,0.0,0,0,0,0,0
28,2017,2017-10-02,4,25.238,KAN,,WAS,W 29-20,,0.0,0,0,0,0,0
29,2017,2017-10-08,5,25.244,KAN,@,HOU,W 42-34,,0.0,0,0,0,0,0
30,2017,2017-10-15,6,25.251,KAN,,PIT,L 13-19,,0.0,0,0,0,0,0
31,2017,2017-10-19,7,25.255,KAN,@,OAK,L 30-31,,0.0,0,0,0,0,0
32,2017,2017-10-30,8,25.266,KAN,,DEN,W 29-19,*,0.0,5,1,1,9,0
33,2017,2017-11-05,9,25.272,KAN,@,DAL,L 17-28,,0.0,5,0,0,0,0
34,2017,2017-11-19,10,25.286,KAN,@,NYG,L 9-12,,0.0,1,0,0,0,0
35,2017,2017-11-26,11,25.293,KAN,,BUF,L 10-16,,0.0,0,0,0,0,0
36,2017,2017-12-03,12,25.300,KAN,@,NYJ,L 31-38,,0.0,0,0,0,0,0
37,2017,2017-12-10,13,25.307,KAN,,OAK,W 26-15,,0.0,0,0,0,0,0
38,2017,2017-12-16,14,25.313,KAN,,LAC,W 30-13,,0.0,1,0,0,0,0
39,2017,2017-12-24,15,25.321,KAN,,MIA,W 29-13,,0.0,0,0,0,0,0
40,2017,2017-12-31,16,25.328,KAN,@,DEN,W 27-24,,0.0,6,0,0,0,0
