ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2000,2000-09-11,2,23.272,NYJ,,NWE,W 20-19,,,0,0,,0,0.0%,,1,2,2.00,0
2,2000,2000-11-12,10,23.334,NYJ,@,IND,L 15-23,,,,,,,0.0%,,,,,
3,2000,2000-11-19,11,23.341,NYJ,@,MIA,W 20-3,,1,,,,,0.0%,,,,,
4,2000,2000-11-26,12,23.348,NYJ,,CHI,W 17-10,,1,,,,,0.0%,,,,,
5,2000,2000-12-03,13,23.355,NYJ,,IND,W 27-17,,6,4,84,21.00,0,66.7%,14.00,0,0,,0
6,2000,2000-12-10,14,23.362,NYJ,@,OAK,L 7-31,,1,,,,,0.0%,,,,,
7,2000,2000-12-17,15,24.003,NYJ,,DET,L 7-10,,3,1,22,22.00,0,33.3%,7.33,0,0,,0
8,2000,2000-12-24,16,24.010,NYJ,@,BAL,L 20-34,,7,1,20,20.00,0,14.3%,2.86,0,0,,0
9,2001,2001-10-28,7,24.318,NYJ,@,CAR,W 13-12,,2,,,,,0.0%,,,,,
