ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1999,1999-09-12,1,22.313,ARI,@,PHI,W 25-24,,,,,,,0.0%,,,,,,,,,
2,1999,1999-09-19,2,22.320,ARI,@,MIA,L 16-19,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,1999,1999-09-27,3,22.328,ARI,,SFO,L 10-24,,,,,,,0.0%,,,,,,,,,
4,1999,1999-10-03,4,22.334,ARI,@,DAL,L 7-35,,0,,,,,0.0%,,,,,,,,,
5,1999,1999-10-10,5,22.341,ARI,,NYG,W 14-3,,0,,,,,0.0%,,,,,,,,,
6,1999,1999-10-17,6,22.348,ARI,,WAS,L 10-24,,,,,,,0.0%,,,,,,,,,
7,1999,1999-10-31,7,22.362,ARI,,NWE,L 3-27,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0
8,1999,1999-11-07,8,23.004,ARI,@,NYJ,L 7-12,,0,,,,,0.0%,,,,,,,,,
9,1999,1999-11-14,9,23.011,ARI,,DET,W 23-19,,,,,,,0.0%,,,,,,,,,
10,1999,1999-11-21,10,23.018,ARI,,DAL,W 13-9,,0,,,,,0.0%,,,,,,,,,
11,1999,1999-11-28,11,23.025,ARI,@,NYG,W 34-24,,0,,,,,0.0%,,,,,,,,,
12,1999,1999-12-05,12,23.032,ARI,,PHI,W 21-17,,1,,,,,0.0%,,,,,,,,,
13,1999,1999-12-12,13,23.039,ARI,@,WAS,L 3-28,,0,,,,,0.0%,,,,,,,,,
14,1999,1999-12-19,14,23.046,ARI,,BUF,L 21-31,,,,,,,0.0%,,,,,,,,,
15,1999,1999-12-26,15,23.053,ARI,@,ATL,L 14-37,,0,,,,,0.0%,,,,,,,,,
16,1999,2000-01-02,16,23.060,ARI,@,GNB,L 24-49,,,,,,,0.0%,,,,,,,,,
17,2000,2000-09-03,1,23.305,ARI,@,NYG,L 16-21,,,,,,,0.0%,,,,,,,,,
18,2000,2000-09-10,2,23.312,ARI,,DAL,W 32-31,,0,,,,,0.0%,,,,,,,,,
19,2000,2000-09-24,3,23.326,ARI,,GNB,L 3-29,,,,,,,0.0%,,,,,,,,,
20,2000,2000-10-01,4,23.333,ARI,@,SFO,L 20-27,,0,,,,,0.0%,,,,,,,,,
21,2000,2000-10-08,5,23.340,ARI,,CLE,W 29-21,,0,,,,,0.0%,,,,,,,,,
22,2000,2000-10-15,6,23.347,ARI,,PHI,L 14-33,,,,,,,0.0%,,,,,,,,,
23,2000,2000-10-22,7,23.354,ARI,@,DAL,L 7-48,,0,,,,,0.0%,,,,,,,,,
24,2000,2000-10-29,8,23.361,ARI,,NOR,L 10-21,,,,,,,0.0%,,,,,,,,,
25,2000,2000-11-05,9,24.002,ARI,,WAS,W 16-15,,,,,,,0.0%,,,,,,,,,
26,2000,2000-11-12,10,24.009,ARI,@,MIN,L 14-31,,,,,,,0.0%,,,,,,,,,
27,2000,2000-11-19,11,24.016,ARI,@,PHI,L 9-34,,,,,,,0.0%,,,,,,,,,
28,2000,2000-11-26,12,24.023,ARI,,NYG,L 7-31,,,,,,,0.0%,,,,,,,,,
29,2000,2000-12-03,13,24.030,ARI,@,CIN,L 13-24,,,,,,,0.0%,,,,,,,,,
30,2000,2000-12-10,14,24.037,ARI,@,JAX,L 10-44,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,1,20,20.00,0
31,2000,2000-12-17,15,24.044,ARI,,BAL,L 7-13,,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0
32,2000,2000-12-24,16,24.051,ARI,@,WAS,L 3-20,,,,,,,0.0%,,,,,,,,,
33,2001,2001-09-23,1,24.324,ARI,,DEN,L 17-38,,,,,,,0.0%,,,,,,,,,
34,2001,2001-09-30,2,24.331,ARI,,ATL,L 14-34,,,,,,,0.0%,,,,,,,,,
35,2001,2001-10-07,3,24.338,ARI,@,PHI,W 21-20,,,,,,,0.0%,,,,,,,,,
