ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-11-07,8,23.347,SEA,@,SFO,W 42-27,*,2,2,50,25.00,0,100.0%,25.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
2,2004,2004-11-14,9,23.354,SEA,@,STL,L 12-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
3,2004,2004-11-21,10,23.361,SEA,,MIA,W 24-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,2004-11-28,11,24.002,SEA,,BUF,L 9-38,,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
5,2004,2004-12-06,12,24.010,SEA,,DAL,L 39-43,,3,2,36,18.00,1,66.7%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
6,2004,2004-12-12,13,24.016,SEA,@,MIN,W 27-23,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
7,2004,2004-12-19,14,24.023,SEA,@,NYJ,L 14-37,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
8,2005,2005-10-09,5,24.317,SEA,@,STL,W 37-31,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
9,2005,2005-10-16,6,24.324,SEA,,HOU,W 42-10,,2,2,37,18.50,0,100.0%,18.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
10,2005,2005-10-23,7,24.331,SEA,,DAL,W 13-10,,6,3,57,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
11,2005,2005-11-06,8,24.345,SEA,@,ARI,W 33-19,*,1,1,46,46.00,0,100.0%,46.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
12,2007,2007-09-30,4,26.308,ARI,,PIT,W 21-14,,6,5,53,10.60,1,83.3%,8.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,,
13,2007,2007-10-07,5,26.315,ARI,@,STL,W 34-31,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
14,2007,2007-10-14,6,26.322,ARI,,CAR,L 10-25,,4,1,42,42.00,0,25.0%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
15,2007,2007-10-21,7,26.329,ARI,@,WAS,L 19-21,*,3,3,41,13.67,0,100.0%,13.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
16,2007,2007-11-04,8,26.343,ARI,@,TAM,L 10-17,,5,1,12,12.00,0,20.0%,2.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
17,2007,2007-11-11,9,26.350,ARI,,DET,W 31-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
18,2007,2007-12-09,13,27.013,ARI,@,SEA,L 21-42,*,7,6,123,20.50,1,85.7%,17.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,,
19,2007,2007-12-16,14,27.020,ARI,@,NOR,L 24-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
