ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2016,2016-09-11,1,21.100,TAM,@,ATL,W 31-24,*,0,0,,0,0.0,1,1,0,0,0
2,2016,2016-09-18,2,21.107,TAM,@,ARI,L 7-40,*,0,0,,0,0.0,5,0,0,0,0
3,2016,2016-09-25,3,21.114,TAM,,LAR,L 32-37,*,0,0,,0,0.0,5,0,0,0,0
4,2016,2016-10-02,4,21.121,TAM,,DEN,L 7-27,*,0,0,,0,0.0,6,1,0,0,0
5,2016,2016-10-10,5,21.129,TAM,@,CAR,W 17-14,*,0,0,,0,0.0,2,2,0,0,0
6,2016,2016-10-23,6,21.142,TAM,@,SFO,W 34-17,*,0,0,,0,0.0,4,0,0,0,0
7,2016,2016-10-30,7,21.149,TAM,,OAK,L 24-30,*,0,0,,0,0.0,8,0,0,0,0
8,2016,2016-11-03,8,21.153,TAM,,ATL,L 28-43,*,0,0,,0,0.0,5,1,0,0,0
9,2016,2016-11-13,9,21.163,TAM,,CHI,W 36-10,*,0,0,,0,0.0,1,0,0,0,0
10,2016,2016-11-20,10,21.170,TAM,@,KAN,W 19-17,*,0,0,,0,0.0,5,0,0,0,0
11,2016,2016-11-27,11,21.177,TAM,,SEA,W 14-5,*,0,0,,0,0.0,4,1,0,0,0
12,2016,2016-12-04,12,21.184,TAM,@,SDG,W 28-21,*,2,14,7.00,0,0.0,6,1,0,0,0
13,2016,2016-12-11,13,21.191,TAM,,NOR,W 16-11,*,3,15,5.00,0,0.0,3,0,1,0,0
14,2016,2016-12-18,14,21.198,TAM,@,DAL,L 20-26,*,0,0,,0,0.0,3,0,0,0,0
15,2016,2016-12-24,15,21.204,TAM,@,NOR,L 24-31,*,0,0,,0,0.0,6,0,0,0,0
16,2016,2017-01-01,16,21.212,TAM,,CAR,W 17-16,*,0,0,,0,0.0,4,1,0,0,0
17,2017,2017-09-17,1,22.106,TAM,,CHI,W 29-7,*,0,0,,0,0.0,4,0,0,0,0
18,2017,2017-09-24,2,22.113,TAM,@,MIN,L 17-34,*,0,0,,0,0.0,4,1,0,0,0
19,2017,2017-10-01,3,22.120,TAM,,NYG,W 25-23,*,0,0,,0,0.0,9,0,0,0,0
20,2017,2017-10-05,4,22.124,TAM,,NWE,L 14-19,*,0,0,,0,0.0,6,0,0,0,0
21,2017,2017-10-15,5,22.134,TAM,@,ARI,L 33-38,*,0,0,,0,0.0,5,1,0,0,0
22,2017,2017-10-22,6,22.141,TAM,@,BUF,L 27-30,*,0,0,,0,0.0,0,1,0,0,0
23,2017,2017-10-29,7,22.148,TAM,,CAR,L 3-17,*,0,0,,0,0.0,5,1,0,0,0
24,2017,2017-11-05,8,22.155,TAM,@,NOR,L 10-30,,0,0,,0,0.0,2,0,0,0,0
25,2017,2017-11-12,9,22.162,TAM,,NYJ,W 15-10,,0,0,,0,0.0,2,1,0,0,0
26,2018,2018-09-09,1,23.098,TAM,@,NOR,W 48-40,*,0,0,,0,0.0,6,1,0,0,0
