ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1999,1999-09-12,1,24.108,NYG,@,TAM,W 17-13,,,,,,,,,
2,1999,1999-09-19,2,24.115,NYG,,WAS,L 21-50,,,,,,,,,
3,1999,1999-09-26,3,24.122,NYG,@,NWE,L 14-16,,,,,,,,,
4,1999,1999-10-03,4,24.129,NYG,,PHI,W 16-15,,,,,,,,,
5,1999,1999-10-10,5,24.136,NYG,@,ARI,L 3-14,,,,,,,,,
6,1999,1999-10-18,6,24.144,NYG,,DAL,W 13-10,,,,,,,,,
7,1999,1999-10-24,7,24.150,NYG,,NOR,W 31-3,,,,,,,,,
8,1999,1999-10-31,8,24.157,NYG,@,PHI,W 23-17,,,,,,,,,
9,1999,1999-11-14,9,24.171,NYG,,IND,L 19-27,,,,,,,,,
10,1999,1999-11-21,10,24.178,NYG,@,WAS,L 13-23,,,,,,,,,
11,1999,1999-11-28,11,24.185,NYG,,ARI,L 24-34,,,,,,,,,
12,1999,1999-12-05,12,24.192,NYG,,NYJ,W 41-28,,,,,,,,,
13,1999,1999-12-12,13,24.199,NYG,@,BUF,W 19-17,,,,,,,,,
14,1999,1999-12-19,14,24.206,NYG,@,STL,L 10-31,,,,,,,,,
15,1999,1999-12-26,15,24.213,NYG,,MIN,L 17-34,,,,,,,,,
16,1999,2000-01-02,16,24.220,NYG,@,DAL,L 18-26,,,,,,,,,
17,2001,2001-09-09,1,26.105,SFO,,ATL,W 16-13,,1,1,100.0,3,3,100.0,0,10
18,2001,2001-09-23,2,26.119,SFO,,STL,L 26-30,,2,2,100.0,2,2,100.0,0,8
19,2001,2001-10-01,3,26.127,SFO,@,NYJ,W 19-17,,1,1,100.0,4,4,100.0,0,13
20,2001,2001-10-07,4,26.133,SFO,,CAR,W 24-14,,3,3,100.0,1,1,100.0,0,6
21,2001,2001-10-14,5,26.140,SFO,@,ATL,W 37-31,,4,4,100.0,1,1,100.0,0,7
22,2001,2001-10-28,6,26.154,SFO,@,CHI,L 31-37,,4,4,100.0,1,2,50.0,0,7
23,2001,2001-11-04,7,26.161,SFO,,DET,W 21-13,,3,3,100.0,,2,0.0,0,3
