ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-15,1,25.224,DEN,@,CIN,L 10-24,5,11,2.20,0,0,0,,0,0,0,,0,0,0,,0
2,1968,1968-10-06,4,25.245,DEN,,CIN,W 10-7,9,35,3.89,0,3,10,3.33,0,0,0,,0,0,0,,0
3,1968,1968-10-13,5,25.252,DEN,@,NYJ,W 21-13,8,17,2.13,0,0,0,,0,0,0,,0,0,0,,0
4,1968,1968-11-03,9,25.273,CIN,,HOU,L 17-27,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0
5,1968,1968-11-17,11,25.287,CIN,@,MIA,W 38-21,7,36,5.14,0,2,74,37.00,0,0,0,,0,0,0,,0
6,1968,1968-11-24,12,25.294,CIN,,OAK,L 0-34,6,18,3.00,0,0,0,,0,0,0,,0,0,0,,0
7,1968,1968-12-01,13,25.301,CIN,@,BOS,L 14-33,3,-11,-3.67,0,2,3,1.50,0,0,0,,0,0,0,,0
8,1969,1969-09-14,1,26.222,CIN,,MIA,W 27-21,3,3,1.00,0,0,0,,0,0,0,,0,0,0,,0
9,1969,1969-09-21,2,26.229,CIN,,SDG,W 34-20,2,5,2.50,0,0,0,,0,0,0,,0,0,0,,0
10,1969,1969-09-28,3,26.236,CIN,,KAN,W 24-19,0,0,,0,0,0,,0,1,19,19.00,0,0,0,,0
11,1969,1969-10-26,7,26.264,CIN,@,KAN,L 22-42,0,0,,0,0,0,,0,2,19,9.50,0,0,0,,0
12,1969,1969-11-16,10,26.285,CIN,,BOS,L 14-25,0,0,,0,0,0,,0,0,0,,0,1,29,29.00,0
13,1969,1969-11-30,12,26.299,CIN,@,BUF,L 13-16,0,0,,0,0,0,,0,1,10,10.00,0,0,0,,0
14,1969,1969-12-07,13,26.306,CIN,@,OAK,L 17-37,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0
15,1970,1970-09-20,1,27.228,CIN,,OAK,W 31-21,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0
16,1970,1970-09-27,2,27.235,CIN,@,DET,L 3-38,0,0,,0,0,0,,0,1,20,20.00,0,0,0,,0
17,1970,1970-10-04,3,27.242,CIN,,HOU,L 13-20,,,,,,,,,,,,,,,,
18,1970,1970-10-11,4,27.249,CIN,@,CLE,L 27-30,,,,,,,,,,,,,,,,
19,1970,1970-10-18,5,27.256,CIN,,KAN,L 19-27,,,,,,,,,,,,,,,,
20,1970,1970-10-25,6,27.263,CIN,@,WAS,L 0-20,5,33,6.60,0,0,0,,0,0,0,,0,0,0,,0
21,1970,1970-11-02,7,27.271,CIN,@,PIT,L 10-21,,,,,,,,,,,,,,,,
22,1970,1970-11-08,8,27.277,CIN,@,BUF,W 43-14,0,0,,0,0,0,,0,1,21,21.00,0,0,0,,0
23,1970,1970-11-15,9,27.284,CIN,,CLE,W 14-10,,,,,,,,,,,,,,,,
24,1970,1970-11-22,10,27.291,CIN,,PIT,W 34-7,,,,,,,,,,,,,,,,
25,1970,1970-11-29,11,27.298,CIN,,NOR,W 26-6,,,,,,,,,,,,,,,,
26,1970,1970-12-06,12,27.305,CIN,@,SDG,W 17-14,,,,,,,,,,,,,,,,
27,1970,1970-12-13,13,27.312,CIN,@,HOU,W 30-20,,,,,,,,,,,,,,,,
28,1970,1970-12-20,14,27.319,CIN,,BOS,W 45-7,,,,,,,,,,,,,,,,
29,1971,1971-10-03,3,28.241,CIN,@,GNB,L 17-20,0,0,,0,0,0,,0,1,17,17.00,0,0,0,,0
30,1971,1971-10-10,4,28.248,CIN,,MIA,L 13-23,,,,,,,,,,,,,,,,
31,1971,1971-10-17,5,28.255,CIN,,CLE,L 24-27,,,,,,,,,,,,,,,,
32,1971,1971-10-24,6,28.262,CIN,@,OAK,L 27-31,,,,,,,,,,,,,,,,
33,1971,1971-10-31,7,28.269,CIN,@,HOU,L 6-10,,,,,,,,,,,,,,,,
34,1971,1971-11-07,8,28.276,CIN,,ATL,L 6-9,,,,,,,,,,,,,,,,
35,1971,1971-11-14,9,28.283,CIN,@,DEN,W 24-10,3,9,3.00,0,0,0,,0,0,0,,0,0,0,,0
36,1971,1971-11-21,10,28.290,CIN,,HOU,W 28-13,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,0
37,1971,1971-11-28,11,28.297,CIN,,SDG,W 31-0,,,,,,,,,,,,,,,,
38,1971,1971-12-05,12,28.304,CIN,@,CLE,L 27-31,,,,,,,,,,,,,,,,
39,1971,1971-12-12,13,28.311,CIN,,PIT,L 13-21,0,0,,0,0,0,,0,1,25,25.00,0,0,0,,0
40,1971,1971-12-19,14,28.318,CIN,@,NYJ,L 21-35,,,,,,,,,,,,,,,,
41,1972,1972-09-17,1,29.226,ATL,@,CHI,W 37-21,,,,,,,,,,,,,,,,
42,1972,1972-09-24,2,29.233,ATL,@,NWE,L 20-21,,,,,,,,,,,,,,,,
43,1972,1972-10-01,3,29.240,ATL,,RAM,W 31-3,,,,,,,,,,,,,,,,
44,1972,1972-10-08,4,29.247,ATL,,DET,L 23-26,,,,,,,,,,,,,,,,
45,1972,1972-10-15,5,29.254,ATL,@,NOR,W 21-14,0,0,,0,1,10,10.00,0,0,0,,0,0,0,,0
46,1972,1972-10-22,6,29.261,ATL,@,GNB,W 10-9,,,,,,,,,,,,,,,,
47,1972,1972-10-29,7,29.268,ATL,,SFO,L 14-49,,,,,,,,,,,,,,,,
