ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,22.248,SDG,,CHI,W 14-3,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1.0,,,0,0,0
2,2007,2007-09-16,2,22.255,SDG,@,NWE,L 14-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2007,2007-09-23,3,22.262,SDG,@,GNB,L 24-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2007,2007-09-30,4,22.269,SDG,,KAN,L 16-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2007,2007-10-07,5,22.276,SDG,@,DEN,W 41-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2007,2007-10-14,6,22.283,SDG,,OAK,W 28-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,2007-10-28,7,22.297,SDG,,HOU,W 35-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,,1,0,0
8,2007,2007-11-04,8,22.304,SDG,@,MIN,L 17-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2007,2007-11-11,9,22.311,SDG,,IND,W 23-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2007,2007-11-25,11,22.325,SDG,,BAL,W 32-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2007,2007-12-02,12,22.332,SDG,@,KAN,W 24-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2007,2007-12-09,13,22.339,SDG,@,TEN,W 23-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2007,2007-12-16,14,22.346,SDG,,DET,W 51-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2007,2007-12-24,15,22.354,SDG,,DEN,W 23-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2007,2007-12-30,16,22.360,SDG,@,OAK,W 30-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2008,2008-09-07,1,23.247,SDG,,CAR,L 24-26,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,7,4,0,0,0
17,2008,2008-09-14,2,23.254,SDG,@,DEN,L 38-39,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,3,1,0,0,0
18,2008,2008-09-22,3,23.262,SDG,,NYJ,W 48-29,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,5,2,1,3,0
19,2008,2008-09-28,4,23.268,SDG,@,OAK,W 28-18,*,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,7,0,0,0,0
