ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1995,1995-10-15,7,24.270,SDG,,DAL,L 9-23,,0,0,,0
2,1995,1995-10-22,8,24.277,SDG,@,SEA,W 35-25,,0,0,,0
3,1995,1995-11-05,9,24.291,SDG,,MIA,L 14-24,,0,0,,0
4,1995,1995-11-12,10,24.298,SDG,,KAN,L 7-22,,0,0,,0
5,1995,1995-11-19,11,24.305,SDG,@,DEN,L 27-30,,0,1,,0
6,1995,1995-11-27,12,24.313,SDG,,OAK,W 12-6,,0,0,,0
7,1995,1995-12-03,13,24.319,SDG,,CLE,W 31-13,,0,0,,0
8,1995,1995-12-09,14,24.325,SDG,,ARI,W 28-25,,0,0,,0
9,1995,1995-12-17,15,24.333,SDG,@,IND,W 27-24,,0,0,,0
10,1995,1995-12-23,16,24.339,SDG,@,NYG,W 27-17,,0,0,,0
11,1996,1996-09-01,1,25.227,SDG,,SEA,W 29-7,,,,,
12,1996,1996-09-08,2,25.234,SDG,,CIN,W 27-14,,,,,
13,1996,1996-10-21,7,25.277,SDG,,OAK,L 14-23,,,,,
14,1996,1996-10-27,8,25.283,SDG,@,SEA,L 13-32,,,,,
15,1996,1996-11-03,9,25.290,SDG,@,IND,W 26-19,,,,,
16,1996,1996-11-11,10,25.298,SDG,,DET,W 27-21,,,,,
17,1996,1996-11-17,11,25.304,SDG,,TAM,L 17-25,,,,,
18,1996,1996-11-24,12,25.311,SDG,@,KAN,W 28-14,,,,,
19,1996,1996-12-01,13,25.318,SDG,,NWE,L 7-45,,,,,
20,1996,1996-12-08,14,25.325,SDG,@,PIT,L 3-16,,,,,
21,1996,1996-12-14,15,25.331,SDG,@,CHI,L 14-27,,,,,
22,1996,1996-12-22,16,25.339,SDG,,DEN,W 16-10,,,,,
23,1997,1997-10-05,6,26.260,SDG,@,OAK,W 25-10,,,,,
24,1997,1997-10-16,7,26.271,SDG,@,KAN,L 3-31,,,,,
25,1997,1997-10-26,8,26.281,SDG,,IND,W 35-19,,,,,
26,1997,1997-11-02,9,26.288,SDG,@,CIN,L 31-38,,,,,
27,1997,1997-11-09,10,26.295,SDG,,SEA,L 31-37,,,,,
28,1997,1997-11-30,13,26.316,SDG,,DEN,L 28-38,,,,,
29,1997,1997-12-07,14,26.323,SDG,,ATL,L 3-14,,,,,
30,1997,1997-12-14,15,26.330,SDG,,KAN,L 7-29,,,,,
31,1997,1997-12-21,16,26.337,SDG,@,DEN,L 3-38,,,,,
32,1999,1999-09-12,1,28.237,DET,@,SEA,W 28-20,,,,,
33,1999,1999-10-10,4,28.265,DET,,SDG,L 10-20,,,,,
