ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-11-12,9,24.066,RAM,@,GNB,W 45-14,1,19,19.00,0,0,0,,0,0,,,,,,
2,1951,1951-09-28,1,25.021,RAM,,NYY,W 54-14,2,10,5.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00
3,1951,1951-11-04,6,25.058,RAM,,SFO,W 23-16,4,42,10.50,0,0,0,,0,0,,,,,,
4,1951,1951-11-11,7,25.065,RAM,,CRD,W 45-21,1,7,7.00,0,0,0,,0,0,,,,,,
5,1951,1951-11-25,9,25.079,RAM,@,WAS,L 21-31,5,74,14.80,0,0,0,,0,0,,,,,,
6,1952,1952-11-02,6,26.056,DTX,@,RAM,L 20-42,1,9,9.00,0,0,0,,0,0,,,,,,
7,1952,1952-11-27,10,26.081,DTX,,CHI,W 27-23,1,17,17.00,0,0,0,,0,0,,,,,,
8,1952,1952-12-13,12,26.097,DTX,@,DET,L 6-41,1,47,47.00,0,0,0,,0,0,,,,,,
9,1953,1953-10-03,2,27.026,BAL,,DET,L 17-27,2,48,24.00,0,0,0,,0,0,,,,,,
10,1953,1953-12-05,11,27.089,BAL,@,RAM,L 2-45,1,13,13.00,0,0,0,,0,0,,,,,,
11,1954,1954-10-24,5,28.047,BAL,,GNB,L 6-7,0,0,,0,1,1,100.00,0,0,0,79.2,0,0,0.00,0.00
