ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,23.310,CIN,@,NYJ,W 23-22,,0,0,0,,0,0.0%,,0,0,,0,1,15,15.00,0,1,15,15.00,0,0,0,0.0,0,0
2,2016,2016-09-18,2,23.317,CIN,@,PIT,L 16-24,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
3,2016,2016-09-25,3,23.324,CIN,,DEN,L 17-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0.0,0,0
4,2016,2016-09-29,4,23.328,CIN,,MIA,W 22-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0.0,0,0
5,2016,2016-10-09,5,23.338,CIN,@,DAL,L 14-28,,0,0,0,,0,0.0%,,0,0,,0,2,46,23.00,0,0,0,,0,0,0,0.0,0,0
6,2016,2016-10-16,6,23.345,CIN,@,NWE,L 17-35,,0,0,0,,0,0.0%,,0,0,,0,2,42,21.00,0,2,12,6.00,0,0,0,0.0,0,0
7,2016,2016-10-23,7,23.352,CIN,,CLE,W 31-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,3,1.50,0,0,0,0.0,0,0
8,2016,2016-10-30,8,23.359,CIN,,WAS,T 27-27,,0,0,0,,0,0.0%,,0,0,,0,1,65,65.00,0,1,7,7.00,0,0,0,0.0,0,0
9,2016,2016-11-14,9,24.008,CIN,@,NYG,L 20-21,,0,0,0,,0,0.0%,,0,0,,0,4,145,36.25,0,3,35,11.67,0,0,0,0.0,0,0
10,2016,2016-11-20,10,24.014,CIN,,BUF,L 12-16,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,1,36,36.00,0,1,13,13.00,0,0,0,0.0,0,0
11,2016,2016-11-27,11,24.021,CIN,@,BAL,L 14-19,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,4,102,25.50,0,1,11,11.00,0,0,0,0.0,0,0
12,2016,2016-12-04,12,24.028,CIN,,PHI,W 32-14,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,1,19,19.00,0,2,9,4.50,0,0,0,0.0,0,0
13,2016,2016-12-11,13,24.035,CIN,@,CLE,W 23-10,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,3,53,17.67,0,3,47,15.67,0,0,0,0.0,0,0
14,2016,2016-12-18,14,24.042,CIN,,PIT,L 20-24,,0,0,0,,0,0.0%,,0,0,,0,5,166,33.20,0,0,0,,0,0,0,0.0,0,0
15,2016,2016-12-24,15,24.048,CIN,@,HOU,L 10-12,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,4,107,26.75,0,6,16,2.67,0,0,0,0.0,0,0
16,2016,2017-01-01,16,24.056,CIN,,BAL,W 27-10,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,1,0,0.00,0,0,0,0.0,0,0
17,2017,2017-09-10,1,24.308,CIN,,BAL,L 0-20,,0,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0,3,14,4.67,0,0,0,0.0,0,0
18,2017,2017-09-14,2,24.312,CIN,,HOU,L 9-13,,6,4,62,15.50,0,66.7%,10.33,1,2,2.00,0,2,76,38.00,0,4,57,14.25,0,0,0,0.0,0,0
19,2017,2017-09-24,3,24.322,CIN,@,GNB,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0,4,31,7.75,0,0,0,0.0,0,0
20,2017,2017-10-01,4,24.329,CIN,@,CLE,W 31-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,5,33,6.60,0,0,0,0.0,0,0
21,2017,2017-10-08,5,24.336,CIN,,BUF,W 20-16,,1,1,12,12.00,0,100.0%,12.00,1,-6,-6.00,0,3,77,25.67,0,4,4,1.00,0,0,0,0.0,0,0
22,2017,2017-10-22,6,24.350,CIN,@,PIT,L 14-29,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,3,61,20.33,0,1,19,19.00,0,0,0,0.0,1,0
23,2017,2017-10-29,7,24.357,CIN,,IND,W 24-23,,0,0,0,,0,0.0%,,1,14,14.00,0,2,30,15.00,0,3,29,9.67,0,0,0,0.0,0,0
24,2017,2017-11-05,8,24.364,CIN,@,JAX,L 7-23,,1,0,0,,0,0.0%,0.00,0,0,,0,6,123,20.50,0,0,0,,0,0,0,0.0,0,0
25,2017,2017-11-12,9,25.006,CIN,@,TEN,L 20-24,,1,1,4,4.00,0,100.0%,4.00,2,6,3.00,0,1,26,26.00,0,2,12,6.00,0,0,0,0.0,0,0
26,2017,2017-11-19,10,25.013,CIN,@,DEN,W 20-17,,2,2,42,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,1,4,4.00,0,1,6,0.0,0,0
27,2017,2017-11-26,11,25.020,CIN,,CLE,W 30-16,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,1,25,25.00,0,1,14,14.00,0,0,0,0.0,0,0
28,2017,2017-12-04,12,25.028,CIN,,PIT,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,2,29,14.50,0,2,9,4.50,0,0,0,0.0,0,0
29,2017,2017-12-10,13,25.034,CIN,,CHI,L 7-33,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,5,97,19.40,0,2,12,6.00,0,0,0,0.0,0,0
30,2017,2017-12-17,14,25.041,CIN,@,MIN,L 7-34,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,2,44,22.00,0,2,12,6.00,0,0,0,0.0,0,0
31,2017,2017-12-24,15,25.048,CIN,,DET,W 26-17,,0,0,0,,0,0.0%,,0,0,,0,2,27,13.50,0,1,3,3.00,0,0,0,0.0,0,0
32,2017,2017-12-31,16,25.055,CIN,@,BAL,W 31-27,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,4,25,6.25,0,0,0,0.0,0,0
33,2018,2018-09-09,1,25.307,CIN,@,IND,W 34-23,,0,0,0,,0,0.0%,,0,0,,0,1,28,28.00,0,1,-1,-1.00,0,0,0,0.0,0,0
34,2018,2018-09-13,2,25.311,CIN,,BAL,W 34-23,,0,0,0,,0,0.0%,,0,0,,0,2,45,22.50,0,0,0,,0,0,0,0.0,0,0
35,2018,2018-09-23,3,25.321,CIN,@,CAR,L 21-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
