ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.004,HOU,@,GNB,W 31-3,,2,18,9.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
2,1986,1986-09-14,2,22.011,HOU,,CLE,L 20-23,,4,45,11.25,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
3,1986,1986-09-21,3,22.018,HOU,@,KAN,L 13-27,,4,76,19.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,38,9.50,0,0,0
4,1986,1986-09-28,4,22.025,HOU,,PIT,L 16-22,,4,60,15.00,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
5,1986,1986-10-05,5,22.032,HOU,@,DET,L 13-24,,5,155,31.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
6,1986,1986-10-12,6,22.039,HOU,,CHI,L 7-20,,2,33,16.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
7,1986,1986-10-19,7,22.046,HOU,@,CIN,L 28-31,,5,98,19.60,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
8,1986,1986-10-26,8,22.053,HOU,,RAI,L 17-28,,3,45,15.00,0,,,1,43,43.00,1,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
9,1986,1986-11-02,9,22.060,HOU,@,MIA,L 7-28,,2,15,7.50,0,,,3,52,17.33,0,0,0,,0,0,0,,0,,,,0,0,,0,3,38,12.67,0,0,0
10,1986,1986-11-16,11,22.074,HOU,@,PIT,L 10-21,,8,156,19.50,1,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
11,1986,1986-11-23,12,22.081,HOU,,IND,W 31-17,,7,102,14.57,0,,,1,17,17.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
12,1986,1986-11-30,13,22.088,HOU,@,CLE,L 10-13,,3,52,17.33,0,,,1,-2,-2.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,4,4.00,0,0,0
13,1986,1986-12-07,14,22.095,HOU,@,SDG,L 0-27,,4,50,12.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
14,1986,1986-12-14,15,22.102,HOU,,MIN,W 23-10,,6,108,18.00,1,,,2,30,15.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,1,6
15,1986,1986-12-21,16,22.109,HOU,,BUF,W 16-7,,2,49,24.50,0,,,1,8,8.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
16,1987,1987-09-13,1,23.010,HOU,,RAM,W 20-16,,6,117,19.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
