ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-12-12,13,24.168,SEA,@,MIN,W 27-23,,,,,,,,,,
2,2004,2004-12-19,14,24.175,SEA,@,NYJ,L 14-37,,,,,,,,,,
3,2004,2004-12-26,15,24.182,SEA,,ARI,W 24-21,,,,,,,,,,
4,2004,2005-01-02,16,24.189,SEA,,ATL,W 28-26,,,,,,,,,,
5,2005,2005-09-11,1,25.076,SEA,@,JAX,L 14-26,,,,,,,,,,
6,2005,2005-09-18,2,25.083,SEA,,ATL,W 21-18,,,,,,,,,,
7,2005,2005-09-25,3,25.090,SEA,,ARI,W 37-12,,,,,,,,,,
8,2005,2005-10-02,4,25.097,SEA,@,WAS,L 17-20,,,,,,,,,,
9,2005,2005-10-09,5,25.104,SEA,@,STL,W 37-31,,0,0,,0,0,0,0.5,,
10,2005,2005-10-16,6,25.111,SEA,,HOU,W 42-10,,0,0,,0,0,0,1.0,,
11,2005,2005-10-23,7,25.118,SEA,,DAL,W 13-10,,,,,,,,,,
12,2005,2005-11-06,8,25.132,SEA,@,ARI,W 33-19,,,,,,,,,,
13,2005,2005-11-13,9,25.139,SEA,,STL,W 31-16,,,,,,,,,,
14,2005,2005-11-20,10,25.146,SEA,@,SFO,W 27-25,,,,,,,,,,
15,2005,2005-11-27,11,25.153,SEA,,NYG,W 24-21,,,,,,,,,,
16,2005,2005-12-05,12,25.161,SEA,@,PHI,W 42-0,,0,0,,0,0,0,0.5,,
17,2005,2005-12-11,13,25.167,SEA,,SFO,W 41-3,,,,,,,,,,
18,2005,2005-12-18,14,25.174,SEA,@,TEN,W 28-24,,,,,,,,,,
19,2005,2005-12-24,15,25.180,SEA,,IND,W 28-13,,,,,,,,,,
20,2005,2006-01-01,16,25.188,SEA,@,GNB,L 17-23,,,,,,,,,,
21,2006,2006-09-10,1,26.075,SEA,@,DET,W 9-6,,,,,,,,,,
22,2006,2006-09-17,2,26.082,SEA,,ARI,W 21-10,,,,,,,,,,
23,2006,2006-09-24,3,26.089,SEA,,NYG,W 42-30,,,,,,,,,,
24,2006,2006-10-01,4,26.096,SEA,@,CHI,L 6-37,,,,,,,,,,
25,2006,2006-10-29,7,26.124,SEA,@,KAN,L 28-35,,,,,,,,,,
26,2006,2006-11-06,8,26.132,SEA,,OAK,W 16-0,,0,0,,0,0,0,3.0,,
27,2006,2006-11-12,9,26.138,SEA,,STL,W 24-22,,,,,,,,,,
28,2006,2006-11-19,10,26.145,SEA,@,SFO,L 14-20,,,,,,,,,,
29,2006,2006-11-27,11,26.153,SEA,,GNB,W 34-24,,,,,,,,,,
30,2006,2006-12-03,12,26.159,SEA,@,DEN,W 23-20,,,,,,,,,,
31,2006,2006-12-10,13,26.166,SEA,@,ARI,L 21-27,,,,,,,,,,
32,2007,2007-09-09,1,27.074,SEA,,TAM,W 20-6,,,,,,,,,,
33,2007,2007-09-16,2,27.081,SEA,@,ARI,L 20-23,,,,,,,,,,
34,2007,2007-09-23,3,27.088,SEA,,CIN,W 24-21,,,,,,,,,,
35,2007,2007-09-30,4,27.095,SEA,@,SFO,W 23-3,,,,,,,,,,
36,2007,2007-10-07,5,27.102,SEA,@,PIT,L 0-21,,,,,,,,,,
37,2007,2007-10-14,6,27.109,SEA,,NOR,L 17-28,,,,,,,,,,
38,2007,2007-10-21,7,27.116,SEA,,STL,W 33-6,,,,,,,,,,
39,2007,2007-11-04,8,27.130,SEA,@,CLE,L 30-33,,,,,,,,,,
40,2007,2007-11-12,9,27.138,SEA,,SFO,W 24-0,,,,,,,,,,
41,2007,2007-11-18,10,27.144,SEA,,CHI,W 30-23,,1,0,0.00,0,0,0,0.0,,
42,2007,2007-11-25,11,27.151,SEA,@,STL,W 24-19,,,,,,,,,,
43,2007,2007-12-02,12,27.158,SEA,@,PHI,W 28-24,,,,,,,,,,
44,2007,2007-12-09,13,27.165,SEA,,ARI,W 42-21,,,,,,,,,,
45,2007,2007-12-16,14,27.172,SEA,@,CAR,L 10-13,,,,,,,,,,
46,2007,2007-12-23,15,27.179,SEA,,BAL,W 27-6,*,,,,,,,,,
47,2007,2007-12-30,16,27.186,SEA,@,ATL,L 41-44,*,,,,,,,,,
48,2008,2008-09-07,1,28.072,SEA,@,BUF,L 10-34,*,0,0,,0,0,0,0.0,2,0
49,2008,2008-09-14,2,28.079,SEA,,SFO,L 30-33,,0,0,,0,1,6,0.0,0,0
50,2008,2008-09-21,3,28.086,SEA,,STL,W 37-13,,0,0,,0,0,0,0.0,1,0
51,2008,2008-10-05,4,28.100,SEA,@,NYG,L 6-44,,0,0,,0,0,0,0.0,2,0
52,2008,2008-10-12,5,28.107,SEA,,GNB,L 17-27,,0,0,,0,0,0,0.0,5,0
53,2008,2008-10-19,6,28.114,SEA,@,TAM,L 10-20,,0,0,,0,0,0,0.0,1,0
54,2008,2008-10-26,7,28.121,SEA,@,SFO,W 34-13,,0,0,,0,0,0,1.0,1,0
55,2008,2008-11-02,8,28.128,SEA,,PHI,L 7-26,,0,0,,0,0,0,0.0,1,1
56,2008,2008-11-09,9,28.135,SEA,@,MIA,L 19-21,,,,,,,,,,
57,2008,2008-11-16,10,28.142,SEA,,ARI,L 20-26,,,,,,,,,,
58,2008,2008-11-23,11,28.149,SEA,,WAS,L 17-20,,0,0,,0,0,0,0.0,2,0
